"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"leo","AMK43_00005","K02914","RP-L34, MRPL34, rpmH","large subunit ribosomal protein L34","0.3752","0.5158","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00020","K03217","yidC, spoIIIJ, OXA1, ccfA","YidC/Oxa1 family membrane protein insertase","0.5327","0.5418","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00080","K03652","MPG","DNA-3-methyladenine glycosylase","0.0000 ","0.0035","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00085","K03524","birA","BirA family transcriptional regulator, biotin operon repressor / biotin-[acetyl-CoA-carboxylase] ligase","0.5498","0.3672","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00100","K01610","E4.1.1.49, pckA","phosphoenolpyruvate carboxykinase (ATP)","0.0895","0.1205","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00110","K01571","oadA","oxaloacetate decarboxylase, alpha subunit","0.1045","0.0116","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00125","K01572","oadB","oxaloacetate decarboxylase, beta subunit","0.1045","0.0323","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00170","K01889","FARSA, pheS","phenylalanyl-tRNA synthetase alpha chain","0.6601","0.5571","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00175","K01890","FARSB, pheT","phenylalanyl-tRNA synthetase beta chain","0.7119","0.5803","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00180","K00949","thiN, TPK1, THI80","thiamine pyrophosphokinase","0.0796","0.0972","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00205","K13622","btaA","S-adenosylmethionine-diacylglycerol 3-amino-3-carboxypropyl transferase","0.0000 ","0.0333","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00230","K03179","ubiA","4-hydroxybenzoate polyprenyltransferase","0.2743","0.0958","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00235","K00134","GAPDH, gapA","glyceraldehyde 3-phosphate dehydrogenase","0.5166","0.5281","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00240","K01977","16SrRNA, rrs","16S ribosomal RNA","0.0000 ","0.3104","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00245","K14227","tRNA-Ile","tRNA Ile","0.0000 ","0.2024","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00255","K01980","23SrRNA, rrl","23S ribosomal RNA","0.0000 ","0.3104","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00270","K03273","gmhB","D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase","0.0875","0.0999","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00275","K01929","murF","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase","0.7026","0.7733","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00280","K01000","mraY","phospho-N-acetylmuramoyl-pentapeptide-transferase","0.6496","0.5029","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00285","K01925","murD","UDP-N-acetylmuramoylalanine--D-glutamate ligase","0.5987","0.7314","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00295","K02563","murG","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase","0.7026","0.5912","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00300","K01924","murC","UDP-N-acetylmuramate--alanine ligase","0.8149","0.6201","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00305","K00075","murB","UDP-N-acetylmuramate dehydrogenase","0.7026","0.7608","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00320","K02990","RP-S6, MRPS6, rpsF","small subunit ribosomal protein S6","0.5030","0.5709","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00325","K03111","ssb","single-strand DNA-binding protein","0.4028","0.5247","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00330","K02963","RP-S18, MRPS18, rpsR","small subunit ribosomal protein S18","0.4440","0.5564","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00375","K02950","RP-S12, MRPS12, rpsL","small subunit ribosomal protein S12","0.5625","0.6211","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00380","K02992","RP-S7, MRPS7, rpsG","small subunit ribosomal protein S7","0.7119","0.6883","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00395","K02946","RP-S10, MRPS10, rpsJ","small subunit ribosomal protein S10","0.4873","0.5756","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00400","K02906","RP-L3, MRPL3, rplC","large subunit ribosomal protein L3","0.7341","0.6833","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00405","K02926","RP-L4, MRPL4, rplD","large subunit ribosomal protein L4","0.6807","0.6601","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00410","K02892","RP-L23, MRPL23, rplW","large subunit ribosomal protein L23","0.5987","0.6114","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00415","K02886","RP-L2, MRPL2, rplB","large subunit ribosomal protein L2","0.7119","0.6883","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00420","K02965","RP-S19, rpsS","small subunit ribosomal protein S19","0.4873","0.5756","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00425","K02890","RP-L22, MRPL22, rplV","large subunit ribosomal protein L22","0.4873","0.5756","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00430","K02982","RP-S3, rpsC","small subunit ribosomal protein S3","0.7119","0.6883","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00435","K02878","RP-L16, MRPL16, rplP","large subunit ribosomal protein L16","0.7119","0.6883","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00440","K02904","RP-L29, rpmC","large subunit ribosomal protein L29","0.4873","0.5756","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00445","K02961","RP-S17, MRPS17, rpsQ","small subunit ribosomal protein S17","0.4873","0.5756","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00450","K02874","RP-L14, MRPL14, rplN","large subunit ribosomal protein L14","0.5166","0.6003","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00455","K02895","RP-L24, MRPL24, rplX","large subunit ribosomal protein L24","0.5800","0.6162","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00460","K02931","RP-L5, MRPL5, rplE","large subunit ribosomal protein L5","0.7119","0.6883","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00465","K02954","RP-S14, MRPS14, rpsN","small subunit ribosomal protein S14","0.5625","0.6211","Leptotrichia sp. oral taxon 212"
"leo","AMK43_00470","K02994","RP-S8, rpsH","small subunit ribosomal protein S8","0.6293","0.6378","Leptotrichia sp. oral taxon 212"
