"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"pcp","JM49_00010","K03217","yidC, spoIIIJ, OXA1, ccfA","YidC/Oxa1 family membrane protein insertase","0.5327","0.5418","Pseudomonas chlororaphis subsp. aurantiaca"
"pcp","JM49_00045","K02108","ATPF0A, atpB","F-type H+-transporting ATPase subunit a","0.3003","0.3956","Pseudomonas chlororaphis subsp. aurantiaca"
"pcp","JM49_00055","K02109","ATPF0B, atpF","F-type H+-transporting ATPase subunit b","0.2660","0.3800","Pseudomonas chlororaphis subsp. aurantiaca"
"pcp","JM49_00060","K02113","ATPF1D, atpH","F-type H+-transporting ATPase subunit delta","0.2338","0.3650","Pseudomonas chlororaphis subsp. aurantiaca"
"pcp","JM49_00065","K02111","ATPF1A, atpA","F-type H+-transporting ATPase subunit alpha","0.3635","0.4331","Pseudomonas chlororaphis subsp. aurantiaca"
"pcp","JM49_00070","K02115","ATPF1G, atpG","F-type H+-transporting ATPase subunit gamma","0.3262","0.4160","Pseudomonas chlororaphis subsp. aurantiaca"
"pcp","JM49_00075","K02112","ATPF1B, atpD","F-type H+-transporting ATPase subunit beta","0.4028","0.4508","Pseudomonas chlororaphis subsp. aurantiaca"
"pcp","JM49_00080","K02114","ATPF1E, atpC","F-type H+-transporting ATPase subunit epsilon","0.0665","0.2761","Pseudomonas chlororaphis subsp. aurantiaca"
"pcp","JM49_00085","K04042","glmU","bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase","0.5073","0.2081","Pseudomonas chlororaphis subsp. aurantiaca"
"pcp","JM49_00095","K00820","glmS, GFPT","glucosamine--fructose-6-phosphate aminotransferase (isomerizing)","0.6712","0.7161","Pseudomonas chlororaphis subsp. aurantiaca"
"pcp","JM49_00260","K00772","mtaP, MTAP","5-methylthioadenosine phosphorylase","0.0000 ","0.0207","Pseudomonas chlororaphis subsp. aurantiaca"
