"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"ske","Sked_00010","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Sanguibacter keddieii"
"ske","Sked_00020","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Sanguibacter keddieii"
"ske","Sked_00030","K00033","PGD, gnd, gntZ","6-phosphogluconate dehydrogenase","0.0170","0.0284","Sanguibacter keddieii"
"ske","Sked_00040","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Sanguibacter keddieii"
"ske","Sked_00090","K14227","tRNA-Ile","tRNA Ile","0.0000 ","0.2024","Sanguibacter keddieii"
"ske","Sked_00110","K14218","tRNA-Ala","tRNA Ala","0.0060","0.2024","Sanguibacter keddieii"
"ske","Sked_00130","K03767","PPIA","peptidyl-prolyl cis-trans isomerase A (cyclophilin A)","0.0000 ","0.0178","Sanguibacter keddieii"
"ske","Sked_00170","K01664","pabA","para-aminobenzoate synthetase component II","0.0024","0.1645","Sanguibacter keddieii"
"ske","Sked_00200","K05364","pbpA","penicillin-binding protein A","0.0000 ","0.0344","Sanguibacter keddieii"
"ske","Sked_00250","K14228","tRNA-Leu","tRNA Leu","0.0060","0.2024","Sanguibacter keddieii"
"ske","Sked_00260","K00005","gldA","glycerol dehydrogenase","0.0000 ","0.0000 ","Sanguibacter keddieii"
"ske","Sked_00420","K13529","ada-alkA","AraC family transcriptional regulator, regulatory protein of adaptative response / DNA-3-methyladenine glycosylase II","0.0000 ","0.0035","Sanguibacter keddieii"
"ske","Sked_00450","K13953","adhP","alcohol dehydrogenase, propanol-preferring","0.0180","0.0178","Sanguibacter keddieii"
"ske","Sked_00470","K00281","GLDC, gcvP","glycine dehydrogenase","0.5052","0.3271","Sanguibacter keddieii"
"ske","Sked_00490","K00605","gcvT, AMT","aminomethyltransferase","0.5261","0.3955","Sanguibacter keddieii"
"ske","Sked_00500","K02437","gcvH, GCSH","glycine cleavage system H protein","0.4306","0.3273","Sanguibacter keddieii"
"ske","Sked_00580","K00549","metE","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase","0.0429","0.1899","Sanguibacter keddieii"
"ske","Sked_00590","K00297","metF, MTHFR","methylenetetrahydrofolate reductase (NADPH)","0.0012","0.0130","Sanguibacter keddieii"
"ske","Sked_00640","K01443","nagA, AMDHD2","N-acetylglucosamine-6-phosphate deacetylase","0.0053","0.0294","Sanguibacter keddieii"
"ske","Sked_00650","K12373","HEXA_B","hexosaminidase","0.0031","0.0048","Sanguibacter keddieii"
"ske","Sked_00670","K02564","nagB, GNPDA","glucosamine-6-phosphate deaminase","0.0075","0.0248","Sanguibacter keddieii"
"ske","Sked_00680","K00845","glk","glucokinase","0.0051","0.0269","Sanguibacter keddieii"
"ske","Sked_00790","K05813","ugpB","sn-glycerol 3-phosphate transport system substrate-binding protein","0.0000 ","0.0053","Sanguibacter keddieii"
"ske","Sked_00800","K05815","ugpE","sn-glycerol 3-phosphate transport system permease protein","0.0000 ","0.0053","Sanguibacter keddieii"
"ske","Sked_00810","K05814","ugpA","sn-glycerol 3-phosphate transport system permease protein","0.0000 ","0.0056","Sanguibacter keddieii"
"ske","Sked_00840","K01719","hemD, UROS","uroporphyrinogen-III synthase","0.3727","0.2247","Sanguibacter keddieii"
"ske","Sked_00850","K02303","cobA","uroporphyrin-III C-methyltransferase","0.0180","0.0406","Sanguibacter keddieii"
"ske","Sked_00860","K00362","nirB","nitrite reductase (NADH) large subunit","0.0000 ","0.0033","Sanguibacter keddieii"
"ske","Sked_00870","K00363","nirD","nitrite reductase (NADH) small subunit","0.0000 ","0.0036","Sanguibacter keddieii"
"ske","Sked_01050","K10441","rbsA","ribose transport system ATP-binding protein","0.0000 ","0.0057","Sanguibacter keddieii"
"ske","Sked_01060","K10440","rbsC","ribose transport system permease protein","0.0000 ","0.0053","Sanguibacter keddieii"
"ske","Sked_01070","K10439","rbsB","ribose transport system substrate-binding protein","0.0020","0.0020","Sanguibacter keddieii"
"ske","Sked_01080","K00852","rbsK, RBKS","ribokinase","0.0015","0.0048","Sanguibacter keddieii"
"ske","Sked_01090","K06726","rbsD","D-ribose pyranase","0.0000 ","0.0053","Sanguibacter keddieii"
"ske","Sked_01180","K18230","tylC, oleB, carA, srmB","macrolide transport system ATP-binding/permease protein","0.0000 ","0.0256","Sanguibacter keddieii"
"ske","Sked_01220","K01060","cah","cephalosporin-C deacetylase","0.0000 ","0.0000 ","Sanguibacter keddieii"
"ske","Sked_01410","K00156","poxB","pyruvate dehydrogenase (quinone)","0.0000 ","0.0140","Sanguibacter keddieii"
"ske","Sked_01440","K01179","E3.2.1.4","endoglucanase","0.0044","0.0058","Sanguibacter keddieii"
"ske","Sked_01520","K01835","pgm","phosphoglucomutase","0.0858","0.1247","Sanguibacter keddieii"
"ske","Sked_01720","K01875","SARS, serS","seryl-tRNA synthetase","0.6103","0.5347","Sanguibacter keddieii"
"ske","Sked_01750","K10232","aglE, ggtB","alpha-glucoside transport system substrate-binding protein","0.0000 ","0.0053","Sanguibacter keddieii"
