"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"dej","AWY79_00015","K02337","DPO3A1, dnaE","DNA polymerase III subunit alpha","0.9384","0.7471","Pseudodesulfovibrio indicus"
"dej","AWY79_00030","K01737","queD, ptpS, PTS","6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase","0.0013","0.1482","Pseudodesulfovibrio indicus"
"dej","AWY79_00060","K02414","fliK","flagellar hook-length control protein FliK","0.0000 ","0.0007","Pseudodesulfovibrio indicus"
"dej","AWY79_00065","K02389","flgD","flagellar basal-body rod modification protein FlgD","0.0000 ","0.0007","Pseudodesulfovibrio indicus"
"dej","AWY79_00070","K02390","flgE","flagellar hook protein FlgE","0.0000 ","0.0007","Pseudodesulfovibrio indicus"
"dej","AWY79_00345","K02406","fliC","flagellin","0.0016","0.0097","Pseudodesulfovibrio indicus"
"dej","AWY79_00355","K01905","E6.2.1.13","acetyl-CoA synthetase (ADP-forming)","0.0544","0.0255","Pseudodesulfovibrio indicus"
"dej","AWY79_00370","K00318","PRODH","proline dehydrogenase","0.0000 ","0.0037","Pseudodesulfovibrio indicus"
"dej","AWY79_00390","K14230","tRNA-Met","tRNA Met","0.0000 ","0.2024","Pseudodesulfovibrio indicus"
"dej","AWY79_00410","K12506","ispDF","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase","0.6234","0.3906","Pseudodesulfovibrio indicus"
"dej","AWY79_00420","K01883","CARS, cysS","cysteinyl-tRNA synthetase","0.6601","0.3696","Pseudodesulfovibrio indicus"
"dej","AWY79_00440","K02002","proX","glycine betaine/proline transport system substrate-binding protein","0.0000 ","0.0053","Pseudodesulfovibrio indicus"
"dej","AWY79_00450","K00108","betA, CHDH","choline dehydrogenase","0.0000 ","0.0107","Pseudodesulfovibrio indicus"
"dej","AWY79_00465","K02556","motA","chemotaxis protein MotA","0.0000 ","0.0000 ","Pseudodesulfovibrio indicus"
"dej","AWY79_00470","K02557","motB","chemotaxis protein MotB","0.0016","0.0085","Pseudodesulfovibrio indicus"
"dej","AWY79_00475","K02557","motB","chemotaxis protein MotB","0.0016","0.0085","Pseudodesulfovibrio indicus"
"dej","AWY79_00485","K02417","fliNY, fliN","flagellar motor switch protein FliN/FliY","0.0067","0.0087","Pseudodesulfovibrio indicus"
"dej","AWY79_00490","K02418","fliOZ, fliO","flagellar protein FliO/FliZ","0.0021","0.0042","Pseudodesulfovibrio indicus"
"dej","AWY79_00495","K02419","fliP","flagellar biosynthetic protein FliP","0.0000 ","0.0007","Pseudodesulfovibrio indicus"
"dej","AWY79_00500","K02420","fliQ","flagellar biosynthetic protein FliQ","0.0000 ","0.0013","Pseudodesulfovibrio indicus"
"dej","AWY79_00595","K01895","ACSS, acs","acetyl-CoA synthetase","0.0111","0.0269","Pseudodesulfovibrio indicus"
"dej","AWY79_00630","K03701","uvrA","excinuclease ABC subunit A","0.0009","0.0194","Pseudodesulfovibrio indicus"
"dej","AWY79_00670","K10439","rbsB","ribose transport system substrate-binding protein","0.0020","0.0020","Pseudodesulfovibrio indicus"
"dej","AWY79_00680","K01810","GPI, pgi","glucose-6-phosphate isomerase","0.3262","0.3873","Pseudodesulfovibrio indicus"
"dej","AWY79_00730","K00812","aspB","aspartate aminotransferase","0.2316","0.1300","Pseudodesulfovibrio indicus"
"dej","AWY79_00745","K00525","E1.17.4.1A, nrdA, nrdE","ribonucleoside-diphosphate reductase alpha chain","0.7656","0.6595","Pseudodesulfovibrio indicus"
"dej","AWY79_00750","K01442","E3.5.1.24","choloylglycine hydrolase","0.0029","0.0040","Pseudodesulfovibrio indicus"
"dej","AWY79_00760","K01951","guaA, GMPS","GMP synthase (glutamine-hydrolysing)","0.4583","0.4623","Pseudodesulfovibrio indicus"
