"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"bpt","Bpet0001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Bordetella petrii"
"bpt","Bpet0002","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Bordetella petrii"
"bpt","Bpet0009","K01935","bioD","dethiobiotin synthetase","0.0414","0.1142","Bordetella petrii"
"bpt","Bpet0010","K00652","bioF","8-amino-7-oxononanoate synthase","0.0414","0.0827","Bordetella petrii"
"bpt","Bpet0011","K00833","bioA","adenosylmethionine---8-amino-7-oxononanoate aminotransferase","0.0190","0.0731","Bordetella petrii"
"bpt","Bpet0013","K01512","acyP","acylphosphatase","0.0000 ","0.0000 ","Bordetella petrii"
"bpt","Bpet0014","K00101","lldD","L-lactate dehydrogenase (cytochrome)","0.0017","0.0122","Bordetella petrii"
"bpt","Bpet0021","K00077","panE, apbA","2-dehydropantoate 2-reductase","0.0526","0.2248","Bordetella petrii"
"bpt","Bpet0024","K02858","ribB, RIB3","3,4-dihydroxy 2-butanone 4-phosphate synthase","0.2472","0.2616","Bordetella petrii"
"bpt","Bpet0027","K01652","E2.2.1.6L, ilvB, ilvG, ilvI","acetolactate synthase I/II/III large subunit","0.0184","0.0311","Bordetella petrii"
"bpt","Bpet0032","K00128","ALDH","aldehyde dehydrogenase (NAD+)","0.0018","0.0086","Bordetella petrii"
"bpt","Bpet0042","K00821","argD","acetylornithine/N-succinyldiaminopimelate aminotransferase","0.2629","0.0658","Bordetella petrii"
"bpt","Bpet0045","K00249","ACADM, acd","acyl-CoA dehydrogenase","0.0080","0.0113","Bordetella petrii"
"bpt","Bpet0055","K01968","E6.4.1.4A","3-methylcrotonyl-CoA carboxylase alpha subunit","0.0000 ","0.0950","Bordetella petrii"
"bpt","Bpet0056","K01969","E6.4.1.4B","3-methylcrotonyl-CoA carboxylase beta subunit","0.0000 ","0.0887","Bordetella petrii"
"bpt","Bpet0057","K00626","E2.3.1.9, atoB","acetyl-CoA C-acetyltransferase","0.0206","0.0393","Bordetella petrii"
"bpt","Bpet0059","K00253","IVD, ivd","isovaleryl-CoA dehydrogenase","0.0106","0.0046","Bordetella petrii"
"bpt","Bpet0066","K01760","metC","cystathionine beta-lyase","0.3447","0.2232","Bordetella petrii"
"bpt","Bpet0067","K03673","dsbA","thiol:disulfide interchange protein DsbA","0.0000 ","0.0184","Bordetella petrii"
"bpt","Bpet0069","K01887","RARS, argS","arginyl-tRNA synthetase","0.5800","0.5082","Bordetella petrii"
"bpt","Bpet0072","K05815","ugpE","sn-glycerol 3-phosphate transport system permease protein","0.0000 ","0.0053","Bordetella petrii"
"bpt","Bpet0073","K05814","ugpA","sn-glycerol 3-phosphate transport system permease protein","0.0000 ","0.0056","Bordetella petrii"
"bpt","Bpet0074","K05813","ugpB","sn-glycerol 3-phosphate transport system substrate-binding protein","0.0000 ","0.0053","Bordetella petrii"
