"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"camu","CA2015_0001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Cyclobacterium amurskyense"
"camu","CA2015_0012","K01902","sucD","succinyl-CoA synthetase alpha subunit","0.0631","0.0742","Cyclobacterium amurskyense"
"camu","CA2015_0037","K02510","hpaI, hpcH","4-hydroxy-2-oxoheptanedioate aldolase","0.0000 ","0.0000 ","Cyclobacterium amurskyense"
"camu","CA2015_0039","K00045","E1.1.1.67, mtlK","mannitol 2-dehydrogenase","0.0000 ","0.0002","Cyclobacterium amurskyense"
"camu","CA2015_0042","K01714","dapA","4-hydroxy-tetrahydrodipicolinate synthase","0.4899","0.3442","Cyclobacterium amurskyense"
"camu","CA2015_0050","K03782","katG","catalase-peroxidase","0.0071","0.0192","Cyclobacterium amurskyense"
"camu","CA2015_0066","K01126","E3.1.4.46, glpQ, ugpQ","glycerophosphoryl diester phosphodiesterase","0.0000 ","0.0333","Cyclobacterium amurskyense"
"camu","CA2015_0080","K00174","korA, oorA, oforA","2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha","0.7777","0.7464","Cyclobacterium amurskyense"
"camu","CA2015_0081","K00175","korB, oorB, oforB","2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta","0.7777","0.7464","Cyclobacterium amurskyense"
"camu","CA2015_0100","K01681","ACO, acnA","aconitate hydratase","0.1854","0.2183","Cyclobacterium amurskyense"
"camu","CA2015_0103","K00074","paaH, hbd, fadB, mmgB","3-hydroxybutyryl-CoA dehydrogenase","0.0021","0.0057","Cyclobacterium amurskyense"
"camu","CA2015_0104","K01845","hemL","glutamate-1-semialdehyde 2,1-aminomutase","0.1623","0.1170","Cyclobacterium amurskyense"
"camu","CA2015_0105","K00074","paaH, hbd, fadB, mmgB","3-hydroxybutyryl-CoA dehydrogenase","0.0021","0.0057","Cyclobacterium amurskyense"
"camu","CA2015_0109","K01845","hemL","glutamate-1-semialdehyde 2,1-aminomutase","0.1623","0.1170","Cyclobacterium amurskyense"
"camu","CA2015_0147","K08738","CYC","cytochrome c","0.0029","0.0053","Cyclobacterium amurskyense"
"camu","CA2015_0159","K12373","HEXA_B","hexosaminidase","0.0031","0.0048","Cyclobacterium amurskyense"
"camu","CA2015_0164","K00857","tdk, TK","thymidine kinase","0.0402","0.0518","Cyclobacterium amurskyense"
"camu","CA2015_0165","K03584","recO","DNA repair protein RecO (recombination protein O)","0.0010","0.0357","Cyclobacterium amurskyense"
"camu","CA2015_0172","K00368","nirK","nitrite reductase (NO-forming)","0.0000 ","0.0236","Cyclobacterium amurskyense"
"camu","CA2015_0188","K04561","norB","nitric oxide reductase subunit B","0.0039","0.0051","Cyclobacterium amurskyense"
"camu","CA2015_0189","K02305","norC","nitric oxide reductase subunit C","0.0000 ","0.0236","Cyclobacterium amurskyense"
"camu","CA2015_0210","K00616","E2.2.1.2, talA, talB","transaldolase","0.2499","0.2247","Cyclobacterium amurskyense"
"camu","CA2015_0212","K09812","ftsE","cell division transport system ATP-binding protein","0.1086","0.0737","Cyclobacterium amurskyense"
"camu","CA2015_0218","K00075","murB","UDP-N-acetylmuramate dehydrogenase","0.7026","0.7608","Cyclobacterium amurskyense"
"camu","CA2015_0219","K01493","comEB","dCMP deaminase","0.1422","0.1520","Cyclobacterium amurskyense"
"camu","CA2015_0230","K02314","dnaB","replicative DNA helicase","0.6807","0.7836","Cyclobacterium amurskyense"
"camu","CA2015_0231","K02342","DPO3E, dnaQ","DNA polymerase III subunit epsilon","0.8212","0.6494","Cyclobacterium amurskyense"
"camu","CA2015_0238","K01681","ACO, acnA","aconitate hydratase","0.1854","0.2183","Cyclobacterium amurskyense"
"camu","CA2015_0239","K02067","mlaD, linM","phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein","0.0000 ","0.0053","Cyclobacterium amurskyense"
"camu","CA2015_0240","K02065","mlaF, linL, mkl","phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein","0.0012","0.0117","Cyclobacterium amurskyense"
"camu","CA2015_0241","K02066","mlaE, linK","phospholipid/cholesterol/gamma-HCH transport system permease protein","0.0012","0.0117","Cyclobacterium amurskyense"
"camu","CA2015_0248","K01444","AGA, aspG","N4-(beta-N-acetylglucosaminyl)-L-asparaginase","0.0000 ","0.0203","Cyclobacterium amurskyense"
"camu","CA2015_0250","K02564","nagB, GNPDA","glucosamine-6-phosphate deaminase","0.0075","0.0248","Cyclobacterium amurskyense"
"camu","CA2015_0251","K00845","glk","glucokinase","0.0051","0.0269","Cyclobacterium amurskyense"
"camu","CA2015_0255","K01835","pgm","phosphoglucomutase","0.0858","0.1247","Cyclobacterium amurskyense"
"camu","CA2015_0258","K00826","E2.6.1.42, ilvE","branched-chain amino acid aminotransferase","0.0166","0.0653","Cyclobacterium amurskyense"
