"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"bsz","DK67_1","K00111","glpA, glpD","glycerol-3-phosphate dehydrogenase","0.0013","0.0904","Brucella suis bv. 3"
"bsz","DK67_10","K16871","POP2","4-aminobutyrate---pyruvate transaminase","0.0051","0.0105","Brucella suis bv. 3"
"bsz","DK67_100","K02193","ccmA","heme exporter protein A","0.0206","0.0071","Brucella suis bv. 3"
"bsz","DK67_1000","K02188","cbiD","cobalt-precorrin-5B (C1)-methyltransferase","0.0024","0.0310","Brucella suis bv. 3"
"bsz","DK67_1001","K02303","cobA","uroporphyrin-III C-methyltransferase","0.0180","0.0406","Brucella suis bv. 3"
"bsz","DK67_1002","K02224","cobB-cbiA","cobyrinic acid a,c-diamide synthase","0.0085","0.0355","Brucella suis bv. 3"
"bsz","DK67_1003","K02225","cobC1, cobC","cobalamin biosynthetic protein CobC","0.0039","0.0483","Brucella suis bv. 3"
"bsz","DK67_1004","K01999","livK","branched-chain amino acid transport system substrate-binding protein","0.0000 ","0.0005","Brucella suis bv. 3"
"bsz","DK67_1005","K02227","cbiB, cobD","adenosylcobinamide-phosphate synthase","0.0018","0.0321","Brucella suis bv. 3"
"bsz","DK67_1006","K13786","cobR","cob(II)yrinic acid a,c-diamide reductase","0.0000 ","0.0286","Brucella suis bv. 3"
"bsz","DK67_1009","K13541","cbiGH-cobJ","cobalt-precorrin 5A hydrolase / precorrin-3B C17-methyltransferase","0.0051","0.0292","Brucella suis bv. 3"
"bsz","DK67_101","K01681","ACO, acnA","aconitate hydratase","0.1854","0.2183","Brucella suis bv. 3"
"bsz","DK67_1010","K03394","cobI-cbiL","precorrin-2/cobalt-factor-2 C20-methyltransferase","0.0022","0.0296","Brucella suis bv. 3"
"bsz","DK67_1011","K06042","cobH-cbiC","precorrin-8X/cobalt-precorrin-8 methylmutase","0.0026","0.0308","Brucella suis bv. 3"
"bsz","DK67_1012","K02229","cobG","precorrin-3B synthase","0.0000 ","0.0358","Brucella suis bv. 3"
"bsz","DK67_1013","K00595","cobL","precorrin-6Y C5,15-methyltransferase (decarboxylating)","0.0029","0.0305","Brucella suis bv. 3"
"bsz","DK67_1019","K14224","tRNA-Glu","tRNA Glu","0.0000 ","0.2024","Brucella suis bv. 3"
"bsz","DK67_1020","K14224","tRNA-Glu","tRNA Glu","0.0000 ","0.2024","Brucella suis bv. 3"
"bsz","DK67_1024","K00003","E1.1.1.3","homoserine dehydrogenase","0.1029","0.1079","Brucella suis bv. 3"
"bsz","DK67_1025","K11532","glpX-SEBP","fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase","0.5462","0.5094","Brucella suis bv. 3"
"bsz","DK67_1026","K01921","ddl","D-alanine-D-alanine ligase","0.5987","0.5198","Brucella suis bv. 3"
"bsz","DK67_1027","K07462","recJ","single-stranded-DNA-specific exonuclease","0.0042","0.0324","Brucella suis bv. 3"
"bsz","DK67_1029","K01759","GLO1, gloA","lactoylglutathione lyase","0.0000 ","0.0104","Brucella suis bv. 3"
"bsz","DK67_1033","K00640","cysE","serine O-acetyltransferase","0.0386","0.0820","Brucella suis bv. 3"
"bsz","DK67_104","K03823","pat","phosphinothricin acetyltransferase","0.0000 ","0.0002","Brucella suis bv. 3"
"bsz","DK67_1043","K14236","tRNA-Tyr","tRNA Tyr","0.0000 ","0.2024","Brucella suis bv. 3"
"bsz","DK67_1044","K14225","tRNA-Gly","tRNA Gly","0.0000 ","0.2024","Brucella suis bv. 3"
"bsz","DK67_1046","K14235","tRNA-Trp","tRNA Trp","0.0060","0.2024","Brucella suis bv. 3"
"bsz","DK67_1047","K03073","secE","preprotein translocase subunit SecE","0.5987","0.5577","Brucella suis bv. 3"
"bsz","DK67_1049","K02867","RP-L11, MRPL11, rplK","large subunit ribosomal protein L11","0.5327","0.5955","Brucella suis bv. 3"
"bsz","DK67_1050","K02863","RP-L1, MRPL1, rplA","large subunit ribosomal protein L1","0.4306","0.5610","Brucella suis bv. 3"
"bsz","DK67_1051","K02864","RP-L10, MRPL10, rplJ","large subunit ribosomal protein L10","0.5800","0.6162","Brucella suis bv. 3"
"bsz","DK67_1052","K02935","RP-L7, MRPL12, rplL","large subunit ribosomal protein L7/L12","0.6601","0.6651","Brucella suis bv. 3"
"bsz","DK67_1053","K03043","rpoB","DNA-directed RNA polymerase subunit beta","0.9384","0.8359","Brucella suis bv. 3"
"bsz","DK67_1054","K03046","rpoC","DNA-directed RNA polymerase subunit beta","0.9384","0.8387","Brucella suis bv. 3"
"bsz","DK67_1056","K02950","RP-S12, MRPS12, rpsL","small subunit ribosomal protein S12","0.5625","0.6211","Brucella suis bv. 3"
"bsz","DK67_1057","K02992","RP-S7, MRPS7, rpsG","small subunit ribosomal protein S7","0.7119","0.6883","Brucella suis bv. 3"
"bsz","DK67_1060","K02946","RP-S10, MRPS10, rpsJ","small subunit ribosomal protein S10","0.4873","0.5756","Brucella suis bv. 3"
"bsz","DK67_1061","K02906","RP-L3, MRPL3, rplC","large subunit ribosomal protein L3","0.7341","0.6833","Brucella suis bv. 3"
"bsz","DK67_1062","K02926","RP-L4, MRPL4, rplD","large subunit ribosomal protein L4","0.6807","0.6601","Brucella suis bv. 3"
"bsz","DK67_1063","K02892","RP-L23, MRPL23, rplW","large subunit ribosomal protein L23","0.5987","0.6114","Brucella suis bv. 3"
"bsz","DK67_1064","K02886","RP-L2, MRPL2, rplB","large subunit ribosomal protein L2","0.7119","0.6883","Brucella suis bv. 3"
"bsz","DK67_1065","K02965","RP-S19, rpsS","small subunit ribosomal protein S19","0.4873","0.5756","Brucella suis bv. 3"
"bsz","DK67_1066","K02890","RP-L22, MRPL22, rplV","large subunit ribosomal protein L22","0.4873","0.5756","Brucella suis bv. 3"
"bsz","DK67_1067","K02982","RP-S3, rpsC","small subunit ribosomal protein S3","0.7119","0.6883","Brucella suis bv. 3"
"bsz","DK67_1068","K02878","RP-L16, MRPL16, rplP","large subunit ribosomal protein L16","0.7119","0.6883","Brucella suis bv. 3"
"bsz","DK67_1069","K02904","RP-L29, rpmC","large subunit ribosomal protein L29","0.4873","0.5756","Brucella suis bv. 3"
"bsz","DK67_1070","K02961","RP-S17, MRPS17, rpsQ","small subunit ribosomal protein S17","0.4873","0.5756","Brucella suis bv. 3"
"bsz","DK67_1071","K02874","RP-L14, MRPL14, rplN","large subunit ribosomal protein L14","0.5166","0.6003","Brucella suis bv. 3"
"bsz","DK67_1072","K02895","RP-L24, MRPL24, rplX","large subunit ribosomal protein L24","0.5800","0.6162","Brucella suis bv. 3"
"bsz","DK67_1073","K02931","RP-L5, MRPL5, rplE","large subunit ribosomal protein L5","0.7119","0.6883","Brucella suis bv. 3"
"bsz","DK67_1074","K02954","RP-S14, MRPS14, rpsN","small subunit ribosomal protein S14","0.5625","0.6211","Brucella suis bv. 3"
"bsz","DK67_1075","K02994","RP-S8, rpsH","small subunit ribosomal protein S8","0.6293","0.6378","Brucella suis bv. 3"
"bsz","DK67_1076","K02933","RP-L6, MRPL6, rplF","large subunit ribosomal protein L6","0.7656","0.7124","Brucella suis bv. 3"
"bsz","DK67_1077","K02881","RP-L18, MRPL18, rplR","large subunit ribosomal protein L18","0.5625","0.6211","Brucella suis bv. 3"
"bsz","DK67_1078","K02988","RP-S5, MRPS5, rpsE","small subunit ribosomal protein S5","0.7119","0.6883","Brucella suis bv. 3"
"bsz","DK67_1079","K02907","RP-L30, MRPL30, rpmD","large subunit ribosomal protein L30","0.3727","0.4868","Brucella suis bv. 3"
"bsz","DK67_108","K10804","tesA","acyl-CoA thioesterase I","0.0000 ","0.0033","Brucella suis bv. 3"
"bsz","DK67_1080","K02876","RP-L15, MRPL15, rplO","large subunit ribosomal protein L15","0.5625","0.6211","Brucella suis bv. 3"
"bsz","DK67_1081","K03076","secY","preprotein translocase subunit SecY","0.6601","0.6114","Brucella suis bv. 3"
"bsz","DK67_1082","K00939","adk, AK","adenylate kinase","0.8789","0.7609","Brucella suis bv. 3"
"bsz","DK67_1083","K02952","RP-S13, rpsM","small subunit ribosomal protein S13","0.6103","0.6427","Brucella suis bv. 3"
"bsz","DK67_1084","K02948","RP-S11, MRPS11, rpsK","small subunit ribosomal protein S11","0.7119","0.6883","Brucella suis bv. 3"
"bsz","DK67_1085","K03040","rpoA","DNA-directed RNA polymerase subunit alpha","0.9384","0.8488","Brucella suis bv. 3"
"bsz","DK67_1086","K02879","RP-L17, MRPL17, rplQ","large subunit ribosomal protein L17","0.4726","0.5803","Brucella suis bv. 3"
