"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"bju","BJ6T_00070","K00526","E1.17.4.1B, nrdB, nrdF","ribonucleoside-diphosphate reductase beta chain","0.7656","0.6595","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_00080","K00525","E1.17.4.1A, nrdA, nrdE","ribonucleoside-diphosphate reductase alpha chain","0.7656","0.6595","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_00390","K10001","gltI, aatJ","glutamate/aspartate transport system substrate-binding protein","0.0000 ","0.0007","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_00400","K10003","gltJ, aatQ","glutamate/aspartate transport system permease protein","0.0000 ","0.0006","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_00440","K03205","virD4, lvhD4","type IV secretion system protein VirD4","0.0000 ","0.0001","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_00720","K01141","sbcB, exoI","exodeoxyribonuclease I","0.0029","0.0124","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_00990","K01470","E3.5.2.10","creatinine amidohydrolase","0.0206","0.0067","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_01110","K10001","gltI, aatJ","glutamate/aspartate transport system substrate-binding protein","0.0000 ","0.0007","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_01200","K01801","nagL","maleylpyruvate isomerase","0.0000 ","0.0067","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_01210","K00450","E1.13.11.4","gentisate 1,2-dioxygenase","0.0000 ","0.0203","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_01290","K13766","liuC","methylglutaconyl-CoA hydratase","0.0051","0.0034","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_01300","K00077","panE, apbA","2-dehydropantoate 2-reductase","0.0526","0.2248","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_01320","K00249","ACADM, acd","acyl-CoA dehydrogenase","0.0080","0.0113","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_01350","K01465","URA4, pyrC","dihydroorotase","0.0386","0.1747","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_01390","K14219","tRNA-Arg","tRNA Arg","0.0000 ","0.2024","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_01450","K15868","baiB","bile acid-coenzyme A ligase","0.0000 ","0.0010","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_01490","K00077","panE, apbA","2-dehydropantoate 2-reductase","0.0526","0.2248","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_01530","K00249","ACADM, acd","acyl-CoA dehydrogenase","0.0080","0.0113","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_01570","K15866","paaG","2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase","0.0000 ","0.0013","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_01580","K01999","livK","branched-chain amino acid transport system substrate-binding protein","0.0000 ","0.0005","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_01630","K08738","CYC","cytochrome c","0.0029","0.0053","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_01650","K02297","cyoA","cytochrome o ubiquinol oxidase subunit II","0.0022","0.0171","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_01660","K02298","cyoB","cytochrome o ubiquinol oxidase subunit I","0.0000 ","0.0160","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_01670","K02299","cyoC","cytochrome o ubiquinol oxidase subunit III","0.0022","0.0169","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_01680","K02300","cyoD","cytochrome o ubiquinol oxidase subunit IV","0.0091","0.0184","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_01700","K15011","regB, regS, actS","two-component system, sensor histidine kinase RegB","0.0000 ","0.0013","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_01710","K15012","regA, regR, actR","two-component system, response regulator RegA","0.0000 ","0.0007","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_01770","K02902","RP-L28, MRPL28, rpmB","large subunit ribosomal protein L28","0.3164","0.5072","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_01910","K09883","cobT","cobaltochelatase CobT","0.0157","0.0483","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_01930","K09882","cobS","cobaltochelatase CobS","0.0355","0.0302","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_01950","K01647","CS, gltA","citrate synthase","0.2338","0.2171","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_01960","K01647","CS, gltA","citrate synthase","0.2338","0.2171","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_02010","K01735","aroB","3-dehydroquinate synthase","0.1039","0.1485","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_02020","K00891","E2.7.1.71, aroK, aroL","shikimate kinase","0.1756","0.1196","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_02050","K01962","accA","acetyl-CoA carboxylase carboxyl transferase subunit alpha","0.6626","0.6603","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_02070","K01996","livF","branched-chain amino acid transport system ATP-binding protein","0.0000 ","0.0002","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_02080","K11962","urtD","urea transport system ATP-binding protein","0.0000 ","0.0053","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_02090","K01998","livM","branched-chain amino acid transport system permease protein","0.0000 ","0.0000 ","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_02100","K01999","livK","branched-chain amino acid transport system substrate-binding protein","0.0000 ","0.0005","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_02110","K01997","livH","branched-chain amino acid transport system permease protein","0.0000 ","0.0000 ","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_02120","K01426","E3.5.1.4, amiE","amidase","0.0000 ","0.0465","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_02150","K03070","secA","preprotein translocase subunit SecA","0.3906","0.4886","Bradyrhizobium japonicum USDA 6"
"bju","BJ6T_02170","K00620","argJ","glutamate N-acetyltransferase / amino-acid N-acetyltransferase","0.1209","0.0773","Bradyrhizobium japonicum USDA 6"
