"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"bthi","BTK_00005","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Bacillus thuringiensis serovar kurstaki HD-1"
"bthi","BTK_00010","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Bacillus thuringiensis serovar kurstaki HD-1"
"bthi","BTK_00020","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Bacillus thuringiensis serovar kurstaki HD-1"
"bthi","BTK_00060","K00088","IMPDH, guaB","IMP dehydrogenase","0.3003","0.3932","Bacillus thuringiensis serovar kurstaki HD-1"
"bthi","BTK_00075","K06215","pdxS, pdx1","pyridoxal 5-phosphate synthase pdxS subunit","0.0000 ","0.0470","Bacillus thuringiensis serovar kurstaki HD-1"
"bthi","BTK_00080","K08681","pdxT, pdx2","5-phosphate synthase pdxT subunit","0.0000 ","0.0470","Bacillus thuringiensis serovar kurstaki HD-1"
"bthi","BTK_00085","K01875","SARS, serS","seryl-tRNA synthetase","0.6103","0.5347","Bacillus thuringiensis serovar kurstaki HD-1"
"bthi","BTK_00095","K15519","dck","deoxyadenosine/deoxycytidine kinase","0.0882","0.2496","Bacillus thuringiensis serovar kurstaki HD-1"
"bthi","BTK_00100","K15518","dgk","deoxyguanosine kinase","0.0631","0.0455","Bacillus thuringiensis serovar kurstaki HD-1"
"bthi","BTK_00115","K02343","DPO3G, dnaX","DNA polymerase III subunit gamma/tau","0.9384","0.9971","Bacillus thuringiensis serovar kurstaki HD-1"
"bthi","BTK_00125","K06187","recR","recombination protein RecR","0.0040","0.0446","Bacillus thuringiensis serovar kurstaki HD-1"
"bthi","BTK_00150","K00943","tmk, DTYMK","dTMP kinase","0.7026","0.4891","Bacillus thuringiensis serovar kurstaki HD-1"
"bthi","BTK_00155","K02341","DPO3D2, holB","DNA polymerase III subunit delta","0.9384","0.9971","Bacillus thuringiensis serovar kurstaki HD-1"
"bthi","BTK_00190","K01874","MARS, metG","methionyl-tRNA synthetase","0.3906","0.3932","Bacillus thuringiensis serovar kurstaki HD-1"
"bthi","BTK_00225","K00919","ispE","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase","0.5198","0.4114","Bacillus thuringiensis serovar kurstaki HD-1"
"bthi","BTK_00245","K04042","glmU","bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase","0.5073","0.2081","Bacillus thuringiensis serovar kurstaki HD-1"
"bthi","BTK_00250","K00948","PRPS, prsA","ribose-phosphate pyrophosphokinase","0.7656","0.8943","Bacillus thuringiensis serovar kurstaki HD-1"
"bthi","BTK_00265","K03723","mfd","transcription-repair coupling factor (superfamily II helicase)","0.0010","0.0189","Bacillus thuringiensis serovar kurstaki HD-1"
"bthi","BTK_00320","K00760","hprT, hpt, HPRT1","hypoxanthine phosphoribosyltransferase","0.1815","0.3313","Bacillus thuringiensis serovar kurstaki HD-1"
"bthi","BTK_00330","K03525","coaX","type III pantothenate kinase","0.4954","0.4088","Bacillus thuringiensis serovar kurstaki HD-1"
"bthi","BTK_00340","K01738","cysK","cysteine synthase A","0.0899","0.1017","Bacillus thuringiensis serovar kurstaki HD-1"
"bthi","BTK_00345","K01665","pabB","para-aminobenzoate synthetase component I","0.0137","0.1631","Bacillus thuringiensis serovar kurstaki HD-1"
"bthi","BTK_00350","K01664","pabA","para-aminobenzoate synthetase component II","0.0024","0.1645","Bacillus thuringiensis serovar kurstaki HD-1"
"bthi","BTK_00355","K02619","pabC","4-amino-4-deoxychorismate lyase","0.0017","0.1705","Bacillus thuringiensis serovar kurstaki HD-1"
"bthi","BTK_00360","K00796","folP","dihydropteroate synthase","0.5030","0.3686","Bacillus thuringiensis serovar kurstaki HD-1"
"bthi","BTK_00365","K01633","folB","dihydroneopterin aldolase / 7,8-dihydroneopterin epimerase","0.4583","0.2731","Bacillus thuringiensis serovar kurstaki HD-1"
"bthi","BTK_00370","K00950","folK","2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase","0.4583","0.4040","Bacillus thuringiensis serovar kurstaki HD-1"
"bthi","BTK_00385","K04567","KARS, lysS","lysyl-tRNA synthetase, class II","0.4899","0.4350","Bacillus thuringiensis serovar kurstaki HD-1"
