"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"sgy","Sgly_0001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Syntrophobotulus glycolicus"
"sgy","Sgly_0002","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Syntrophobotulus glycolicus"
"sgy","Sgly_0003","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Syntrophobotulus glycolicus"
"sgy","Sgly_0007","K06215","pdxS, pdx1","pyridoxal 5-phosphate synthase pdxS subunit","0.0000 ","0.0470","Syntrophobotulus glycolicus"
"sgy","Sgly_0008","K08681","pdxT, pdx2","5-phosphate synthase pdxT subunit","0.0000 ","0.0470","Syntrophobotulus glycolicus"
"sgy","Sgly_0009","K01875","SARS, serS","seryl-tRNA synthetase","0.6103","0.5347","Syntrophobotulus glycolicus"
"sgy","Sgly_0021","K06131","clsA_B","cardiolipin synthase A/B","0.0144","0.0916","Syntrophobotulus glycolicus"
"sgy","Sgly_0022","K03101","lspA","signal peptidase II","0.2338","0.2223","Syntrophobotulus glycolicus"
"sgy","Sgly_0034","K03205","virD4, lvhD4","type IV secretion system protein VirD4","0.0000 ","0.0001","Syntrophobotulus glycolicus"
"sgy","Sgly_0047","K00558","DNMT1, dcm","DNA (cytosine-5)-methyltransferase 1","0.1370","0.1102","Syntrophobotulus glycolicus"
"sgy","Sgly_0051","K00558","DNMT1, dcm","DNA (cytosine-5)-methyltransferase 1","0.1370","0.1102","Syntrophobotulus glycolicus"
"sgy","Sgly_0076","K06223","dam","DNA adenine methylase","0.0192","0.0218","Syntrophobotulus glycolicus"
"sgy","Sgly_0121","K03406","mcp","methyl-accepting chemotaxis protein","0.0071","0.0042","Syntrophobotulus glycolicus"
"sgy","Sgly_0130","K02040","pstS","phosphate transport system substrate-binding protein","0.0099","0.0481","Syntrophobotulus glycolicus"
"sgy","Sgly_0131","K02037","pstC","phosphate transport system permease protein","0.0099","0.0317","Syntrophobotulus glycolicus"
"sgy","Sgly_0132","K02038","pstA","phosphate transport system permease protein","0.0184","0.0317","Syntrophobotulus glycolicus"
"sgy","Sgly_0133","K02036","pstB","phosphate transport system ATP-binding protein","0.0103","0.0272","Syntrophobotulus glycolicus"
"sgy","Sgly_0135","K07658","phoB1, phoP","two-component system, OmpR family, alkaline phosphatase synthesis response regulator PhoP","0.0000 ","0.0028","Syntrophobotulus glycolicus"
"sgy","Sgly_0136","K07636","phoR","two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR","0.0120","0.0013","Syntrophobotulus glycolicus"
"sgy","Sgly_0139","K00176","korD, oorD","2-oxoglutarate ferredoxin oxidoreductase subunit delta","0.0206","0.2277","Syntrophobotulus glycolicus"
"sgy","Sgly_0147","K01524","ppx-gppA","exopolyphosphatase / guanosine-5-triphosphate,3-diphosphate pyrophosphatase","0.0111","0.0535","Syntrophobotulus glycolicus"
"sgy","Sgly_0148","K00937","ppk","polyphosphate kinase","0.0000 ","0.0000 ","Syntrophobotulus glycolicus"
"sgy","Sgly_0149","K01524","ppx-gppA","exopolyphosphatase / guanosine-5-triphosphate,3-diphosphate pyrophosphatase","0.0111","0.0535","Syntrophobotulus glycolicus"
"sgy","Sgly_0158","K09816","znuB","zinc transport system permease protein","0.0016","0.0058","Syntrophobotulus glycolicus"
"sgy","Sgly_0159","K09817","znuC","zinc transport system ATP-binding protein","0.0000 ","0.0053","Syntrophobotulus glycolicus"
"sgy","Sgly_0160","K09815","znuA","zinc transport system substrate-binding protein","0.0064","0.0067","Syntrophobotulus glycolicus"
"sgy","Sgly_0161","K02343","DPO3G, dnaX","DNA polymerase III subunit gamma/tau","0.9384","0.9971","Syntrophobotulus glycolicus"
"sgy","Sgly_0163","K06187","recR","recombination protein RecR","0.0040","0.0446","Syntrophobotulus glycolicus"
"sgy","Sgly_0165","K03737","por, nifJ","pyruvate-ferredoxin/flavodoxin oxidoreductase","0.7509","0.7507","Syntrophobotulus glycolicus"
"sgy","Sgly_0169","K02341","DPO3D2, holB","DNA polymerase III subunit delta","0.9384","0.9971","Syntrophobotulus glycolicus"
"sgy","Sgly_0174","K01874","MARS, metG","methionyl-tRNA synthetase","0.3906","0.3932","Syntrophobotulus glycolicus"
"sgy","Sgly_0177","K13280","SEC11, sipW","signal peptidase, endoplasmic reticulum-type","0.0000 ","0.0806","Syntrophobotulus glycolicus"
"sgy","Sgly_0182","K01912","paaK","phenylacetate-CoA ligase","0.0000 ","0.0000 ","Syntrophobotulus glycolicus"
"sgy","Sgly_0186","K03406","mcp","methyl-accepting chemotaxis protein","0.0071","0.0042","Syntrophobotulus glycolicus"
"sgy","Sgly_0190","K00919","ispE","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase","0.5198","0.4114","Syntrophobotulus glycolicus"
"sgy","Sgly_0194","K04042","glmU","bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase","0.5073","0.2081","Syntrophobotulus glycolicus"
"sgy","Sgly_0195","K00948","PRPS, prsA","ribose-phosphate pyrophosphokinase","0.7656","0.8943","Syntrophobotulus glycolicus"
"sgy","Sgly_0199","K03723","mfd","transcription-repair coupling factor (superfamily II helicase)","0.0010","0.0189","Syntrophobotulus glycolicus"
"sgy","Sgly_0212","K00940","ndk, NME","nucleoside-diphosphate kinase","0.7341","0.8327","Syntrophobotulus glycolicus"
"sgy","Sgly_0215","K01938","fhs","formate--tetrahydrofolate ligase","0.3722","0.4160","Syntrophobotulus glycolicus"
"sgy","Sgly_0216","K00796","folP","dihydropteroate synthase","0.5030","0.3686","Syntrophobotulus glycolicus"
"sgy","Sgly_0217","K00950","folK","2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase","0.4583","0.4040","Syntrophobotulus glycolicus"
"sgy","Sgly_0219","K01918","panC","pantoate--beta-alanine ligase","0.2338","0.2517","Syntrophobotulus glycolicus"
"sgy","Sgly_0220","K01579","panD","aspartate 1-decarboxylase","0.1399","0.1934","Syntrophobotulus glycolicus"
"sgy","Sgly_0221","K03517","nadA","quinolinate synthase","0.0463","0.1954","Syntrophobotulus glycolicus"
"sgy","Sgly_0222","K00278","nadB","L-aspartate oxidase","0.0858","0.1247","Syntrophobotulus glycolicus"
"sgy","Sgly_0223","K00767","nadC, QPRT","nicotinate-nucleotide pyrophosphorylase (carboxylating)","0.0445","0.1747","Syntrophobotulus glycolicus"
"sgy","Sgly_0224","K03525","coaX","type III pantothenate kinase","0.4954","0.4088","Syntrophobotulus glycolicus"
"sgy","Sgly_0227","K04567","KARS, lysS","lysyl-tRNA synthetase, class II","0.4899","0.4350","Syntrophobotulus glycolicus"
"sgy","Sgly_0240","K05601","hcp","hydroxylamine reductase","0.0000 ","0.0033","Syntrophobotulus glycolicus"
"sgy","Sgly_0245","K01868","TARS, thrS","threonyl-tRNA synthetase","0.6103","0.5347","Syntrophobotulus glycolicus"
"sgy","Sgly_0248","K02916","RP-L35, MRPL35, rpmI","large subunit ribosomal protein L35","0.3752","0.5158","Syntrophobotulus glycolicus"
"sgy","Sgly_0249","K02887","RP-L20, MRPL20, rplT","large subunit ribosomal protein L20","0.4873","0.5756","Syntrophobotulus glycolicus"
"sgy","Sgly_0252","K01889","FARSA, pheS","phenylalanyl-tRNA synthetase alpha chain","0.6601","0.5571","Syntrophobotulus glycolicus"
"sgy","Sgly_0253","K01890","FARSB, pheT","phenylalanyl-tRNA synthetase beta chain","0.7119","0.5803","Syntrophobotulus glycolicus"
"sgy","Sgly_0257","K07456","mutS2","DNA mismatch repair protein MutS2","0.0000 ","0.0099","Syntrophobotulus glycolicus"
"sgy","Sgly_0262","K05366","mrcA","penicillin-binding protein 1A","0.0544","0.0518","Syntrophobotulus glycolicus"
"sgy","Sgly_0263","K01866","YARS, tyrS","tyrosyl-tRNA synthetase","0.6601","0.5571","Syntrophobotulus glycolicus"
"sgy","Sgly_0264","K01628","fucA","L-fuculose-phosphate aldolase","0.0000 ","0.0002","Syntrophobotulus glycolicus"
"sgy","Sgly_0270","K01060","cah","cephalosporin-C deacetylase","0.0000 ","0.0000 ","Syntrophobotulus glycolicus"
"sgy","Sgly_0279","K01077","E3.1.3.1, phoA, phoB","alkaline phosphatase","0.2007","0.1265","Syntrophobotulus glycolicus"
"sgy","Sgly_0300","K00991","ispD","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase","0.5995","0.2651","Syntrophobotulus glycolicus"
"sgy","Sgly_0301","K01770","ispF","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase","0.5916","0.3681","Syntrophobotulus glycolicus"
"sgy","Sgly_0302","K09698","gltX","nondiscriminating glutamyl-tRNA synthetase","0.7777","0.4463","Syntrophobotulus glycolicus"
"sgy","Sgly_0303","K01883","CARS, cysS","cysteinyl-tRNA synthetase","0.6601","0.3696","Syntrophobotulus glycolicus"
"sgy","Sgly_0305","K00287","folA","dihydrofolate reductase","0.7829","0.7222","Syntrophobotulus glycolicus"
"sgy","Sgly_0377","K02913","RP-L33, MRPL33, rpmG","large subunit ribosomal protein L33","0.0687","0.3611","Syntrophobotulus glycolicus"
"sgy","Sgly_0378","K03073","secE","preprotein translocase subunit SecE","0.5987","0.5577","Syntrophobotulus glycolicus"
"sgy","Sgly_0380","K02867","RP-L11, MRPL11, rplK","large subunit ribosomal protein L11","0.5327","0.5955","Syntrophobotulus glycolicus"
"sgy","Sgly_0381","K02863","RP-L1, MRPL1, rplA","large subunit ribosomal protein L1","0.4306","0.5610","Syntrophobotulus glycolicus"
"sgy","Sgly_0382","K02864","RP-L10, MRPL10, rplJ","large subunit ribosomal protein L10","0.5800","0.6162","Syntrophobotulus glycolicus"
"sgy","Sgly_0383","K02935","RP-L7, MRPL12, rplL","large subunit ribosomal protein L7/L12","0.6601","0.6651","Syntrophobotulus glycolicus"
"sgy","Sgly_0384","K03043","rpoB","DNA-directed RNA polymerase subunit beta","0.9384","0.8359","Syntrophobotulus glycolicus"
"sgy","Sgly_0385","K03046","rpoC","DNA-directed RNA polymerase subunit beta","0.9384","0.8387","Syntrophobotulus glycolicus"
"sgy","Sgly_0386","K07590","RP-L7A, rplGB","large subunit ribosomal protein L7A","0.0000 ","0.2901","Syntrophobotulus glycolicus"
"sgy","Sgly_0387","K02950","RP-S12, MRPS12, rpsL","small subunit ribosomal protein S12","0.5625","0.6211","Syntrophobotulus glycolicus"
"sgy","Sgly_0388","K02992","RP-S7, MRPS7, rpsG","small subunit ribosomal protein S7","0.7119","0.6883","Syntrophobotulus glycolicus"
"sgy","Sgly_0391","K02946","RP-S10, MRPS10, rpsJ","small subunit ribosomal protein S10","0.4873","0.5756","Syntrophobotulus glycolicus"
"sgy","Sgly_0392","K02906","RP-L3, MRPL3, rplC","large subunit ribosomal protein L3","0.7341","0.6833","Syntrophobotulus glycolicus"
"sgy","Sgly_0393","K02926","RP-L4, MRPL4, rplD","large subunit ribosomal protein L4","0.6807","0.6601","Syntrophobotulus glycolicus"
"sgy","Sgly_0394","K02892","RP-L23, MRPL23, rplW","large subunit ribosomal protein L23","0.5987","0.6114","Syntrophobotulus glycolicus"
"sgy","Sgly_0395","K02886","RP-L2, MRPL2, rplB","large subunit ribosomal protein L2","0.7119","0.6883","Syntrophobotulus glycolicus"
"sgy","Sgly_0396","K02965","RP-S19, rpsS","small subunit ribosomal protein S19","0.4873","0.5756","Syntrophobotulus glycolicus"
"sgy","Sgly_0397","K02890","RP-L22, MRPL22, rplV","large subunit ribosomal protein L22","0.4873","0.5756","Syntrophobotulus glycolicus"
"sgy","Sgly_0398","K02982","RP-S3, rpsC","small subunit ribosomal protein S3","0.7119","0.6883","Syntrophobotulus glycolicus"
"sgy","Sgly_0399","K02878","RP-L16, MRPL16, rplP","large subunit ribosomal protein L16","0.7119","0.6883","Syntrophobotulus glycolicus"
"sgy","Sgly_0400","K02904","RP-L29, rpmC","large subunit ribosomal protein L29","0.4873","0.5756","Syntrophobotulus glycolicus"
"sgy","Sgly_0401","K02961","RP-S17, MRPS17, rpsQ","small subunit ribosomal protein S17","0.4873","0.5756","Syntrophobotulus glycolicus"
"sgy","Sgly_0402","K02874","RP-L14, MRPL14, rplN","large subunit ribosomal protein L14","0.5166","0.6003","Syntrophobotulus glycolicus"
"sgy","Sgly_0403","K02895","RP-L24, MRPL24, rplX","large subunit ribosomal protein L24","0.5800","0.6162","Syntrophobotulus glycolicus"
"sgy","Sgly_0404","K02931","RP-L5, MRPL5, rplE","large subunit ribosomal protein L5","0.7119","0.6883","Syntrophobotulus glycolicus"
"sgy","Sgly_0405","K02954","RP-S14, MRPS14, rpsN","small subunit ribosomal protein S14","0.5625","0.6211","Syntrophobotulus glycolicus"
"sgy","Sgly_0406","K02994","RP-S8, rpsH","small subunit ribosomal protein S8","0.6293","0.6378","Syntrophobotulus glycolicus"
"sgy","Sgly_0407","K02933","RP-L6, MRPL6, rplF","large subunit ribosomal protein L6","0.7656","0.7124","Syntrophobotulus glycolicus"
"sgy","Sgly_0408","K02881","RP-L18, MRPL18, rplR","large subunit ribosomal protein L18","0.5625","0.6211","Syntrophobotulus glycolicus"
"sgy","Sgly_0409","K02988","RP-S5, MRPS5, rpsE","small subunit ribosomal protein S5","0.7119","0.6883","Syntrophobotulus glycolicus"
"sgy","Sgly_0410","K02876","RP-L15, MRPL15, rplO","large subunit ribosomal protein L15","0.5625","0.6211","Syntrophobotulus glycolicus"
"sgy","Sgly_0411","K03076","secY","preprotein translocase subunit SecY","0.6601","0.6114","Syntrophobotulus glycolicus"
"sgy","Sgly_0412","K00939","adk, AK","adenylate kinase","0.8789","0.7609","Syntrophobotulus glycolicus"
"sgy","Sgly_0415","K02919","RP-L36, MRPL36, rpmJ","large subunit ribosomal protein L36","0.1815","0.4208","Syntrophobotulus glycolicus"
"sgy","Sgly_0416","K02952","RP-S13, rpsM","small subunit ribosomal protein S13","0.6103","0.6427","Syntrophobotulus glycolicus"
"sgy","Sgly_0417","K02948","RP-S11, MRPS11, rpsK","small subunit ribosomal protein S11","0.7119","0.6883","Syntrophobotulus glycolicus"
"sgy","Sgly_0418","K02986","RP-S4, rpsD","small subunit ribosomal protein S4","0.7119","0.6883","Syntrophobotulus glycolicus"
"sgy","Sgly_0419","K03040","rpoA","DNA-directed RNA polymerase subunit alpha","0.9384","0.8488","Syntrophobotulus glycolicus"
"sgy","Sgly_0420","K02879","RP-L17, MRPL17, rplQ","large subunit ribosomal protein L17","0.4726","0.5803","Syntrophobotulus glycolicus"
"sgy","Sgly_0422","K02871","RP-L13, MRPL13, rplM","large subunit ribosomal protein L13","0.7119","0.6883","Syntrophobotulus glycolicus"
