"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"vsh","BSZ05_00005","K00036","G6PD, zwf","glucose-6-phosphate 1-dehydrogenase","0.0214","0.0549","Vibrio shilonii"
"vsh","BSZ05_00010","K01752","E4.3.1.17, sdaA, sdaB, tdcG","L-serine dehydratase","0.1877","0.2699","Vibrio shilonii"
"vsh","BSZ05_00015","K17321","glpV","glycerol transport system substrate-binding protein","0.0000 ","0.0053","Vibrio shilonii"
"vsh","BSZ05_00025","K17323","glpQ","glycerol transport system permease protein","0.0000 ","0.0053","Vibrio shilonii"
"vsh","BSZ05_00030","K17322","K17322, glpP","glycerol transport system permease protein","0.0000 ","0.0056","Vibrio shilonii"
"vsh","BSZ05_00035","K17325","K17325, glpT","glycerol transport system ATP-binding protein","0.0000 ","0.0057","Vibrio shilonii"
"vsh","BSZ05_00040","K17324","glpS","glycerol transport system ATP-binding protein","0.0000 ","0.0057","Vibrio shilonii"
"vsh","BSZ05_00080","K01676","E4.2.1.2A, fumA, fumB","fumarate hydratase, class I","0.0829","0.0774","Vibrio shilonii"
"vsh","BSZ05_00085","K01665","pabB","para-aminobenzoate synthetase component I","0.0137","0.1631","Vibrio shilonii"
"vsh","BSZ05_00120","K03087","SIG2, rpoS","RNA polymerase nonessential primary-like sigma factor","0.0000 ","0.1203","Vibrio shilonii"
"vsh","BSZ05_00140","K01752","E4.3.1.17, sdaA, sdaB, tdcG","L-serine dehydratase","0.1877","0.2699","Vibrio shilonii"
"vsh","BSZ05_00145","K01737","queD, ptpS, PTS","6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase","0.0013","0.1482","Vibrio shilonii"
"vsh","BSZ05_00165","K03406","mcp","methyl-accepting chemotaxis protein","0.0071","0.0042","Vibrio shilonii"
"vsh","BSZ05_00170","K01893","NARS, asnS","asparaginyl-tRNA synthetase","0.2860","0.2797","Vibrio shilonii"
