"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"gph","GEMMAAP_00005","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Gemmatimonas phototrophica"
"gph","GEMMAAP_00010","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Gemmatimonas phototrophica"
"gph","GEMMAAP_00025","K03406","mcp","methyl-accepting chemotaxis protein","0.0071","0.0042","Gemmatimonas phototrophica"
"gph","GEMMAAP_00030","K00762","pyrE","orotate phosphoribosyltransferase","0.0259","0.1665","Gemmatimonas phototrophica"
"gph","GEMMAAP_00045","K02335","DPO1, polA","DNA polymerase I","0.7656","0.8943","Gemmatimonas phototrophica"
"gph","GEMMAAP_00190","K11103","dctA","aerobic C4-dicarboxylate transport protein","0.0016","0.0023","Gemmatimonas phototrophica"
"gph","GEMMAAP_00280","K00832","tyrB","aromatic-amino-acid transaminase","0.1446","0.1315","Gemmatimonas phototrophica"
"gph","GEMMAAP_00345","K11179","tusE, dsrC","tRNA 2-thiouridine synthesizing protein E","0.0616","0.0721","Gemmatimonas phototrophica"
"gph","GEMMAAP_00350","K17218","sqr","sulfide:quinone oxidoreductase","0.0000 ","0.0087","Gemmatimonas phototrophica"
"gph","GEMMAAP_00480","K01810","GPI, pgi","glucose-6-phosphate isomerase","0.3262","0.3873","Gemmatimonas phototrophica"
"gph","GEMMAAP_00490","K00547","mmuM, BHMT2","homocysteine S-methyltransferase","0.0887","0.0381","Gemmatimonas phototrophica"
"gph","GEMMAAP_00775","K00342","nuoM","NADH-quinone oxidoreductase subunit M","0.1462","0.0896","Gemmatimonas phototrophica"
"gph","GEMMAAP_00890","K02510","hpaI, hpcH","4-hydroxy-2-oxoheptanedioate aldolase","0.0000 ","0.0000 ","Gemmatimonas phototrophica"
"gph","GEMMAAP_00905","K01011","TST, MPST, sseA","thiosulfate/3-mercaptopyruvate sulfurtransferase","0.0152","0.0317","Gemmatimonas phototrophica"
"gph","GEMMAAP_00910","K19073","DVR","divinyl chlorophyllide a 8-vinyl-reductase","0.0080","0.0483","Gemmatimonas phototrophica"
"gph","GEMMAAP_00920","K02433","gatA, QRSL1","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A","0.5916","0.2286","Gemmatimonas phototrophica"
"gph","GEMMAAP_00935","K01940","argG, ASS1","argininosuccinate synthase","0.0584","0.1341","Gemmatimonas phototrophica"
"gph","GEMMAAP_00950","K00077","panE, apbA","2-dehydropantoate 2-reductase","0.0526","0.2248","Gemmatimonas phototrophica"
"gph","GEMMAAP_01000","K00075","murB","UDP-N-acetylmuramate dehydrogenase","0.7026","0.7608","Gemmatimonas phototrophica"
"gph","GEMMAAP_01040","K01792","E5.1.3.15","glucose-6-phosphate 1-epimerase","0.2316","0.1624","Gemmatimonas phototrophica"
