"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"rbu","PG1C_00010","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Rugosibacter aromaticivorans"
"rbu","PG1C_00020","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Rugosibacter aromaticivorans"
"rbu","PG1C_00040","K01142","E3.1.11.2, xthA","exodeoxyribonuclease III","0.0010","0.0110","Rugosibacter aromaticivorans"
"rbu","PG1C_00045","K00762","pyrE","orotate phosphoribosyltransferase","0.0259","0.1665","Rugosibacter aromaticivorans"
"rbu","PG1C_00055","K02434","gatB, PET112","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B","0.5916","0.4150","Rugosibacter aromaticivorans"
"rbu","PG1C_00060","K02433","gatA, QRSL1","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A","0.5916","0.2286","Rugosibacter aromaticivorans"
"rbu","PG1C_00065","K02435","gatC, GATC","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C","0.4842","0.3799","Rugosibacter aromaticivorans"
"rbu","PG1C_00085","K05515","mrdA","penicillin-binding protein 2","0.2106","0.0687","Rugosibacter aromaticivorans"
"rbu","PG1C_00125","K07258","dacC, dacA, dacD","serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6)","0.0012","0.0145","Rugosibacter aromaticivorans"
"rbu","PG1C_00130","K00824","dat","D-alanine transaminase","0.1855","0.0810","Rugosibacter aromaticivorans"
"rbu","PG1C_00140","K03801","lipB","lipoyl(octanoyl) transferase","0.3018","0.2428","Rugosibacter aromaticivorans"
"rbu","PG1C_00145","K03644","lipA","lipoyl synthase","0.2427","0.2360","Rugosibacter aromaticivorans"
"rbu","PG1C_00160","K14219","tRNA-Arg","tRNA Arg","0.0000 ","0.2024","Rugosibacter aromaticivorans"
"rbu","PG1C_00165","K03525","coaX","type III pantothenate kinase","0.4954","0.4088","Rugosibacter aromaticivorans"
"rbu","PG1C_00190","K00859","coaE","dephospho-CoA kinase","0.5800","0.5125","Rugosibacter aromaticivorans"
"rbu","PG1C_00235","K14230","tRNA-Met","tRNA Met","0.0000 ","0.2024","Rugosibacter aromaticivorans"
"rbu","PG1C_00240","K11103","dctA","aerobic C4-dicarboxylate transport protein","0.0016","0.0023","Rugosibacter aromaticivorans"
"rbu","PG1C_00260","K01778","dapF","diaminopimelate epimerase","0.3297","0.2269","Rugosibacter aromaticivorans"
"rbu","PG1C_00265","K02517","lpxL, htrB","Kdo2-lipid IVA lauroyltransferase","0.1623","0.0916","Rugosibacter aromaticivorans"
"rbu","PG1C_00270","K02517","lpxL, htrB","Kdo2-lipid IVA lauroyltransferase","0.1623","0.0916","Rugosibacter aromaticivorans"
"rbu","PG1C_00275","K00789","metK","S-adenosylmethionine synthetase","0.7119","0.5349","Rugosibacter aromaticivorans"
"rbu","PG1C_00285","K00432","gpx","glutathione peroxidase","0.0000 ","0.0000 ","Rugosibacter aromaticivorans"
"rbu","PG1C_00295","K07259","dacB","serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4)","0.0016","0.0145","Rugosibacter aromaticivorans"
"rbu","PG1C_00300","K00059","fabG","3-oxoacyl-[acyl-carrier protein] reductase","0.7026","0.4376","Rugosibacter aromaticivorans"
"rbu","PG1C_00315","K04077","groEL, HSPD1","chaperonin GroEL","0.4440","0.5638","Rugosibacter aromaticivorans"
"rbu","PG1C_00330","K14231","tRNA-Phe","tRNA Phe","0.0000 ","0.2024","Rugosibacter aromaticivorans"
"rbu","PG1C_00735","K02474","wbpO","UDP-N-acetyl-D-galactosamine dehydrogenase","0.0035","0.0181","Rugosibacter aromaticivorans"
"rbu","PG1C_00750","K08679","E5.1.3.6","UDP-glucuronate 4-epimerase","0.0035","0.0200","Rugosibacter aromaticivorans"
"rbu","PG1C_00760","K02492","hemA","glutamyl-tRNA reductase","0.2206","0.1199","Rugosibacter aromaticivorans"
"rbu","PG1C_00785","K01698","hemB, ALAD","porphobilinogen synthase","0.3579","0.2014","Rugosibacter aromaticivorans"
"rbu","PG1C_00795","K00930","argB","acetylglutamate kinase","0.0463","0.0630","Rugosibacter aromaticivorans"
"rbu","PG1C_00835","K08310","nudB, ntpA","dihydroneopterin triphosphate diphosphatase","0.0000 ","0.1435","Rugosibacter aromaticivorans"
"rbu","PG1C_00850","K01876","DARS, aspS","aspartyl-tRNA synthetase","0.6601","0.5571","Rugosibacter aromaticivorans"
