"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"cdo","CDOO_00005","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Corynebacterium doosanense"
"cdo","CDOO_00015","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Corynebacterium doosanense"
"cdo","CDOO_00020","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Corynebacterium doosanense"
"cdo","CDOO_00045","K04091","ssuD","alkanesulfonate monooxygenase","0.0000 ","0.0079","Corynebacterium doosanense"
"cdo","CDOO_00070","K14227","tRNA-Ile","tRNA Ile","0.0000 ","0.2024","Corynebacterium doosanense"
"cdo","CDOO_00075","K14218","tRNA-Ala","tRNA Ala","0.0060","0.2024","Corynebacterium doosanense"
"cdo","CDOO_00140","K00135","gabD","succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase","0.0245","0.0296","Corynebacterium doosanense"
"cdo","CDOO_00145","K02016","ABC.FEV.S","iron complex transport system substrate-binding protein","0.0044","0.0127","Corynebacterium doosanense"
"cdo","CDOO_00150","K02015","ABC.FEV.P","iron complex transport system permease protein","0.0184","0.0354","Corynebacterium doosanense"
"cdo","CDOO_00155","K02015","ABC.FEV.P","iron complex transport system permease protein","0.0184","0.0354","Corynebacterium doosanense"
"cdo","CDOO_00160","K02013","ABC.FEV.A","iron complex transport system ATP-binding protein","0.0399","0.0544","Corynebacterium doosanense"
"cdo","CDOO_00175","K03767","PPIA","peptidyl-prolyl cis-trans isomerase A (cyclophilin A)","0.0000 ","0.0178","Corynebacterium doosanense"
"cdo","CDOO_00185","K00297","metF, MTHFR","methylenetetrahydrofolate reductase (NADPH)","0.0012","0.0130","Corynebacterium doosanense"
"cdo","CDOO_00190","K00549","metE","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase","0.0429","0.1899","Corynebacterium doosanense"
"cdo","CDOO_00220","K05364","pbpA","penicillin-binding protein A","0.0000 ","0.0344","Corynebacterium doosanense"
"cdo","CDOO_00245","K14228","tRNA-Leu","tRNA Leu","0.0060","0.2024","Corynebacterium doosanense"
"cdo","CDOO_00295","K13953","adhP","alcohol dehydrogenase, propanol-preferring","0.0180","0.0178","Corynebacterium doosanense"
"cdo","CDOO_00335","K02342","DPO3E, dnaQ","DNA polymerase III subunit epsilon","0.8212","0.6494","Corynebacterium doosanense"
"cdo","CDOO_00390","K15578","nrtC, nasD","nitrate/nitrite transport system ATP-binding protein","0.0000 ","0.0000 ","Corynebacterium doosanense"
"cdo","CDOO_00395","K15577","nrtB, nasE, cynB","nitrate/nitrite transport system permease protein","0.0000 ","0.0007","Corynebacterium doosanense"
"cdo","CDOO_00400","K15576","nrtA, nasF, cynA","nitrate/nitrite transport system substrate-binding protein","0.0000 ","0.0000 ","Corynebacterium doosanense"
"cdo","CDOO_00415","K01725","cynS","cyanate lyase","0.0000 ","0.0033","Corynebacterium doosanense"
"cdo","CDOO_00430","K01012","bioB","biotin synthase","0.0544","0.1254","Corynebacterium doosanense"
"cdo","CDOO_00440","K00135","gabD","succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase","0.0245","0.0296","Corynebacterium doosanense"
"cdo","CDOO_00490","K01046","E3.1.1.3","triacylglycerol lipase","0.0035","0.0033","Corynebacterium doosanense"
"cdo","CDOO_00500","K01241","amn","AMP nucleosidase","0.0098","0.0553","Corynebacterium doosanense"
"cdo","CDOO_00510","K00259","ald","alanine dehydrogenase","0.3500","0.2236","Corynebacterium doosanense"
"cdo","CDOO_00525","K00681","ggt","gamma-glutamyltranspeptidase / glutathione hydrolase","0.0013","0.0125","Corynebacterium doosanense"
"cdo","CDOO_00530","K02342","DPO3E, dnaQ","DNA polymerase III subunit epsilon","0.8212","0.6494","Corynebacterium doosanense"
"cdo","CDOO_00565","K03652","MPG","DNA-3-methyladenine glycosylase","0.0000 ","0.0035","Corynebacterium doosanense"
"cdo","CDOO_00825","K10112","msmX, msmK, malK, sugC, ggtA, msiK","multiple sugar transport system ATP-binding protein","0.0080","0.0057","Corynebacterium doosanense"
