"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"fmr","Fuma_00001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Fuerstia marisgermanicae"
"fmr","Fuma_00007","K00147","proA","glutamate-5-semialdehyde dehydrogenase","0.0429","0.1070","Fuerstia marisgermanicae"
"fmr","Fuma_00008","K02963","RP-S18, MRPS18, rpsR","small subunit ribosomal protein S18","0.4440","0.5564","Fuerstia marisgermanicae"
"fmr","Fuma_00017","K03831","mogA","molybdopterin adenylyltransferase","0.0106","0.0170","Fuerstia marisgermanicae"
"fmr","Fuma_00024","K09903","pyrH","uridylate kinase","0.8789","0.5971","Fuerstia marisgermanicae"
"fmr","Fuma_00030","K01845","hemL","glutamate-1-semialdehyde 2,1-aminomutase","0.1623","0.1170","Fuerstia marisgermanicae"
"fmr","Fuma_00039","K01053","E3.1.1.17, gnl, RGN","gluconolactonase","0.0000 ","0.0000 ","Fuerstia marisgermanicae"
"fmr","Fuma_00040","K00826","E2.6.1.42, ilvE","branched-chain amino acid aminotransferase","0.0166","0.0653","Fuerstia marisgermanicae"
"fmr","Fuma_00048","K03563","csrA","carbon storage regulator","0.0770","0.0341","Fuerstia marisgermanicae"
"fmr","Fuma_00050","K02275","coxB","cytochrome c oxidase subunit II","0.0000 ","0.0171","Fuerstia marisgermanicae"
"fmr","Fuma_00051","K15408","coxAC","cytochrome c oxidase subunit I+III","0.0000 ","0.0160","Fuerstia marisgermanicae"
"fmr","Fuma_00057","K01130","E3.1.6.1, aslA","arylsulfatase","0.0000 ","0.0000 ","Fuerstia marisgermanicae"
"fmr","Fuma_00091","K02040","pstS","phosphate transport system substrate-binding protein","0.0099","0.0481","Fuerstia marisgermanicae"
"fmr","Fuma_00092","K02037","pstC","phosphate transport system permease protein","0.0099","0.0317","Fuerstia marisgermanicae"
"fmr","Fuma_00093","K02038","pstA","phosphate transport system permease protein","0.0184","0.0317","Fuerstia marisgermanicae"
"fmr","Fuma_00094","K02036","pstB","phosphate transport system ATP-binding protein","0.0103","0.0272","Fuerstia marisgermanicae"
"fmr","Fuma_00139","K01784","galE, GALE","UDP-glucose 4-epimerase","0.0526","0.0568","Fuerstia marisgermanicae"
"fmr","Fuma_00141","K03563","csrA","carbon storage regulator","0.0770","0.0341","Fuerstia marisgermanicae"
"fmr","Fuma_00148","K07072","mfnF","(4-(4-[2-(gamma-L-glutamylamino)ethyl]phenoxymethyl)furan-2-yl)methanamine synthase","0.0000 ","9.16E-","Fuerstia marisgermanicae"
"fmr","Fuma_00151","K00605","gcvT, AMT","aminomethyltransferase","0.5261","0.3955","Fuerstia marisgermanicae"
"fmr","Fuma_00152","K02437","gcvH, GCSH","glycine cleavage system H protein","0.4306","0.3273","Fuerstia marisgermanicae"
"fmr","Fuma_00153","K00281","GLDC, gcvP","glycine dehydrogenase","0.5052","0.3271","Fuerstia marisgermanicae"
"fmr","Fuma_00156","K11085","msbA","ATP-binding cassette, subfamily B, bacterial MsbA","0.3149","0.0165","Fuerstia marisgermanicae"
"fmr","Fuma_00165","K00240","sdhB, frdB","succinate dehydrogenase / fumarate reductase, iron-sulfur subunit","0.2338","0.2373","Fuerstia marisgermanicae"
