"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"asr","WL1483_10","K01613","psd, PISD","phosphatidylserine decarboxylase","0.2176","0.1484","Aeromonas schubertii"
"asr","WL1483_1006","K01937","pyrG, CTPS","CTP synthase","0.7895","0.5413","Aeromonas schubertii"
"asr","WL1483_1007","K14260","alaA","alanine-synthesizing transaminase","0.2898","0.1945","Aeromonas schubertii"
"asr","WL1483_1012","K08325","yqhD","NADP-dependent alcohol dehydrogenase","0.0000 ","0.0030","Aeromonas schubertii"
"asr","WL1483_1013","K03406","mcp","methyl-accepting chemotaxis protein","0.0071","0.0042","Aeromonas schubertii"
"asr","WL1483_1026","K02302","cysG","uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase","0.0206","0.0359","Aeromonas schubertii"
"asr","WL1483_1027","K03210","yajC","preprotein translocase subunit YajC","0.1110","0.3272","Aeromonas schubertii"
"asr","WL1483_103","K00688","PYG, glgP","glycogen phosphorylase","0.0137","0.0350","Aeromonas schubertii"
"asr","WL1483_1030","K00245","frdB","fumarate reductase iron-sulfur subunit","0.2589","0.2230","Aeromonas schubertii"
"asr","WL1483_1031","K09815","znuA","zinc transport system substrate-binding protein","0.0064","0.0067","Aeromonas schubertii"
"asr","WL1483_1036","K03551","ruvB","holliday junction DNA helicase RuvB","0.0625","0.1054","Aeromonas schubertii"
"asr","WL1483_1037","K01810","GPI, pgi","glucose-6-phosphate isomerase","0.3262","0.3873","Aeromonas schubertii"
"asr","WL1483_1040","K00425","cydA","cytochrome d ubiquinol oxidase subunit I","0.0184","0.0390","Aeromonas schubertii"
"asr","WL1483_1048","K01869","LARS, leuS","leucyl-tRNA synthetase","0.6103","0.5347","Aeromonas schubertii"
"asr","WL1483_1049","K01835","pgm","phosphoglucomutase","0.0858","0.1247","Aeromonas schubertii"
"asr","WL1483_1053","K11903","hcp","type VI secretion system secreted protein Hcp","0.0000 ","0.0000 ","Aeromonas schubertii"
"asr","WL1483_1055","K05366","mrcA","penicillin-binding protein 1A","0.0544","0.0518","Aeromonas schubertii"
"asr","WL1483_1057","K01784","galE, GALE","UDP-glucose 4-epimerase","0.0526","0.0568","Aeromonas schubertii"
"asr","WL1483_1059","K00123","fdoG, fdfH","formate dehydrogenase major subunit","0.0000 ","0.0001","Aeromonas schubertii"
"asr","WL1483_106","K01515","nudF","ADP-ribose pyrophosphatase","0.0000 ","0.0343","Aeromonas schubertii"
"asr","WL1483_1061","K11903","hcp","type VI secretion system secreted protein Hcp","0.0000 ","0.0000 ","Aeromonas schubertii"
"asr","WL1483_1065","K02453","gspD","general secretion pathway protein D","0.0000 ","0.0005","Aeromonas schubertii"
"asr","WL1483_1067","K02055","ABC.SP.S","putative spermidine/putrescine transport system substrate-binding protein","0.0116","0.0040","Aeromonas schubertii"
