"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"amn","RAM_00005","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Amycolatopsis mediterranei S699"
"amn","RAM_00010","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Amycolatopsis mediterranei S699"
"amn","RAM_00015","K00033","PGD, gnd, gntZ","6-phosphogluconate dehydrogenase","0.0170","0.0284","Amycolatopsis mediterranei S699"
"amn","RAM_00020","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Amycolatopsis mediterranei S699"
"amn","RAM_00150","K00275","pdxH, PNPO","pyridoxamine 5-phosphate oxidase","0.1770","0.0889","Amycolatopsis mediterranei S699"
"amn","RAM_00175","K03767","PPIA","peptidyl-prolyl cis-trans isomerase A (cyclophilin A)","0.0000 ","0.0178","Amycolatopsis mediterranei S699"
"amn","RAM_00235","K01664","pabA","para-aminobenzoate synthetase component II","0.0024","0.1645","Amycolatopsis mediterranei S699"
"amn","RAM_00265","K05364","pbpA","penicillin-binding protein A","0.0000 ","0.0344","Amycolatopsis mediterranei S699"
"amn","RAM_00310","K01739","metB","cystathionine gamma-synthase","0.0321","0.0993","Amycolatopsis mediterranei S699"
"amn","RAM_00335","K02035","ABC.PE.S","peptide/nickel transport system substrate-binding protein","0.0016","0.0015","Amycolatopsis mediterranei S699"
"amn","RAM_00340","K02033","ABC.PE.P","peptide/nickel transport system permease protein","0.0016","0.0026","Amycolatopsis mediterranei S699"
"amn","RAM_00345","K02034","ABC.PE.P1","peptide/nickel transport system permease protein","0.0075","0.0026","Amycolatopsis mediterranei S699"
"amn","RAM_00350","K02031","ABC.PE.A","peptide/nickel transport system ATP-binding protein","0.0000 ","0.0004","Amycolatopsis mediterranei S699"
"amn","RAM_00355","K02032","ABC.PE.A1","peptide/nickel transport system ATP-binding protein","0.0000 ","0.0004","Amycolatopsis mediterranei S699"
"amn","RAM_00370","K02433","gatA, QRSL1","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A","0.5916","0.2286","Amycolatopsis mediterranei S699"
"amn","RAM_00390","K01644","citE","citrate lyase subunit beta / citryl-CoA lyase","0.0085","0.0032","Amycolatopsis mediterranei S699"
"amn","RAM_00395","K08691","mcl","malyl-CoA/(S)-citramalyl-CoA lyase","0.0000 ","0.0025","Amycolatopsis mediterranei S699"
"amn","RAM_00410","K00948","PRPS, prsA","ribose-phosphate pyrophosphokinase","0.7656","0.8943","Amycolatopsis mediterranei S699"
"amn","RAM_00430","K05350","bglB","beta-glucosidase","0.0044","0.0023","Amycolatopsis mediterranei S699"
"amn","RAM_00485","K05846","opuBD","osmoprotectant transport system permease protein","0.0000 ","0.0053","Amycolatopsis mediterranei S699"
"amn","RAM_00490","K05847","opuA","osmoprotectant transport system ATP-binding protein","0.0000 ","0.0053","Amycolatopsis mediterranei S699"
"amn","RAM_00495","K05846","opuBD","osmoprotectant transport system permease protein","0.0000 ","0.0053","Amycolatopsis mediterranei S699"
"amn","RAM_00500","K05845","opuC","osmoprotectant transport system substrate-binding protein","0.0000 ","0.0053","Amycolatopsis mediterranei S699"
"amn","RAM_00530","K00012","UGDH, ugd","UDPglucose 6-dehydrogenase","0.0463","0.0911","Amycolatopsis mediterranei S699"
"amn","RAM_00535","K00681","ggt","gamma-glutamyltranspeptidase / glutathione hydrolase","0.0013","0.0125","Amycolatopsis mediterranei S699"
