"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"dpy","BA022_00050","K03101","lspA","signal peptidase II","0.2338","0.2223","Diaphorobacter polyhydroxybutyrativorans"
"dpy","BA022_00055","K01870","IARS, ileS","isoleucyl-tRNA synthetase","0.7341","0.5753","Diaphorobacter polyhydroxybutyrativorans"
"dpy","BA022_00060","K11753","ribF","riboflavin kinase / FMN adenylyltransferase","0.6293","0.5031","Diaphorobacter polyhydroxybutyrativorans"
"dpy","BA022_00085","K11175","purN","phosphoribosylglycinamide formyltransferase 1","0.3479","0.4101","Diaphorobacter polyhydroxybutyrativorans"
"dpy","BA022_00110","K00507","SCD, desC","stearoyl-CoA desaturase (Delta-9 desaturase)","0.0141","0.0094","Diaphorobacter polyhydroxybutyrativorans"
"dpy","BA022_00115","K02913","RP-L33, MRPL33, rpmG","large subunit ribosomal protein L33","0.0687","0.3611","Diaphorobacter polyhydroxybutyrativorans"
"dpy","BA022_00120","K02902","RP-L28, MRPL28, rpmB","large subunit ribosomal protein L28","0.3164","0.5072","Diaphorobacter polyhydroxybutyrativorans"
"dpy","BA022_00125","K00384","trxB","thioredoxin reductase (NADPH)","0.1650","0.2275","Diaphorobacter polyhydroxybutyrativorans"
"dpy","BA022_00185","K01997","livH","branched-chain amino acid transport system permease protein","0.0000 ","0.0000 ","Diaphorobacter polyhydroxybutyrativorans"
"dpy","BA022_00190","K01998","livM","branched-chain amino acid transport system permease protein","0.0000 ","0.0000 ","Diaphorobacter polyhydroxybutyrativorans"
"dpy","BA022_00195","K01995","livG","branched-chain amino acid transport system ATP-binding protein","0.0000 ","0.0002","Diaphorobacter polyhydroxybutyrativorans"
"dpy","BA022_00200","K01996","livF","branched-chain amino acid transport system ATP-binding protein","0.0000 ","0.0002","Diaphorobacter polyhydroxybutyrativorans"
"dpy","BA022_00225","K03823","pat","phosphinothricin acetyltransferase","0.0000 ","0.0002","Diaphorobacter polyhydroxybutyrativorans"
"dpy","BA022_00230","K02959","RP-S16, MRPS16, rpsP","small subunit ribosomal protein S16","0.3752","0.5158","Diaphorobacter polyhydroxybutyrativorans"
"dpy","BA022_00245","K02884","RP-L19, MRPL19, rplS","large subunit ribosomal protein L19","0.3906","0.5424","Diaphorobacter polyhydroxybutyrativorans"
"dpy","BA022_00255","K02227","cbiB, cobD","adenosylcobinamide-phosphate synthase","0.0018","0.0321","Diaphorobacter polyhydroxybutyrativorans"
"dpy","BA022_00260","K06949","rsgA, engC","ribosome biogenesis GTPase / thiamine phosphate phosphatase","0.3865","0.2740","Diaphorobacter polyhydroxybutyrativorans"
"dpy","BA022_00265","K01724","PCBD, phhB","4a-hydroxytetrahydrobiopterin dehydratase","0.0024","0.0094","Diaphorobacter polyhydroxybutyrativorans"
"dpy","BA022_00270","K06013","STE24","STE24 endopeptidase","0.0000 ","0.1555","Diaphorobacter polyhydroxybutyrativorans"
"dpy","BA022_00320","K02230","cobN","cobaltochelatase CobN","0.0116","0.0312","Diaphorobacter polyhydroxybutyrativorans"
"dpy","BA022_00355","K00364","E1.7.1.7, guaC","GMP reductase","0.0000 ","0.0331","Diaphorobacter polyhydroxybutyrativorans"
"dpy","BA022_00390","K02204","thrB2","homoserine kinase type II","0.1369","0.0862","Diaphorobacter polyhydroxybutyrativorans"
"dpy","BA022_00405","K02335","DPO1, polA","DNA polymerase I","0.7656","0.8943","Diaphorobacter polyhydroxybutyrativorans"
"dpy","BA022_00410","K01061","E3.1.1.45","carboxymethylenebutenolidase","0.0000 ","0.0000 ","Diaphorobacter polyhydroxybutyrativorans"
"dpy","BA022_00420","K08083","algR","two-component system, LytTR family, response regulator AlgR","0.0000 ","0.0013","Diaphorobacter polyhydroxybutyrativorans"
"dpy","BA022_00425","K08082","algZ","two-component system, LytTR family, sensor histidine kinase AlgZ","0.0000 ","0.0007","Diaphorobacter polyhydroxybutyrativorans"
"dpy","BA022_00430","K01755","argH, ASL","argininosuccinate lyase","0.1192","0.1646","Diaphorobacter polyhydroxybutyrativorans"
"dpy","BA022_00440","K03781","katE, CAT, catB, srpA","catalase","0.0000 ","0.0000 ","Diaphorobacter polyhydroxybutyrativorans"
"dpy","BA022_00450","K05816","ugpC","sn-glycerol 3-phosphate transport system ATP-binding protein","0.0000 ","0.0057","Diaphorobacter polyhydroxybutyrativorans"
"dpy","BA022_00455","K05813","ugpB","sn-glycerol 3-phosphate transport system substrate-binding protein","0.0000 ","0.0053","Diaphorobacter polyhydroxybutyrativorans"
"dpy","BA022_00460","K05814","ugpA","sn-glycerol 3-phosphate transport system permease protein","0.0000 ","0.0056","Diaphorobacter polyhydroxybutyrativorans"
