"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"nae","BHE16_00025","K01724","PCBD, phhB","4a-hydroxytetrahydrobiopterin dehydratase","0.0024","0.0094","Neomicrococcus aestuarii"
"nae","BHE16_00040","K21147","moeZR, moeBR","sulfur-carrier protein adenylyltransferase/sulfurtransferase","0.0631","0.0136","Neomicrococcus aestuarii"
"nae","BHE16_00045","K02492","hemA","glutamyl-tRNA reductase","0.2206","0.1199","Neomicrococcus aestuarii"
"nae","BHE16_00050","K01599","hemE, UROD","uroporphyrinogen decarboxylase","0.4306","0.2372","Neomicrococcus aestuarii"
"nae","BHE16_00055","K00231","PPOX, hemY","protoporphyrinogen/coproporphyrinogen III oxidase","0.0725","0.0452","Neomicrococcus aestuarii"
"nae","BHE16_00065","K01772","hemH, FECH","protoporphyrin/coproporphyrin ferrochelatase","0.4153","0.2412","Neomicrococcus aestuarii"
"nae","BHE16_00070","K01749","hemC, HMBS","hydroxymethylbilane synthase","0.4471","0.2333","Neomicrococcus aestuarii"
"nae","BHE16_00080","K01698","hemB, ALAD","porphobilinogen synthase","0.3579","0.2014","Neomicrococcus aestuarii"
"nae","BHE16_00085","K01845","hemL","glutamate-1-semialdehyde 2,1-aminomutase","0.1623","0.1170","Neomicrococcus aestuarii"
"nae","BHE16_00090","K02073","metQ","D-methionine transport system substrate-binding protein","0.0000 ","0.0053","Neomicrococcus aestuarii"
"nae","BHE16_00095","K02072","metI","D-methionine transport system permease protein","0.0000 ","0.0053","Neomicrococcus aestuarii"
"nae","BHE16_00100","K02071","metN","D-methionine transport system ATP-binding protein","0.0000 ","0.0053","Neomicrococcus aestuarii"
"nae","BHE16_00105","K02342","DPO3E, dnaQ","DNA polymerase III subunit epsilon","0.8212","0.6494","Neomicrococcus aestuarii"
"nae","BHE16_00120","K03657","uvrD, pcrA","DNA helicase II / ATP-dependent DNA helicase PcrA","0.0351","0.0917","Neomicrococcus aestuarii"
"nae","BHE16_00130","K03426","E3.6.1.22, NUDT12, nudC","NAD+ diphosphatase","0.4153","0.4516","Neomicrococcus aestuarii"
"nae","BHE16_00135","K03657","uvrD, pcrA","DNA helicase II / ATP-dependent DNA helicase PcrA","0.0351","0.0917","Neomicrococcus aestuarii"
"nae","BHE16_00155","K07177","K07177","Lon-like protease","0.0000 ","0.0004","Neomicrococcus aestuarii"
"nae","BHE16_00165","K14230","tRNA-Met","tRNA Met","0.0000 ","0.2024","Neomicrococcus aestuarii"
"nae","BHE16_00180","K08372","pepD","putative serine protease PepD","0.0000 ","0.0054","Neomicrococcus aestuarii"
"nae","BHE16_00215","K07029","dagK","diacylglycerol kinase (ATP)","0.1706","0.3135","Neomicrococcus aestuarii"
"nae","BHE16_00225","K00796","folP","dihydropteroate synthase","0.5030","0.3686","Neomicrococcus aestuarii"
"nae","BHE16_00230","K04487","iscS, NFS1","cysteine desulfurase","0.4010","0.3030","Neomicrococcus aestuarii"
"nae","BHE16_00235","K00566","mnmA, trmU","tRNA-uridine 2-sulfurtransferase","0.5166","0.3627","Neomicrococcus aestuarii"
"nae","BHE16_00240","K04092","tyrA1","chorismate mutase","0.1270","0.0718","Neomicrococcus aestuarii"
"nae","BHE16_00255","K07670","mtrA","two-component system, OmpR family, response regulator MtrA","0.0000 ","0.0028","Neomicrococcus aestuarii"
"nae","BHE16_00260","K07654","mtrB","two-component system, OmpR family, sensor histidine kinase MtrB","0.0000 ","0.0013","Neomicrococcus aestuarii"
"nae","BHE16_00285","K03070","secA","preprotein translocase subunit SecA","0.3906","0.4886","Neomicrococcus aestuarii"
"nae","BHE16_00315","K15371","GDH2","glutamate dehydrogenase","0.3003","0.2395","Neomicrococcus aestuarii"
