"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"bud","AQ610_00005","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Burkholderia sp. Bp5365"
"bud","AQ610_00010","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Burkholderia sp. Bp5365"
"bud","AQ610_00050","K03781","katE, CAT, catB, srpA","catalase","0.0000 ","0.0000 ","Burkholderia sp. Bp5365"
"bud","AQ610_00095","K01782","fadJ","3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase","0.0067","0.0147","Burkholderia sp. Bp5365"
"bud","AQ610_00100","K00626","E2.3.1.9, atoB","acetyl-CoA C-acetyltransferase","0.0206","0.0393","Burkholderia sp. Bp5365"
"bud","AQ610_00105","K00249","ACADM, acd","acyl-CoA dehydrogenase","0.0080","0.0113","Burkholderia sp. Bp5365"
"bud","AQ610_00155","K00146","feaB","phenylacetaldehyde dehydrogenase","0.0026","0.0071","Burkholderia sp. Bp5365"
"bud","AQ610_00160","K01999","livK","branched-chain amino acid transport system substrate-binding protein","0.0000 ","0.0005","Burkholderia sp. Bp5365"
"bud","AQ610_00165","K01997","livH","branched-chain amino acid transport system permease protein","0.0000 ","0.0000 ","Burkholderia sp. Bp5365"
"bud","AQ610_00170","K01998","livM","branched-chain amino acid transport system permease protein","0.0000 ","0.0000 ","Burkholderia sp. Bp5365"
"bud","AQ610_00175","K01995","livG","branched-chain amino acid transport system ATP-binding protein","0.0000 ","0.0002","Burkholderia sp. Bp5365"
"bud","AQ610_00180","K01996","livF","branched-chain amino acid transport system ATP-binding protein","0.0000 ","0.0002","Burkholderia sp. Bp5365"
"bud","AQ610_00215","K07649","tctE","two-component system, OmpR family, sensor histidine kinase TctE","0.0000 ","0.0013","Burkholderia sp. Bp5365"
"bud","AQ610_00250","K02421","fliR","flagellar biosynthetic protein FliR","0.0000 ","0.0013","Burkholderia sp. Bp5365"
"bud","AQ610_00255","K02420","fliQ","flagellar biosynthetic protein FliQ","0.0000 ","0.0013","Burkholderia sp. Bp5365"
"bud","AQ610_00260","K02419","fliP","flagellar biosynthetic protein FliP","0.0000 ","0.0007","Burkholderia sp. Bp5365"
"bud","AQ610_00265","K02418","fliOZ, fliO","flagellar protein FliO/FliZ","0.0021","0.0042","Burkholderia sp. Bp5365"
"bud","AQ610_00270","K02417","fliNY, fliN","flagellar motor switch protein FliN/FliY","0.0067","0.0087","Burkholderia sp. Bp5365"
"bud","AQ610_00275","K02416","fliM","flagellar motor switch protein FliM","0.0000 ","0.0039","Burkholderia sp. Bp5365"
"bud","AQ610_00325","K02462","gspM","general secretion pathway protein M","0.0000 ","0.0005","Burkholderia sp. Bp5365"
"bud","AQ610_00330","K02461","gspL","general secretion pathway protein L","0.0024","0.0036","Burkholderia sp. Bp5365"
"bud","AQ610_00335","K02460","gspK","general secretion pathway protein K","0.0000 ","0.0005","Burkholderia sp. Bp5365"
"bud","AQ610_00340","K02459","gspJ","general secretion pathway protein J","0.0000 ","0.0007","Burkholderia sp. Bp5365"
"bud","AQ610_00345","K02458","gspI","general secretion pathway protein I","0.0000 ","0.0007","Burkholderia sp. Bp5365"
"bud","AQ610_00350","K02457","gspH","general secretion pathway protein H","0.0029","0.0007","Burkholderia sp. Bp5365"
