"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"bcp","BLBCPU_004","K05515","mrdA","penicillin-binding protein 2","0.2106","0.0687","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_010","K00658","DLST, sucB","2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase)","0.3018","0.2626","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_011","K01507","ppa","inorganic pyrophosphatase","0.3722","0.1858","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_012","K01876","DARS, aspS","aspartyl-tRNA synthetase","0.6601","0.5571","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_016","K03474","pdxJ","pyridoxine 5-phosphate synthase","0.2365","0.1560","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_017","K01681","ACO, acnA","aconitate hydratase","0.1854","0.2183","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_025","K11717","sufS","cysteine desulfurase / selenocysteine lyase","0.2588","0.0692","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_026","K02888","RP-L21, MRPL21, rplU","large subunit ribosomal protein L21","0.3906","0.5424","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_027","K02899","RP-L27, MRPL27, rpmA","large subunit ribosomal protein L27","0.3906","0.5424","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_028","K14219","tRNA-Arg","tRNA Arg","0.0000 ","0.2024","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_029","K14230","tRNA-Met","tRNA Met","0.0000 ","0.2024","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_031","K09808","lolC_E","lipoprotein-releasing system permease protein","0.4739","0.1800","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_035","K02914","RP-L34, MRPL34, rpmH","large subunit ribosomal protein L34","0.3752","0.5158","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_037","K16363","lpxC-fabZ","UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase","0.6813","0.5829","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_039","K01902","sucD","succinyl-CoA synthetase alpha subunit","0.0631","0.0742","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_042","K00134","GAPDH, gapA","glyceraldehyde 3-phosphate dehydrogenase","0.5166","0.5281","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_044","K00384","trxB","thioredoxin reductase (NADPH)","0.1650","0.2275","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_045","K01880","GARS, glyS1","glycyl-tRNA synthetase","0.0987","0.1960","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_046","K01890","FARSB, pheT","phenylalanyl-tRNA synthetase beta chain","0.7119","0.5803","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_047","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_048","K14230","tRNA-Met","tRNA Met","0.0000 ","0.2024","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_049","K00275","pdxH, PNPO","pyridoxamine 5-phosphate oxidase","0.1770","0.0889","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_051","K00604","MTFMT, fmt","methionyl-tRNA formyltransferase","0.5166","0.6569","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_053","K03070","secA","preprotein translocase subunit SecA","0.3906","0.4886","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_055","K02551","menD","2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase","0.0366","0.0622","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_056","K00059","fabG","3-oxoacyl-[acyl-carrier protein] reductase","0.7026","0.4376","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_057","K00945","cmk","CMP/dCMP kinase","0.8469","0.5663","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_058","K01480","speB","agmatinase","0.0031","0.0043","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_059","K01585","speA","arginine decarboxylase","0.0321","0.0215","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_062","K01866","YARS, tyrS","tyrosyl-tRNA synthetase","0.6601","0.5571","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_064","K11753","ribF","riboflavin kinase / FMN adenylyltransferase","0.6293","0.5031","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_065","K02112","ATPF1B, atpD","F-type H+-transporting ATPase subunit beta","0.4028","0.4508","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_066","K02114","ATPF1E, atpC","F-type H+-transporting ATPase subunit epsilon","0.0665","0.2761","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_067","K00097","pdxA","4-hydroxythreonine-4-phosphate dehydrogenase","0.2365","0.1560","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_068","K00793","ribE, RIB5","riboflavin synthase","0.2177","0.2963","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_069","K01610","E4.1.1.49, pckA","phosphoenolpyruvate carboxykinase (ATP)","0.0895","0.1205","Blattabacterium Cpu (Cryptocercus punctulatus)"
"bcp","BLBCPU_070","K02078","acpP","acyl carrier protein","0.4873","0.1020","Blattabacterium Cpu (Cryptocercus punctulatus)"
