"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"pds","CAY62_00005","K03654","recQ","ATP-dependent DNA helicase RecQ","0.0014","0.0359","Photobacterium damselae subsp. damselae"
"pds","CAY62_00020","K02335","DPO1, polA","DNA polymerase I","0.7656","0.8943","Photobacterium damselae subsp. damselae"
"pds","CAY62_00050","K02495","hemN, hemZ","oxygen-independent coproporphyrinogen III oxidase","0.3500","0.1348","Photobacterium damselae subsp. damselae"
"pds","CAY62_00055","K02342","DPO3E, dnaQ","DNA polymerase III subunit epsilon","0.8212","0.6494","Photobacterium damselae subsp. damselae"
"pds","CAY62_00065","K01488","add, ADA","adenosine deaminase","0.0022","0.0066","Photobacterium damselae subsp. damselae"
"pds","CAY62_00070","K07712","glnG, ntrC","two-component system, NtrC family, nitrogen regulation response regulator GlnG","0.0000 ","0.0011","Photobacterium damselae subsp. damselae"
"pds","CAY62_00075","K07708","glnL, ntrB","two-component system, NtrC family, nitrogen regulation sensor histidine kinase GlnL","0.0000 ","0.0007","Photobacterium damselae subsp. damselae"
"pds","CAY62_00085","K01915","glnA, GLUL","glutamine synthetase","0.4736","0.4162","Photobacterium damselae subsp. damselae"
"pds","CAY62_00125","K01610","E4.1.1.49, pckA","phosphoenolpyruvate carboxykinase (ATP)","0.0895","0.1205","Photobacterium damselae subsp. damselae"
"pds","CAY62_00140","K02452","gspC","general secretion pathway protein C","0.0000 ","0.0005","Photobacterium damselae subsp. damselae"
"pds","CAY62_00145","K02453","gspD","general secretion pathway protein D","0.0000 ","0.0005","Photobacterium damselae subsp. damselae"
"pds","CAY62_00150","K02454","gspE","general secretion pathway protein E","0.0000 ","0.0010","Photobacterium damselae subsp. damselae"
"pds","CAY62_00155","K02455","gspF","general secretion pathway protein F","0.0000 ","0.0009","Photobacterium damselae subsp. damselae"
"pds","CAY62_00160","K02456","gspG","general secretion pathway protein G","0.0000 ","0.0007","Photobacterium damselae subsp. damselae"
"pds","CAY62_00165","K02457","gspH","general secretion pathway protein H","0.0029","0.0007","Photobacterium damselae subsp. damselae"
"pds","CAY62_00170","K02458","gspI","general secretion pathway protein I","0.0000 ","0.0007","Photobacterium damselae subsp. damselae"
"pds","CAY62_00175","K02459","gspJ","general secretion pathway protein J","0.0000 ","0.0007","Photobacterium damselae subsp. damselae"
"pds","CAY62_00180","K02460","gspK","general secretion pathway protein K","0.0000 ","0.0005","Photobacterium damselae subsp. damselae"
"pds","CAY62_00185","K02461","gspL","general secretion pathway protein L","0.0024","0.0036","Photobacterium damselae subsp. damselae"
"pds","CAY62_00190","K02462","gspM","general secretion pathway protein M","0.0000 ","0.0005","Photobacterium damselae subsp. damselae"
"pds","CAY62_00200","K08312","nudE","ADP-ribose diphosphatase","0.0000 ","0.0343","Photobacterium damselae subsp. damselae"
"pds","CAY62_00205","K01082","cysQ, MET22, BPNT1","3(2), 5-bisphosphate nucleotidase","0.0824","0.0688","Photobacterium damselae subsp. damselae"
"pds","CAY62_00210","K00322","sthA, udhA","NAD(P) transhydrogenase","0.4649","0.2525","Photobacterium damselae subsp. damselae"
"pds","CAY62_00240","K01776","murI","glutamate racemase","0.3599","0.4250","Photobacterium damselae subsp. damselae"
"pds","CAY62_00375","K08281","pncA","nicotinamidase/pyrazinamidase","0.0000 ","0.1532","Photobacterium damselae subsp. damselae"
"pds","CAY62_00380","K00998","pssA","CDP-diacylglycerol---serine O-phosphatidyltransferase","0.4648","0.2267","Photobacterium damselae subsp. damselae"
"pds","CAY62_00390","K00075","murB","UDP-N-acetylmuramate dehydrogenase","0.7026","0.7608","Photobacterium damselae subsp. damselae"
"pds","CAY62_00395","K03524","birA","BirA family transcriptional regulator, biotin operon repressor / biotin-[acetyl-CoA-carboxylase] ligase","0.5498","0.3672","Photobacterium damselae subsp. damselae"
"pds","CAY62_00400","K03525","coaX","type III pantothenate kinase","0.4954","0.4088","Photobacterium damselae subsp. damselae"
"pds","CAY62_00430","K03073","secE","preprotein translocase subunit SecE","0.5987","0.5577","Photobacterium damselae subsp. damselae"
"pds","CAY62_00440","K02867","RP-L11, MRPL11, rplK","large subunit ribosomal protein L11","0.5327","0.5955","Photobacterium damselae subsp. damselae"
"pds","CAY62_00445","K02863","RP-L1, MRPL1, rplA","large subunit ribosomal protein L1","0.4306","0.5610","Photobacterium damselae subsp. damselae"
"pds","CAY62_00450","K02864","RP-L10, MRPL10, rplJ","large subunit ribosomal protein L10","0.5800","0.6162","Photobacterium damselae subsp. damselae"
"pds","CAY62_00455","K02935","RP-L7, MRPL12, rplL","large subunit ribosomal protein L7/L12","0.6601","0.6651","Photobacterium damselae subsp. damselae"
"pds","CAY62_00460","K03043","rpoB","DNA-directed RNA polymerase subunit beta","0.9384","0.8359","Photobacterium damselae subsp. damselae"
"pds","CAY62_00465","K03046","rpoC","DNA-directed RNA polymerase subunit beta","0.9384","0.8387","Photobacterium damselae subsp. damselae"
"pds","CAY62_00475","K03426","E3.6.1.22, NUDT12, nudC","NAD+ diphosphatase","0.4153","0.4516","Photobacterium damselae subsp. damselae"
"pds","CAY62_00480","K01599","hemE, UROD","uroporphyrinogen decarboxylase","0.4306","0.2372","Photobacterium damselae subsp. damselae"
