"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"bcc","BCc_003","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Buchnera aphidicola BCc"
"bcc","BCc_004","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Buchnera aphidicola BCc"
"bcc","BCc_005","K02914","RP-L34, MRPL34, rpmH","large subunit ribosomal protein L34","0.3752","0.5158","Buchnera aphidicola BCc"
"bcc","BCc_007","K03217","yidC, spoIIIJ, OXA1, ccfA","YidC/Oxa1 family membrane protein insertase","0.5327","0.5418","Buchnera aphidicola BCc"
"bcc","BCc_009","K14231","tRNA-Phe","tRNA Phe","0.0000 ","0.2024","Buchnera aphidicola BCc"
"bcc","BCc_011","K04077","groEL, HSPD1","chaperonin GroEL","0.4440","0.5638","Buchnera aphidicola BCc"
"bcc","BCc_015","K03110","ftsY","fused signal recognition particle receptor","0.6601","0.5766","Buchnera aphidicola BCc"
"bcc","BCc_017","K00549","metE","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase","0.0429","0.1899","Buchnera aphidicola BCc"
"bcc","BCc_018","K03046","rpoC","DNA-directed RNA polymerase subunit beta","0.9384","0.8387","Buchnera aphidicola BCc"
"bcc","BCc_019","K03043","rpoB","DNA-directed RNA polymerase subunit beta","0.9384","0.8359","Buchnera aphidicola BCc"
"bcc","BCc_020","K02935","RP-L7, MRPL12, rplL","large subunit ribosomal protein L7/L12","0.6601","0.6651","Buchnera aphidicola BCc"
"bcc","BCc_021","K02864","RP-L10, MRPL10, rplJ","large subunit ribosomal protein L10","0.5800","0.6162","Buchnera aphidicola BCc"
"bcc","BCc_022","K02863","RP-L1, MRPL1, rplA","large subunit ribosomal protein L1","0.4306","0.5610","Buchnera aphidicola BCc"
"bcc","BCc_023","K02867","RP-L11, MRPL11, rplK","large subunit ribosomal protein L11","0.5327","0.5955","Buchnera aphidicola BCc"
"bcc","BCc_025","K03073","secE","preprotein translocase subunit SecE","0.5987","0.5577","Buchnera aphidicola BCc"
"bcc","BCc_026","K14234","tRNA-Thr","tRNA Thr","0.0060","0.2024","Buchnera aphidicola BCc"
"bcc","BCc_027","K14225","tRNA-Gly","tRNA Gly","0.0000 ","0.2024","Buchnera aphidicola BCc"
"bcc","BCc_028","K14236","tRNA-Tyr","tRNA Tyr","0.0000 ","0.2024","Buchnera aphidicola BCc"
"bcc","BCc_029","K14234","tRNA-Thr","tRNA Thr","0.0060","0.2024","Buchnera aphidicola BCc"
"bcc","BCc_030","K00297","metF, MTHFR","methylenetetrahydrofolate reductase (NADPH)","0.0012","0.0130","Buchnera aphidicola BCc"
"bcc","BCc_031","K00930","argB","acetylglutamate kinase","0.0463","0.0630","Buchnera aphidicola BCc"
"bcc","BCc_032","K01940","argG, ASS1","argininosuccinate synthase","0.0584","0.1341","Buchnera aphidicola BCc"
