"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"serj","SGUI_0003","K00864","glpK, GK","glycerol kinase","0.0046","0.0302","Serinicoccus sp. JLT9"
"serj","SGUI_0005","K00111","glpA, glpD","glycerol-3-phosphate dehydrogenase","0.0013","0.0904","Serinicoccus sp. JLT9"
"serj","SGUI_0010","K01881","PARS, proS","prolyl-tRNA synthetase","0.6601","0.5571","Serinicoccus sp. JLT9"
"serj","SGUI_0023","K11753","ribF","riboflavin kinase / FMN adenylyltransferase","0.6293","0.5031","Serinicoccus sp. JLT9"
"serj","SGUI_0025","K01897","ACSL, fadD","long-chain acyl-CoA synthetase","0.0000 ","0.0000 ","Serinicoccus sp. JLT9"
"serj","SGUI_0026","K00854","xylB, XYLB","xylulokinase","0.0000 ","0.0007","Serinicoccus sp. JLT9"
"serj","SGUI_0027","K00045","E1.1.1.67, mtlK","mannitol 2-dehydrogenase","0.0000 ","0.0002","Serinicoccus sp. JLT9"
"serj","SGUI_0028","K10229","smoG, mtlG","sorbitol/mannitol transport system permease protein","0.0000 ","0.0053","Serinicoccus sp. JLT9"
"serj","SGUI_0029","K10228","smoF, mtlF","sorbitol/mannitol transport system permease protein","0.0000 ","0.0056","Serinicoccus sp. JLT9"
"serj","SGUI_0030","K10227","smoE, mtlE","sorbitol/mannitol transport system substrate-binding protein","0.0000 ","0.0053","Serinicoccus sp. JLT9"
"serj","SGUI_0033","K00058","serA, PHGDH","D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase","0.1073","0.1203","Serinicoccus sp. JLT9"
"serj","SGUI_0034","K00831","serC, PSAT1","phosphoserine aminotransferase","0.1238","0.1765","Serinicoccus sp. JLT9"
"serj","SGUI_0035","K08300","rne","ribonuclease E","0.0750","0.0549","Serinicoccus sp. JLT9"
"serj","SGUI_0036","K02888","RP-L21, MRPL21, rplU","large subunit ribosomal protein L21","0.3906","0.5424","Serinicoccus sp. JLT9"
"serj","SGUI_0037","K02899","RP-L27, MRPL27, rpmA","large subunit ribosomal protein L27","0.3906","0.5424","Serinicoccus sp. JLT9"
"serj","SGUI_0040","K00931","proB","glutamate 5-kinase","0.0792","0.1238","Serinicoccus sp. JLT9"
"serj","SGUI_0041","K00147","proA","glutamate-5-semialdehyde dehydrogenase","0.0429","0.1070","Serinicoccus sp. JLT9"
"serj","SGUI_0043","K00969","nadD","nicotinate-nucleotide adenylyltransferase","0.4583","0.4141","Serinicoccus sp. JLT9"
"serj","SGUI_0049","K11473","glcF","glycolate oxidase iron-sulfur subunit","0.0098","0.0044","Serinicoccus sp. JLT9"
"serj","SGUI_0050","K11472","glcE","glycolate oxidase FAD binding subunit","0.0116","0.0055","Serinicoccus sp. JLT9"
"serj","SGUI_0051","K00104","glcD","glycolate oxidase","0.0085","0.0055","Serinicoccus sp. JLT9"
"serj","SGUI_0052","K01638","aceB, glcB","malate synthase","0.0000 ","0.0000 ","Serinicoccus sp. JLT9"
"serj","SGUI_0059","K22468","N/A","","N/A","N/A","Serinicoccus sp. JLT9"
"serj","SGUI_0063","K01679","E4.2.1.2B, fumC","fumarate hydratase, class II","0.1043","0.1495","Serinicoccus sp. JLT9"
"serj","SGUI_0072","K05878","dhaK","dihydroxyacetone kinase, N-terminal domain","0.0051","0.0026","Serinicoccus sp. JLT9"
"serj","SGUI_0073","K05879","dhaL","dihydroxyacetone kinase, C-terminal domain","0.0051","0.0026","Serinicoccus sp. JLT9"
"serj","SGUI_0074","K02768","PTS-Fru-EIIA, fruB","PTS system, fructose-specific IIA component","0.0016","0.0042","Serinicoccus sp. JLT9"
"serj","SGUI_0076","K03584","recO","DNA repair protein RecO (recombination protein O)","0.0010","0.0357","Serinicoccus sp. JLT9"
"serj","SGUI_0077","K00806","uppS","undecaprenyl diphosphate synthase","0.6186","0.2407","Serinicoccus sp. JLT9"
"serj","SGUI_0080","K09816","znuB","zinc transport system permease protein","0.0016","0.0058","Serinicoccus sp. JLT9"
