"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"cet","B8281_00030","K04091","ssuD","alkanesulfonate monooxygenase","0.0000 ","0.0079","Cellulosimicrobium sp. TH-20"
"cet","B8281_00040","K15555","ssuB","sulfonate transport system ATP-binding protein","0.0000 ","0.0000 ","Cellulosimicrobium sp. TH-20"
"cet","B8281_00045","K15554","ssuC","sulfonate transport system permease protein","0.0000 ","0.0007","Cellulosimicrobium sp. TH-20"
"cet","B8281_00050","K15553","ssuA","sulfonate transport system substrate-binding protein","0.0000 ","0.0000 ","Cellulosimicrobium sp. TH-20"
"cet","B8281_00100","K14234","tRNA-Thr","tRNA Thr","0.0060","0.2024","Cellulosimicrobium sp. TH-20"
"cet","B8281_00130","K02341","DPO3D2, holB","DNA polymerase III subunit delta","0.9384","0.9971","Cellulosimicrobium sp. TH-20"
"cet","B8281_00135","K00943","tmk, DTYMK","dTMP kinase","0.7026","0.4891","Cellulosimicrobium sp. TH-20"
"cet","B8281_00190","K00005","gldA","glycerol dehydrogenase","0.0000 ","0.0000 ","Cellulosimicrobium sp. TH-20"
"cet","B8281_00265","K05349","bglX","beta-glucosidase","0.0024","0.0063","Cellulosimicrobium sp. TH-20"
"cet","B8281_00270","K15987","hppA","K(+)-stimulated pyrophosphate-energized sodium pump","0.0000 ","0.0160","Cellulosimicrobium sp. TH-20"
"cet","B8281_00335","K00027","ME2, sfcA, maeA","malate dehydrogenase (oxaloacetate-decarboxylating)","0.0016","0.0078","Cellulosimicrobium sp. TH-20"
"cet","B8281_00360","K01895","ACSS, acs","acetyl-CoA synthetase","0.0111","0.0269","Cellulosimicrobium sp. TH-20"
"cet","B8281_00385","K00937","ppk","polyphosphate kinase","0.0000 ","0.0000 ","Cellulosimicrobium sp. TH-20"
"cet","B8281_00455","K14229","tRNA-Lys","tRNA Lys","0.0060","0.2024","Cellulosimicrobium sp. TH-20"
"cet","B8281_00515","K00004","BDH, butB","(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase","0.0000 ","0.0008","Cellulosimicrobium sp. TH-20"
"cet","B8281_00525","K01126","E3.1.4.46, glpQ, ugpQ","glycerophosphoryl diester phosphodiesterase","0.0000 ","0.0333","Cellulosimicrobium sp. TH-20"
"cet","B8281_00530","K00882","fruK","1-phosphofructokinase","0.0000 ","0.0906","Cellulosimicrobium sp. TH-20"
