"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"lgc","A9176_00010","K02768","PTS-Fru-EIIA, fruB","PTS system, fructose-specific IIA component","0.0016","0.0042","Leuconostoc garlicum"
"lgc","A9176_00030","K02959","RP-S16, MRPS16, rpsP","small subunit ribosomal protein S16","0.3752","0.5158","Leuconostoc garlicum"
"lgc","A9176_00055","K03550","ruvA","holliday junction DNA helicase RuvA","0.0362","0.0821","Leuconostoc garlicum"
"lgc","A9176_00070","K03551","ruvB","holliday junction DNA helicase RuvB","0.0625","0.1054","Leuconostoc garlicum"
"lgc","A9176_00080","K02428","rdgB","XTP/dITP diphosphohydrolase","0.2749","0.2063","Leuconostoc garlicum"
"lgc","A9176_00085","K01776","murI","glutamate racemase","0.3599","0.4250","Leuconostoc garlicum"
"lgc","A9176_00095","K03740","dltD","D-alanine transfer protein","0.0044","0.0034","Leuconostoc garlicum"
"lgc","A9176_00100","K14188","dltC","D-alanine--poly(phosphoribitol) ligase subunit 2","0.0044","0.0973","Leuconostoc garlicum"
"lgc","A9176_00105","K03739","dltB","membrane protein involved in D-alanine export","0.0044","0.0027","Leuconostoc garlicum"
"lgc","A9176_00110","K03367","dltA","D-alanine--poly(phosphoribitol) ligase subunit 1","0.0044","0.0019","Leuconostoc garlicum"
"lgc","A9176_00115","K02761","PTS-Cel-EIIC, celB, chbC","PTS system, cellobiose-specific IIC component","0.0000 ","0.0002","Leuconostoc garlicum"
"lgc","A9176_00130","K06881","nrnA","bifunctional oligoribonuclease and PAP phosphatase NrnA","0.1122","0.0407","Leuconostoc garlicum"
"lgc","A9176_00140","K02884","RP-L19, MRPL19, rplS","large subunit ribosomal protein L19","0.3906","0.5424","Leuconostoc garlicum"
"lgc","A9176_00145","K01835","pgm","phosphoglucomutase","0.0858","0.1247","Leuconostoc garlicum"
"lgc","A9176_00155","K00690","E2.4.1.7","sucrose phosphorylase","0.0000 ","0.0080","Leuconostoc garlicum"
"lgc","A9176_00165","K00384","trxB","thioredoxin reductase (NADPH)","0.1650","0.2275","Leuconostoc garlicum"
"lgc","A9176_00170","K00963","UGP2, galU, galF","UTP--glucose-1-phosphate uridylyltransferase","0.2177","0.2983","Leuconostoc garlicum"
"lgc","A9176_00175","K00057","gpsA","glycerol-3-phosphate dehydrogenase (NAD(P)+)","0.2265","0.0904","Leuconostoc garlicum"
"lgc","A9176_00195","K02036","pstB","phosphate transport system ATP-binding protein","0.0103","0.0272","Leuconostoc garlicum"
"lgc","A9176_00200","K02036","pstB","phosphate transport system ATP-binding protein","0.0103","0.0272","Leuconostoc garlicum"
