"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"btrm","SAMEA390648700001","K14218","tRNA-Ala","tRNA Ala","0.0060","0.2024","Bordetella trematum"
"btrm","SAMEA390648700002","K14227","tRNA-Ile","tRNA Ile","0.0000 ","0.2024","Bordetella trematum"
"btrm","SAMEA390648700003","K01977","16SrRNA, rrs","16S ribosomal RNA","0.0000 ","0.3104","Bordetella trematum"
"btrm","SAMEA390648700004","K18118","aarC, cat1","succinyl-CoA:acetate CoA-transferase","0.0426","0.0229","Bordetella trematum"
"btrm","SAMEA390648700008","K02342","DPO3E, dnaQ","DNA polymerase III subunit epsilon","0.8212","0.6494","Bordetella trematum"
"btrm","SAMEA390648700009","K01682","acnB","aconitate hydratase 2 / 2-methylisocitrate dehydratase","0.1854","0.1720","Bordetella trematum"
"btrm","SAMEA390648700012","K01681","ACO, acnA","aconitate hydratase","0.1854","0.2183","Bordetella trematum"
"btrm","SAMEA390648700020","K02031","ABC.PE.A","peptide/nickel transport system ATP-binding protein","0.0000 ","0.0004","Bordetella trematum"
"btrm","SAMEA390648700021","K02034","ABC.PE.P1","peptide/nickel transport system permease protein","0.0075","0.0026","Bordetella trematum"
"btrm","SAMEA390648700022","K02033","ABC.PE.P","peptide/nickel transport system permease protein","0.0016","0.0026","Bordetella trematum"
"btrm","SAMEA390648700026","K03657","uvrD, pcrA","DNA helicase II / ATP-dependent DNA helicase PcrA","0.0351","0.0917","Bordetella trematum"
"btrm","SAMEA390648700029","K00823","puuE","4-aminobutyrate aminotransferase","0.0039","0.0172","Bordetella trematum"
"btrm","SAMEA390648700030","K00135","gabD","succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase","0.0245","0.0296","Bordetella trematum"
"btrm","SAMEA390648700036","K00640","cysE","serine O-acetyltransferase","0.0386","0.0820","Bordetella trematum"
"btrm","SAMEA390648700037","K00626","E2.3.1.9, atoB","acetyl-CoA C-acetyltransferase","0.0206","0.0393","Bordetella trematum"
"btrm","SAMEA390648700038","K00626","E2.3.1.9, atoB","acetyl-CoA C-acetyltransferase","0.0206","0.0393","Bordetella trematum"
"btrm","SAMEA390648700039","K01782","fadJ","3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase","0.0067","0.0147","Bordetella trematum"
"btrm","SAMEA390648700040","K07516","fadN","3-hydroxyacyl-CoA dehydrogenase","0.0029","0.0088","Bordetella trematum"
"btrm","SAMEA390648700041","K00632","fadA, fadI","acetyl-CoA acyltransferase","0.0067","0.0198","Bordetella trematum"
"btrm","SAMEA390648700043","K14219","tRNA-Arg","tRNA Arg","0.0000 ","0.2024","Bordetella trematum"
"btrm","SAMEA390648700044","K10680","nemA","N-ethylmaleimide reductase","0.0000 ","0.0000 ","Bordetella trematum"
"btrm","SAMEA390648700045","K00799","GST, gst","glutathione S-transferase","0.0402","0.0384","Bordetella trematum"
"btrm","SAMEA390648700046","K14219","tRNA-Arg","tRNA Arg","0.0000 ","0.2024","Bordetella trematum"
"btrm","SAMEA390648700047","K14219","tRNA-Arg","tRNA Arg","0.0000 ","0.2024","Bordetella trematum"
"btrm","SAMEA390648700049","K16014","cydCD","ATP-binding cassette, subfamily C, bacterial CydCD","0.0000 ","0.0053","Bordetella trematum"
"btrm","SAMEA390648700053","K14233","tRNA-Ser","tRNA Ser","0.0000 ","0.2024","Bordetella trematum"
"btrm","SAMEA390648700054","K00928","lysC","aspartate kinase","0.3479","0.4527","Bordetella trematum"
"btrm","SAMEA390648700056","K01962","accA","acetyl-CoA carboxylase carboxyl transferase subunit alpha","0.6626","0.6603","Bordetella trematum"
"btrm","SAMEA390648700057","K01247","alkA","DNA-3-methyladenine glycosylase II","0.0000 ","0.0035","Bordetella trematum"
"btrm","SAMEA390648700058","K01883","CARS, cysS","cysteinyl-tRNA synthetase","0.6601","0.3696","Bordetella trematum"
"btrm","SAMEA390648700061","K03269","lpxH","UDP-2,3-diacylglucosamine hydrolase","0.3317","0.1700","Bordetella trematum"
"btrm","SAMEA390648700062","K06153","bacA","undecaprenyl-diphosphatase","0.0287","0.0496","Bordetella trematum"
"btrm","SAMEA390648700064","K01092","E3.1.3.25, IMPA, suhB","myo-inositol-1(or 4)-monophosphatase","0.1110","0.1479","Bordetella trematum"
"btrm","SAMEA390648700081","K03555","mutS","DNA mismatch repair protein MutS","0.0046","0.0241","Bordetella trematum"
"btrm","SAMEA390648700086","K01714","dapA","4-hydroxy-tetrahydrodipicolinate synthase","0.4899","0.3442","Bordetella trematum"
"btrm","SAMEA390648700098","K14226","tRNA-His","tRNA His","0.0000 ","0.2024","Bordetella trematum"
"btrm","SAMEA390648700099","K06131","clsA_B","cardiolipin synthase A/B","0.0144","0.0916","Bordetella trematum"
"btrm","SAMEA390648700100","K14219","tRNA-Arg","tRNA Arg","0.0000 ","0.2024","Bordetella trematum"
"btrm","SAMEA390648700106","K01761","E4.4.1.11","methionine-gamma-lyase","0.0000 ","0.0794","Bordetella trematum"
"btrm","SAMEA390648700112","K00404","ccoN","cytochrome c oxidase cbb3-type subunit I","0.0024","0.0119","Bordetella trematum"
"btrm","SAMEA390648700113","K00405","ccoO","cytochrome c oxidase cbb3-type subunit II","0.0026","0.0116","Bordetella trematum"
"btrm","SAMEA390648700118","K01985","5SrRNA, rrf","5S ribosomal RNA","0.0060","0.3104","Bordetella trematum"
"btrm","SAMEA390648700119","K01980","23SrRNA, rrl","23S ribosomal RNA","0.0000 ","0.3104","Bordetella trematum"
"btrm","SAMEA390648700120","K14218","tRNA-Ala","tRNA Ala","0.0060","0.2024","Bordetella trematum"
"btrm","SAMEA390648700121","K14227","tRNA-Ile","tRNA Ile","0.0000 ","0.2024","Bordetella trematum"
"btrm","SAMEA390648700122","K01977","16SrRNA, rrs","16S ribosomal RNA","0.0000 ","0.3104","Bordetella trematum"
"btrm","SAMEA390648700174","K14228","tRNA-Leu","tRNA Leu","0.0060","0.2024","Bordetella trematum"
"btrm","SAMEA390648700176","K00101","lldD","L-lactate dehydrogenase (cytochrome)","0.0017","0.0122","Bordetella trematum"
"btrm","SAMEA390648700183","K02073","metQ","D-methionine transport system substrate-binding protein","0.0000 ","0.0053","Bordetella trematum"
"btrm","SAMEA390648700189","K02013","ABC.FEV.A","iron complex transport system ATP-binding protein","0.0399","0.0544","Bordetella trematum"
"btrm","SAMEA390648700190","K02015","ABC.FEV.P","iron complex transport system permease protein","0.0184","0.0354","Bordetella trematum"
"btrm","SAMEA390648700191","K02015","ABC.FEV.P","iron complex transport system permease protein","0.0184","0.0354","Bordetella trematum"
"btrm","SAMEA390648700192","K02016","ABC.FEV.S","iron complex transport system substrate-binding protein","0.0044","0.0127","Bordetella trematum"
"btrm","SAMEA390648700193","K03075","secG","preprotein translocase subunit SecG","0.0644","0.3115","Bordetella trematum"
"btrm","SAMEA390648700194","K01803","TPI, tpiA","triosephosphate isomerase (TIM)","0.5625","0.7010","Bordetella trematum"
"btrm","SAMEA390648700196","K14233","tRNA-Ser","tRNA Ser","0.0000 ","0.2024","Bordetella trematum"
"btrm","SAMEA390648700201","K14228","tRNA-Leu","tRNA Leu","0.0060","0.2024","Bordetella trematum"
"btrm","SAMEA390648700203","K01754","E4.3.1.19, ilvA, tdcB","threonine dehydratase","0.2176","0.1963","Bordetella trematum"
"btrm","SAMEA390648700205","K00962","pnp, PNPT1","polyribonucleotide nucleotidyltransferase","0.0841","0.1783","Bordetella trematum"
"btrm","SAMEA390648700206","K02956","RP-S15, MRPS15, rpsO","small subunit ribosomal protein S15","0.2910","0.4866","Bordetella trematum"
"btrm","SAMEA390648700208","K17103","CHO1, pssA","CDP-diacylglycerol---serine O-phosphatidyltransferase","0.3583","0.2425","Bordetella trematum"
"btrm","SAMEA390648700209","K00053","ilvC","ketol-acid reductoisomerase","0.0563","0.1147","Bordetella trematum"
"btrm","SAMEA390648700210","K01653","E2.2.1.6S, ilvH, ilvN","acetolactate synthase I/III small subunit","0.0190","0.0562","Bordetella trematum"
"btrm","SAMEA390648700211","K01652","E2.2.1.6L, ilvB, ilvG, ilvI","acetolactate synthase I/II/III large subunit","0.0184","0.0311","Bordetella trematum"
"btrm","SAMEA390648700214","K00019","E1.1.1.30, bdh","3-hydroxybutyrate dehydrogenase","0.0000 ","0.0294","Bordetella trematum"
"btrm","SAMEA390648700215","K14233","tRNA-Ser","tRNA Ser","0.0000 ","0.2024","Bordetella trematum"
"btrm","SAMEA390648700221","K01640","E4.1.3.4, HMGCL, hmgL","hydroxymethylglutaryl-CoA lyase","0.0091","0.0134","Bordetella trematum"
"btrm","SAMEA390648700226","K01875","SARS, serS","seryl-tRNA synthetase","0.6103","0.5347","Bordetella trematum"
"btrm","SAMEA390648700231","K22468","N/A","","N/A","N/A","Bordetella trematum"
"btrm","SAMEA390648700235","K00384","trxB","thioredoxin reductase (NADPH)","0.1650","0.2275","Bordetella trematum"
"btrm","SAMEA390648700240","K00031","IDH1, IDH2, icd","isocitrate dehydrogenase","0.1443","0.2055","Bordetella trematum"
"btrm","SAMEA390648700247","K04043","dnaK","molecular chaperone DnaK","0.3525","0.3257","Bordetella trematum"
"btrm","SAMEA390648700251","K01772","hemH, FECH","protoporphyrin/coproporphyrin ferrochelatase","0.4153","0.2412","Bordetella trematum"
"btrm","SAMEA390648700253","K00858","ppnK, NADK","NAD+ kinase","0.5327","0.4578","Bordetella trematum"
"btrm","SAMEA390648700257","K00215","dapB","4-hydroxy-tetrahydrodipicolinate reductase","0.5376","0.5651","Bordetella trematum"
"btrm","SAMEA390648700258","K00075","murB","UDP-N-acetylmuramate dehydrogenase","0.7026","0.7608","Bordetella trematum"
"btrm","SAMEA390648700259","K14225","tRNA-Gly","tRNA Gly","0.0000 ","0.2024","Bordetella trematum"
"btrm","SAMEA390648700264","K14225","tRNA-Gly","tRNA Gly","0.0000 ","0.2024","Bordetella trematum"
"btrm","SAMEA390648700268","K01677","E4.2.1.2AA, fumA","fumarate hydratase subunit alpha","0.1422","0.0503","Bordetella trematum"
"btrm","SAMEA390648700269","K01678","E4.2.1.2AB, fumB","fumarate hydratase subunit beta","0.1422","0.0503","Bordetella trematum"
"btrm","SAMEA390648700270","K01644","citE","citrate lyase subunit beta / citryl-CoA lyase","0.0085","0.0032","Bordetella trematum"
