"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"cphy","B5808_00005","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Cnuibacter physcomitrellae"
"cphy","B5808_00010","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Cnuibacter physcomitrellae"
"cphy","B5808_00015","K00033","PGD, gnd, gntZ","6-phosphogluconate dehydrogenase","0.0170","0.0284","Cnuibacter physcomitrellae"
"cphy","B5808_00020","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Cnuibacter physcomitrellae"
"cphy","B5808_00045","K14227","tRNA-Ile","tRNA Ile","0.0000 ","0.2024","Cnuibacter physcomitrellae"
"cphy","B5808_00050","K14218","tRNA-Ala","tRNA Ala","0.0060","0.2024","Cnuibacter physcomitrellae"
"cphy","B5808_00070","K03767","PPIA","peptidyl-prolyl cis-trans isomerase A (cyclophilin A)","0.0000 ","0.0178","Cnuibacter physcomitrellae"
"cphy","B5808_00090","K01664","pabA","para-aminobenzoate synthetase component II","0.0024","0.1645","Cnuibacter physcomitrellae"
"cphy","B5808_00105","K05364","pbpA","penicillin-binding protein A","0.0000 ","0.0344","Cnuibacter physcomitrellae"
"cphy","B5808_00135","K14228","tRNA-Leu","tRNA Leu","0.0060","0.2024","Cnuibacter physcomitrellae"
"cphy","B5808_00160","K01091","gph","phosphoglycolate phosphatase","0.0000 ","0.0024","Cnuibacter physcomitrellae"
"cphy","B5808_00200","K00467","E1.13.12.4","lactate 2-monooxygenase","0.0000 ","0.0303","Cnuibacter physcomitrellae"
"cphy","B5808_00210","K17836","penP","beta-lactamase class A","0.0000 ","0.0000 ","Cnuibacter physcomitrellae"
"cphy","B5808_00295","K02013","ABC.FEV.A","iron complex transport system ATP-binding protein","0.0399","0.0544","Cnuibacter physcomitrellae"
"cphy","B5808_00300","K02015","ABC.FEV.P","iron complex transport system permease protein","0.0184","0.0354","Cnuibacter physcomitrellae"
"cphy","B5808_00305","K02015","ABC.FEV.P","iron complex transport system permease protein","0.0184","0.0354","Cnuibacter physcomitrellae"
"cphy","B5808_00310","K02016","ABC.FEV.S","iron complex transport system substrate-binding protein","0.0044","0.0127","Cnuibacter physcomitrellae"
"cphy","B5808_00330","K01623","ALDO","fructose-bisphosphate aldolase, class I","0.5680","0.5267","Cnuibacter physcomitrellae"
"cphy","B5808_00340","K13821","putA","RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase","0.0750","0.0820","Cnuibacter physcomitrellae"
"cphy","B5808_00345","K01867","WARS, trpS","tryptophanyl-tRNA synthetase","0.5166","0.4923","Cnuibacter physcomitrellae"
"cphy","B5808_00535","K05275","E1.1.1.65","pyridoxine 4-dehydrogenase","0.2464","0.0582","Cnuibacter physcomitrellae"
"cphy","B5808_00545","K05349","bglX","beta-glucosidase","0.0024","0.0063","Cnuibacter physcomitrellae"
