"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"kpb","FH42_00115","K11073","potF","putrescine transport system substrate-binding protein","0.0000 ","0.0089","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00120","K11076","potG","putrescine transport system ATP-binding protein","0.0000 ","0.0065","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00125","K11075","potH","putrescine transport system permease protein","0.0000 ","0.0075","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00130","K11074","potI","putrescine transport system permease protein","0.0000 ","0.0071","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00155","K09996","artJ","arginine transport system substrate-binding protein","0.0000 ","0.0060","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00160","K09998","artM","arginine transport system permease protein","0.0000 ","0.0058","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00165","K09999","artQ","arginine transport system permease protein","0.0000 ","0.0053","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00170","K09997","artI","arginine transport system substrate-binding protein","0.0039","0.0060","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00175","K10000","artP","arginine transport system ATP-binding protein","0.0039","0.0070","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00210","K01620","ltaE","threonine aldolase","0.0257","0.0666","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00215","K00156","poxB","pyruvate dehydrogenase (quinone)","0.0000 ","0.0140","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00230","K05601","hcp","hydroxylamine reductase","0.0000 ","0.0033","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00255","K05685","macB","macrolide transport system ATP-binding/permease protein","0.0000 ","0.0053","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00285","K16012","cydC","ATP-binding cassette, subfamily C, bacterial CydC","0.0302","0.0240","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00290","K16013","cydD","ATP-binding cassette, subfamily C, bacterial CydD","0.0018","0.0093","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00295","K00384","trxB","thioredoxin reductase (NADPH)","0.1650","0.2275","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00320","K01875","SARS, serS","seryl-tRNA synthetase","0.6103","0.5347","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00325","K07306","dmsA","anaerobic dimethyl sulfoxide reductase subunit A","0.0039","0.0080","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00330","K07307","dmsB","anaerobic dimethyl sulfoxide reductase subunit B (DMSO reductase iron- sulfur subunit)","0.0039","0.0084","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00335","K07308","dmsC","anaerobic dimethyl sulfoxide reductase subunit C (DMSO reductase anchor subunit)","0.0044","0.0087","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00555","K00656","E2.3.1.54, pflD","formate C-acetyltransferase","0.7260","0.7634","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00575","K00831","serC, PSAT1","phosphoserine aminotransferase","0.1238","0.1765","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00580","K00800","aroA","3-phosphoshikimate 1-carboxyvinyltransferase","0.1299","0.1579","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00585","K00945","cmk","CMP/dCMP kinase","0.8469","0.5663","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00590","K02945","RP-S1, rpsA","small subunit ribosomal protein S1","0.3635","0.5201","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00605","K11085","msbA","ATP-binding cassette, subfamily B, bacterial MsbA","0.3149","0.0165","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00610","K00912","lpxK","tetraacyldisaccharide 4-kinase","0.4534","0.2386","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00625","K00979","kdsB","3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase)","0.4649","0.2620","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00675","K00813","aspC","aspartate aminotransferase","0.2571","0.1628","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00680","K09476","ompF","outer membrane pore protein F","0.0000 ","0.0010","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00685","K01893","NARS, asnS","asparaginyl-tRNA synthetase","0.2860","0.2797","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00705","K06016","pydC","beta-ureidopropionase / N-carbamoyl-L-amino-acid hydrolase","0.0044","0.1559","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00715","K00763","pncB, NAPRT1","nicotinate phosphoribosyltransferase","0.0685","0.2006","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00720","K01256","pepN","aminopeptidase N","0.0298","0.0588","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00725","K15555","ssuB","sulfonate transport system ATP-binding protein","0.0000 ","0.0000 ","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00730","K15554","ssuC","sulfonate transport system permease protein","0.0000 ","0.0007","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00735","K04091","ssuD","alkanesulfonate monooxygenase","0.0000 ","0.0079","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00740","K15553","ssuA","sulfonate transport system substrate-binding protein","0.0000 ","0.0000 ","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00745","K00299","ssuE","FMN reductase","0.0039","0.0023","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00750","K00254","DHODH, pyrD","dihydroorotate dehydrogenase","0.0463","0.1443","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00795","K01716","fabA","3-hydroxyacyl-[acyl-carrier protein] dehydratase / trans-2-decenoyl-[acyl-carrier protein] isomerase","0.7134","0.6273","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00840","K01734","mgsA","methylglyoxal synthase","0.0024","0.0061","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00870","K01512","acyP","acylphosphatase","0.0000 ","0.0000 ","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00875","K11179","tusE, dsrC","tRNA 2-thiouridine synthesizing protein E","0.0616","0.0721","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00885","K15580","oppA, mppA","oligopeptide transport system substrate-binding protein","0.0000 ","0.0068","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00890","K14233","tRNA-Ser","tRNA Ser","0.0000 ","0.2024","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00915","K00135","gabD","succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase","0.0245","0.0296","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00930","K07246","ttuC, dmlA","tartrate dehydrogenase/decarboxylase / D-malate dehydrogenase","0.0000 ","0.0301","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00940","K09471","puuB, ordL","gamma-glutamylputrescine oxidase","0.0000 ","0.0058","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00945","K09472","puuC, aldH","gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase","0.0000 ","0.0078","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00955","K09473","puuD","gamma-glutamyl-gamma-aminobutyrate hydrolase","0.0000 ","0.0037","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00960","K09470","puuA","gamma-glutamylputrescine synthase","0.0000 ","0.1324","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_00990","K01085","agp","glucose-1-phosphatase","0.0000 ","0.0935","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_01000","K03809","wrbA","NAD(P)H dehydrogenase (quinone)","0.0017","0.0508","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_01020","K09024","rutF","flavin reductase","0.0000 ","0.1246","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_01025","K09019","rutE","3-hydroxypropanoate dehydrogenase","0.0000 ","0.1242","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_01030","K09023","rutD","aminoacrylate hydrolase","0.0000 ","0.1272","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_01035","K09021","rutC","aminoacrylate peracid reductase","0.0051","0.1262","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_01040","K09020","rutB","ureidoacrylate peracid hydrolase","0.0044","0.1247","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_01045","K09018","rutA","pyrimidine oxygenase","0.0000 ","0.1240","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_01060","K13821","putA","RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase","0.0750","0.0820","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_01100","K03673","dsbA","thiol:disulfide interchange protein DsbA","0.0000 ","0.0184","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_01105","K14233","tRNA-Ser","tRNA Ser","0.0000 ","0.2024","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_01125","K14233","tRNA-Ser","tRNA Ser","0.0000 ","0.2024","Klebsiella pneumoniae blaNDM-1"
"kpb","FH42_01130","K12972","ghrA","glyoxylate/hydroxypyruvate reductase A","0.0127","0.0432","Klebsiella pneumoniae blaNDM-1"
