"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"psim","KR76_00005","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Pimelobacter simplex"
"psim","KR76_00010","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Pimelobacter simplex"
"psim","KR76_00015","K00033","PGD, gnd, gntZ","6-phosphogluconate dehydrogenase","0.0170","0.0284","Pimelobacter simplex"
"psim","KR76_00030","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Pimelobacter simplex"
"psim","KR76_00060","K14218","tRNA-Ala","tRNA Ala","0.0060","0.2024","Pimelobacter simplex"
"psim","KR76_00075","K00558","DNMT1, dcm","DNA (cytosine-5)-methyltransferase 1","0.1370","0.1102","Pimelobacter simplex"
"psim","KR76_00175","K18911","egtD","L-histidine Nalpha-methyltransferase","0.0000 ","0.0021","Pimelobacter simplex"
"psim","KR76_00225","K03767","PPIA","peptidyl-prolyl cis-trans isomerase A (cyclophilin A)","0.0000 ","0.0178","Pimelobacter simplex"
"psim","KR76_00255","K05364","pbpA","penicillin-binding protein A","0.0000 ","0.0344","Pimelobacter simplex"
"psim","KR76_00280","K14228","tRNA-Leu","tRNA Leu","0.0060","0.2024","Pimelobacter simplex"
"psim","KR76_00300","K18983","gci","D-galactarolactone cycloisomerase","0.0000 ","0.0001","Pimelobacter simplex"
"psim","KR76_00340","K00655","plsC","1-acyl-sn-glycerol-3-phosphate acyltransferase","0.7119","0.5099","Pimelobacter simplex"
"psim","KR76_00385","K00626","E2.3.1.9, atoB","acetyl-CoA C-acetyltransferase","0.0206","0.0393","Pimelobacter simplex"
"psim","KR76_00390","K21672","ord","2,4-diaminopentanoate dehydrogenase","0.0000 ","0.0266","Pimelobacter simplex"
"psim","KR76_00395","K10805","tesB","acyl-CoA thioesterase II","0.0000 ","0.0033","Pimelobacter simplex"
"psim","KR76_00410","K00626","E2.3.1.9, atoB","acetyl-CoA C-acetyltransferase","0.0206","0.0393","Pimelobacter simplex"
"psim","KR76_00420","K00459","ncd2, npd","nitronate monooxygenase","0.0017","0.1220","Pimelobacter simplex"
"psim","KR76_00450","K01995","livG","branched-chain amino acid transport system ATP-binding protein","0.0000 ","0.0002","Pimelobacter simplex"
"psim","KR76_00455","K01996","livF","branched-chain amino acid transport system ATP-binding protein","0.0000 ","0.0002","Pimelobacter simplex"
"psim","KR76_00460","K01997","livH","branched-chain amino acid transport system permease protein","0.0000 ","0.0000 ","Pimelobacter simplex"
"psim","KR76_00490","K00059","fabG","3-oxoacyl-[acyl-carrier protein] reductase","0.7026","0.4376","Pimelobacter simplex"
"psim","KR76_00495","K00626","E2.3.1.9, atoB","acetyl-CoA C-acetyltransferase","0.0206","0.0393","Pimelobacter simplex"
"psim","KR76_00565","K00432","gpx","glutathione peroxidase","0.0000 ","0.0000 ","Pimelobacter simplex"
"psim","KR76_00635","K00496","alkB1_2, alkM","alkane 1-monooxygenase","0.0000 ","0.0203","Pimelobacter simplex"
"psim","KR76_00680","K00626","E2.3.1.9, atoB","acetyl-CoA C-acetyltransferase","0.0206","0.0393","Pimelobacter simplex"
"psim","KR76_00685","K01782","fadJ","3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase","0.0067","0.0147","Pimelobacter simplex"
"psim","KR76_00715","K01915","glnA, GLUL","glutamine synthetase","0.4736","0.4162","Pimelobacter simplex"
"psim","KR76_00720","K00101","lldD","L-lactate dehydrogenase (cytochrome)","0.0017","0.0122","Pimelobacter simplex"
"psim","KR76_00725","K00108","betA, CHDH","choline dehydrogenase","0.0000 ","0.0107","Pimelobacter simplex"
"psim","KR76_00730","K01845","hemL","glutamate-1-semialdehyde 2,1-aminomutase","0.1623","0.1170","Pimelobacter simplex"
"psim","KR76_00735","K01999","livK","branched-chain amino acid transport system substrate-binding protein","0.0000 ","0.0005","Pimelobacter simplex"
"psim","KR76_00740","K01995","livG","branched-chain amino acid transport system ATP-binding protein","0.0000 ","0.0002","Pimelobacter simplex"
"psim","KR76_00745","K01996","livF","branched-chain amino acid transport system ATP-binding protein","0.0000 ","0.0002","Pimelobacter simplex"
"psim","KR76_00750","K01997","livH","branched-chain amino acid transport system permease protein","0.0000 ","0.0000 ","Pimelobacter simplex"
"psim","KR76_00770","K00819","rocD, OAT","ornithine--oxo-acid transaminase","0.0044","0.0191","Pimelobacter simplex"
"psim","KR76_00775","K00261","GLUD1_2, gdhA","glutamate dehydrogenase (NAD(P)+)","0.3500","0.2061","Pimelobacter simplex"
"psim","KR76_00855","K03217","yidC, spoIIIJ, OXA1, ccfA","YidC/Oxa1 family membrane protein insertase","0.5327","0.5418","Pimelobacter simplex"
"psim","KR76_00880","K00249","ACADM, acd","acyl-CoA dehydrogenase","0.0080","0.0113","Pimelobacter simplex"
"psim","KR76_00895","K01965","PCCA, pccA","propionyl-CoA carboxylase alpha chain","0.0039","0.0942","Pimelobacter simplex"
"psim","KR76_00905","K01897","ACSL, fadD","long-chain acyl-CoA synthetase","0.0000 ","0.0000 ","Pimelobacter simplex"
"psim","KR76_00910","K00101","lldD","L-lactate dehydrogenase (cytochrome)","0.0017","0.0122","Pimelobacter simplex"
"psim","KR76_00920","K02033","ABC.PE.P","peptide/nickel transport system permease protein","0.0016","0.0026","Pimelobacter simplex"
"psim","KR76_00930","K02031","ABC.PE.A","peptide/nickel transport system ATP-binding protein","0.0000 ","0.0004","Pimelobacter simplex"
"psim","KR76_00940","K02035","ABC.PE.S","peptide/nickel transport system substrate-binding protein","0.0016","0.0015","Pimelobacter simplex"
"psim","KR76_00950","K00058","serA, PHGDH","D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase","0.1073","0.1203","Pimelobacter simplex"
"psim","KR76_01020","K00817","hisC","histidinol-phosphate aminotransferase","0.1003","0.1197","Pimelobacter simplex"
"psim","KR76_01030","K00104","glcD","glycolate oxidase","0.0085","0.0055","Pimelobacter simplex"
"psim","KR76_01035","K22553","N/A","","N/A","N/A","Pimelobacter simplex"
"psim","KR76_01040","K01745","hutH, HAL","histidine ammonia-lyase","0.0137","0.0186","Pimelobacter simplex"
"psim","KR76_01140","K05898","kstD","3-oxosteroid 1-dehydrogenase","0.0071","0.0568","Pimelobacter simplex"
"psim","KR76_01185","K00496","alkB1_2, alkM","alkane 1-monooxygenase","0.0000 ","0.0203","Pimelobacter simplex"
"psim","KR76_01200","K03333","choD","cholesterol oxidase","0.0000 ","0.0205","Pimelobacter simplex"
"psim","KR76_01205","K02066","mlaE, linK","phospholipid/cholesterol/gamma-HCH transport system permease protein","0.0012","0.0117","Pimelobacter simplex"
"psim","KR76_01210","K02066","mlaE, linK","phospholipid/cholesterol/gamma-HCH transport system permease protein","0.0012","0.0117","Pimelobacter simplex"
"psim","KR76_01220","K02067","mlaD, linM","phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein","0.0000 ","0.0053","Pimelobacter simplex"
"psim","KR76_01225","K02067","mlaD, linM","phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein","0.0000 ","0.0053","Pimelobacter simplex"
"psim","KR76_01285","K01628","fucA","L-fuculose-phosphate aldolase","0.0000 ","0.0002","Pimelobacter simplex"
"psim","KR76_01295","K00274","MAO, aofH","monoamine oxidase","0.0000 ","0.0000 ","Pimelobacter simplex"
"psim","KR76_01360","K13063","phzE","2-amino-4-deoxychorismate synthase","0.0000 ","0.0103","Pimelobacter simplex"
"psim","KR76_01370","K01658","trpG","anthranilate synthase component II","0.0482","0.0712","Pimelobacter simplex"
"psim","KR76_01375","K13950","pabAB","para-aminobenzoate synthetase","0.0000 ","0.1626","Pimelobacter simplex"
"psim","KR76_01390","K07653","mprB","two-component system, OmpR family, sensor histidine kinase MprB","0.0000 ","0.0013","Pimelobacter simplex"
"psim","KR76_01395","K07669","mprA","two-component system, OmpR family, response regulator MprA","0.0000 ","0.0028","Pimelobacter simplex"
"psim","KR76_01430","K01895","ACSS, acs","acetyl-CoA synthetase","0.0111","0.0269","Pimelobacter simplex"
"psim","KR76_01465","K03897","iucD","lysine N6-hydroxylase","0.0000 ","5.82E-","Pimelobacter simplex"
"psim","KR76_01475","K01434","E3.5.1.11","penicillin amidase","0.0000 ","0.0012","Pimelobacter simplex"
"psim","KR76_01485","K02575","NRT, narK, nrtP, nasA","MFS transporter, NNP family, nitrate/nitrite transporter","0.0000 ","0.0033","Pimelobacter simplex"
"psim","KR76_01490","K00262","E1.4.1.4, gdhA","glutamate dehydrogenase (NADP+)","0.2743","0.2224","Pimelobacter simplex"
"psim","KR76_01495","K00372","nasA","assimilatory nitrate reductase catalytic subunit","0.0000 ","0.0035","Pimelobacter simplex"
"psim","KR76_01530","K01719","hemD, UROS","uroporphyrinogen-III synthase","0.3727","0.2247","Pimelobacter simplex"
"psim","KR76_01655","K15987","hppA","K(+)-stimulated pyrophosphate-energized sodium pump","0.0000 ","0.0160","Pimelobacter simplex"
"psim","KR76_01685","K00943","tmk, DTYMK","dTMP kinase","0.7026","0.4891","Pimelobacter simplex"
"psim","KR76_01690","K02341","DPO3D2, holB","DNA polymerase III subunit delta","0.9384","0.9971","Pimelobacter simplex"
"psim","KR76_01700","K14234","tRNA-Thr","tRNA Thr","0.0060","0.2024","Pimelobacter simplex"
"psim","KR76_01815","K00558","DNMT1, dcm","DNA (cytosine-5)-methyltransferase 1","0.1370","0.1102","Pimelobacter simplex"
"psim","KR76_02070","K19267","qorB","NAD(P)H dehydrogenase (quinone)","0.0000 ","0.0464","Pimelobacter simplex"
"psim","KR76_02100","K00059","fabG","3-oxoacyl-[acyl-carrier protein] reductase","0.7026","0.4376","Pimelobacter simplex"
"psim","KR76_02135","K00249","ACADM, acd","acyl-CoA dehydrogenase","0.0080","0.0113","Pimelobacter simplex"
"psim","KR76_02150","K13953","adhP","alcohol dehydrogenase, propanol-preferring","0.0180","0.0178","Pimelobacter simplex"
"psim","KR76_02180","K02012","afuA, fbpA","iron(III) transport system substrate-binding protein","0.0080","0.0073","Pimelobacter simplex"
"psim","KR76_02185","K02011","afuB, fbpB","iron(III) transport system permease protein","0.0098","0.0095","Pimelobacter simplex"
"psim","KR76_02190","K02010","afuC, fbpC","iron(III) transport system ATP-binding protein","0.0026","0.0068","Pimelobacter simplex"
"psim","KR76_02215","K13953","adhP","alcohol dehydrogenase, propanol-preferring","0.0180","0.0178","Pimelobacter simplex"
"psim","KR76_02240","K01799","nicE, maiA","maleate isomerase","0.0000 ","0.0000 ","Pimelobacter simplex"
"psim","KR76_02285","K05713","mhpB","2,3-dihydroxyphenylpropionate 1,2-dioxygenase","0.0000 ","0.0204","Pimelobacter simplex"
"psim","KR76_02395","K01958","PC, pyc","pyruvate carboxylase","0.1045","0.0458","Pimelobacter simplex"
"psim","KR76_02480","K04567","KARS, lysS","lysyl-tRNA synthetase, class II","0.4899","0.4350","Pimelobacter simplex"
"psim","KR76_02600","K00060","tdh","threonine 3-dehydrogenase","0.0000 ","0.0004","Pimelobacter simplex"
"psim","KR76_02610","K01692","paaF, echA","enoyl-CoA hydratase","0.0091","0.0090","Pimelobacter simplex"
