"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"por","APT59_00040","K00820","glmS, GFPT","glucosamine--fructose-6-phosphate aminotransferase (isomerizing)","0.6712","0.7161","Pseudomonas oryzihabitans"
"por","APT59_00050","K04042","glmU","bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase","0.5073","0.2081","Pseudomonas oryzihabitans"
"por","APT59_00055","K02114","ATPF1E, atpC","F-type H+-transporting ATPase subunit epsilon","0.0665","0.2761","Pseudomonas oryzihabitans"
"por","APT59_00060","K02112","ATPF1B, atpD","F-type H+-transporting ATPase subunit beta","0.4028","0.4508","Pseudomonas oryzihabitans"
"por","APT59_00065","K02115","ATPF1G, atpG","F-type H+-transporting ATPase subunit gamma","0.3262","0.4160","Pseudomonas oryzihabitans"
"por","APT59_00070","K02111","ATPF1A, atpA","F-type H+-transporting ATPase subunit alpha","0.3635","0.4331","Pseudomonas oryzihabitans"
"por","APT59_00075","K02113","ATPF1D, atpH","F-type H+-transporting ATPase subunit delta","0.2338","0.3650","Pseudomonas oryzihabitans"
"por","APT59_00080","K02109","ATPF0B, atpF","F-type H+-transporting ATPase subunit b","0.2660","0.3800","Pseudomonas oryzihabitans"
"por","APT59_00085","K02110","ATPF0C, atpE","F-type H+-transporting ATPase subunit c","0.2416","0.2823","Pseudomonas oryzihabitans"
"por","APT59_00090","K02108","ATPF0A, atpB","F-type H+-transporting ATPase subunit a","0.3003","0.3956","Pseudomonas oryzihabitans"
"por","APT59_00125","K03217","yidC, spoIIIJ, OXA1, ccfA","YidC/Oxa1 family membrane protein insertase","0.5327","0.5418","Pseudomonas oryzihabitans"
"por","APT59_00135","K02914","RP-L34, MRPL34, rpmH","large subunit ribosomal protein L34","0.3752","0.5158","Pseudomonas oryzihabitans"
"por","APT59_00140","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Pseudomonas oryzihabitans"
"por","APT59_00145","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Pseudomonas oryzihabitans"
"por","APT59_00150","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Pseudomonas oryzihabitans"
"por","APT59_00160","K00655","plsC","1-acyl-sn-glycerol-3-phosphate acyltransferase","0.7119","0.5099","Pseudomonas oryzihabitans"
"por","APT59_00165","K03273","gmhB","D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase","0.0875","0.0999","Pseudomonas oryzihabitans"
"por","APT59_00170","K01879","glyS","glycyl-tRNA synthetase beta chain","0.6310","0.4651","Pseudomonas oryzihabitans"
"por","APT59_00175","K01878","glyQ","glycyl-tRNA synthetase alpha chain","0.4306","0.3913","Pseudomonas oryzihabitans"
"por","APT59_00180","K01246","tag","DNA-3-methyladenine glycosylase I","0.0012","0.0100","Pseudomonas oryzihabitans"
"por","APT59_00185","K02517","lpxL, htrB","Kdo2-lipid IVA lauroyltransferase","0.1623","0.0916","Pseudomonas oryzihabitans"
"por","APT59_00205","K00604","MTFMT, fmt","methionyl-tRNA formyltransferase","0.5166","0.6569","Pseudomonas oryzihabitans"
