"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"sur","STAUR_0001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Stigmatella aurantiaca"
"sur","STAUR_0018","K05275","E1.1.1.65","pyridoxine 4-dehydrogenase","0.2464","0.0582","Stigmatella aurantiaca"
"sur","STAUR_0056","K00615","E2.2.1.1, tktA, tktB","transketolase","0.4726","0.6145","Stigmatella aurantiaca"
"sur","STAUR_0057","K00615","E2.2.1.1, tktA, tktB","transketolase","0.4726","0.6145","Stigmatella aurantiaca"
"sur","STAUR_0064","K00868","pdxK, pdxY","pyridoxine kinase","0.0579","0.0824","Stigmatella aurantiaca"
"sur","STAUR_0068","K01920","gshB","glutathione synthase","0.0144","0.0293","Stigmatella aurantiaca"
"sur","STAUR_0075","K05712","mhpA","3-(3-hydroxy-phenyl)propionate hydroxylase","0.0000 ","0.0311","Stigmatella aurantiaca"
"sur","STAUR_0096","K05349","bglX","beta-glucosidase","0.0024","0.0063","Stigmatella aurantiaca"
"sur","STAUR_0097","K02010","afuC, fbpC","iron(III) transport system ATP-binding protein","0.0026","0.0068","Stigmatella aurantiaca"
"sur","STAUR_0098","K02011","afuB, fbpB","iron(III) transport system permease protein","0.0098","0.0095","Stigmatella aurantiaca"
"sur","STAUR_0099","K02012","afuA, fbpA","iron(III) transport system substrate-binding protein","0.0080","0.0073","Stigmatella aurantiaca"
"sur","STAUR_0116","K01126","E3.1.4.46, glpQ, ugpQ","glycerophosphoryl diester phosphodiesterase","0.0000 ","0.0333","Stigmatella aurantiaca"
"sur","STAUR_0135","K00140","mmsA, iolA, ALDH6A1","malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase","0.0000 ","0.0040","Stigmatella aurantiaca"
"sur","STAUR_0138","K00761","upp, UPRT","uracil phosphoribosyltransferase","0.0177","0.1551","Stigmatella aurantiaca"
"sur","STAUR_0166","K01079","serB, PSPH","phosphoserine phosphatase","0.0631","0.1324","Stigmatella aurantiaca"
"sur","STAUR_0186","K10441","rbsA","ribose transport system ATP-binding protein","0.0000 ","0.0057","Stigmatella aurantiaca"
"sur","STAUR_0187","K10440","rbsC","ribose transport system permease protein","0.0000 ","0.0053","Stigmatella aurantiaca"
"sur","STAUR_0188","K10439","rbsB","ribose transport system substrate-binding protein","0.0020","0.0020","Stigmatella aurantiaca"
"sur","STAUR_0217","K01546","kdpA","K+-transporting ATPase ATPase A chain","0.0000 ","0.0007","Stigmatella aurantiaca"
"sur","STAUR_0218","K01547","kdpB","K+-transporting ATPase ATPase B chain","0.0000 ","0.0007","Stigmatella aurantiaca"
"sur","STAUR_0219","K01548","kdpC","K+-transporting ATPase ATPase C chain","0.0000 ","0.0007","Stigmatella aurantiaca"
"sur","STAUR_0220","K07646","kdpD","two-component system, OmpR family, sensor histidine kinase KdpD","0.0000 ","0.0007","Stigmatella aurantiaca"
"sur","STAUR_0222","K11384","algB","two-component system, NtrC family, response regulator AlgB","0.0000 ","0.0011","Stigmatella aurantiaca"
"sur","STAUR_0235","K00558","DNMT1, dcm","DNA (cytosine-5)-methyltransferase 1","0.1370","0.1102","Stigmatella aurantiaca"
"sur","STAUR_0237","K01938","fhs","formate--tetrahydrofolate ligase","0.3722","0.4160","Stigmatella aurantiaca"
"sur","STAUR_0262","K03332","fruA","fructan beta-fructosidase","0.0000 ","0.0009","Stigmatella aurantiaca"
"sur","STAUR_0276","K00059","fabG","3-oxoacyl-[acyl-carrier protein] reductase","0.7026","0.4376","Stigmatella aurantiaca"
"sur","STAUR_0277","K17836","penP","beta-lactamase class A","0.0000 ","0.0000 ","Stigmatella aurantiaca"
"sur","STAUR_0279","K00648","fabH","3-oxoacyl-[acyl-carrier-protein] synthase III","0.7190","0.3716","Stigmatella aurantiaca"
