"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"ala","BFG52_00005","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Acinetobacter larvae"
"ala","BFG52_00010","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Acinetobacter larvae"
"ala","BFG52_00015","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Acinetobacter larvae"
"ala","BFG52_00065","K01426","E3.5.1.4, amiE","amidase","0.0000 ","0.0465","Acinetobacter larvae"
"ala","BFG52_00075","K00641","metX","homoserine O-acetyltransferase","0.0342","0.0381","Acinetobacter larvae"
"ala","BFG52_00085","K01866","YARS, tyrS","tyrosyl-tRNA synthetase","0.6601","0.5571","Acinetobacter larvae"
"ala","BFG52_00095","K01977","16SrRNA, rrs","16S ribosomal RNA","0.0000 ","0.3104","Acinetobacter larvae"
"ala","BFG52_00100","K14227","tRNA-Ile","tRNA Ile","0.0000 ","0.2024","Acinetobacter larvae"
"ala","BFG52_00105","K14218","tRNA-Ala","tRNA Ala","0.0060","0.2024","Acinetobacter larvae"
"ala","BFG52_00110","K01980","23SrRNA, rrl","23S ribosomal RNA","0.0000 ","0.3104","Acinetobacter larvae"
"ala","BFG52_00115","K01985","5SrRNA, rrf","5S ribosomal RNA","0.0060","0.3104","Acinetobacter larvae"
"ala","BFG52_00140","K00558","DNMT1, dcm","DNA (cytosine-5)-methyltransferase 1","0.1370","0.1102","Acinetobacter larvae"
"ala","BFG52_00170","K00604","MTFMT, fmt","methionyl-tRNA formyltransferase","0.5166","0.6569","Acinetobacter larvae"
"ala","BFG52_00175","K01687","ilvD","dihydroxy-acid dehydratase","0.0429","0.0806","Acinetobacter larvae"
"ala","BFG52_00190","K04782","pchB","isochorismate pyruvate lyase","0.0000 ","0.0191","Acinetobacter larvae"
"ala","BFG52_00220","K01595","ppc","phosphoenolpyruvate carboxylase","0.0895","0.1205","Acinetobacter larvae"
"ala","BFG52_00235","K00215","dapB","4-hydroxy-tetrahydrodipicolinate reductase","0.5376","0.5651","Acinetobacter larvae"
"ala","BFG52_00250","K01246","tag","DNA-3-methyladenine glycosylase I","0.0012","0.0100","Acinetobacter larvae"
"ala","BFG52_00265","K03575","mutY","A/G-specific adenine glycosylase","0.0000 ","0.0035","Acinetobacter larvae"
"ala","BFG52_00310","K04043","dnaK","molecular chaperone DnaK","0.3525","0.3257","Acinetobacter larvae"
"ala","BFG52_00330","K03767","PPIA","peptidyl-prolyl cis-trans isomerase A (cyclophilin A)","0.0000 ","0.0178","Acinetobacter larvae"
"ala","BFG52_00335","K01977","16SrRNA, rrs","16S ribosomal RNA","0.0000 ","0.3104","Acinetobacter larvae"
"ala","BFG52_00340","K14227","tRNA-Ile","tRNA Ile","0.0000 ","0.2024","Acinetobacter larvae"
"ala","BFG52_00345","K14218","tRNA-Ala","tRNA Ala","0.0060","0.2024","Acinetobacter larvae"
"ala","BFG52_00350","K01980","23SrRNA, rrl","23S ribosomal RNA","0.0000 ","0.3104","Acinetobacter larvae"
