"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"zpr","ZPR_0009","K03778","ldhA","D-lactate dehydrogenase","0.0016","0.0134","Zunongwangia profunda"
"zpr","ZPR_0013","K01808","rpiB","ribose 5-phosphate isomerase B","0.5995","0.5491","Zunongwangia profunda"
"zpr","ZPR_0016","K12573","rnr, vacB","ribonuclease R","0.0090","0.0479","Zunongwangia profunda"
"zpr","ZPR_0019","K14222","tRNA-Cys","tRNA Cys","0.0000 ","0.2024","Zunongwangia profunda"
"zpr","ZPR_0020","K01633","folB","dihydroneopterin aldolase / 7,8-dihydroneopterin epimerase","0.4583","0.2731","Zunongwangia profunda"
"zpr","ZPR_0023","K01886","QARS, glnS","glutaminyl-tRNA synthetase","0.4571","0.4463","Zunongwangia profunda"
"zpr","ZPR_0027","K01885","EARS, gltX","glutamyl-tRNA synthetase","0.6626","0.5645","Zunongwangia profunda"
"zpr","ZPR_0035","K02341","DPO3D2, holB","DNA polymerase III subunit delta","0.9384","0.9971","Zunongwangia profunda"
"zpr","ZPR_0036","K00927","PGK, pgk","phosphoglycerate kinase","0.3906","0.5214","Zunongwangia profunda"
"zpr","ZPR_0039","K03116","tatA","sec-independent protein translocase protein TatA","0.0206","0.0739","Zunongwangia profunda"
"zpr","ZPR_0043","K01710","E4.2.1.46, rfbB, rffG","dTDP-glucose 4,6-dehydratase","0.0322","0.0736","Zunongwangia profunda"
"zpr","ZPR_0045","K01912","paaK","phenylacetate-CoA ligase","0.0000 ","0.0000 ","Zunongwangia profunda"
"zpr","ZPR_0046","K01945","purD","phosphoribosylamine--glycine ligase","0.0268","0.0743","Zunongwangia profunda"
"zpr","ZPR_0051","K02613","paaE","ring-1,2-phenylacetyl-CoA epoxidase subunit PaaE","0.0000 ","0.0083","Zunongwangia profunda"
"zpr","ZPR_0061","K02108","ATPF0A, atpB","F-type H+-transporting ATPase subunit a","0.3003","0.3956","Zunongwangia profunda"
"zpr","ZPR_0062","K02110","ATPF0C, atpE","F-type H+-transporting ATPase subunit c","0.2416","0.2823","Zunongwangia profunda"
"zpr","ZPR_0063","K02109","ATPF0B, atpF","F-type H+-transporting ATPase subunit b","0.2660","0.3800","Zunongwangia profunda"
"zpr","ZPR_0064","K02113","ATPF1D, atpH","F-type H+-transporting ATPase subunit delta","0.2338","0.3650","Zunongwangia profunda"
"zpr","ZPR_0065","K02111","ATPF1A, atpA","F-type H+-transporting ATPase subunit alpha","0.3635","0.4331","Zunongwangia profunda"
"zpr","ZPR_0066","K02115","ATPF1G, atpG","F-type H+-transporting ATPase subunit gamma","0.3262","0.4160","Zunongwangia profunda"
"zpr","ZPR_0069","K01520","dut, DUT","dUTP pyrophosphatase","0.3727","0.3207","Zunongwangia profunda"
"zpr","ZPR_0070","K00973","E2.7.7.24, rfbA, rffH","glucose-1-phosphate thymidylyltransferase","0.0335","0.0709","Zunongwangia profunda"
"zpr","ZPR_0079","K01867","WARS, trpS","tryptophanyl-tRNA synthetase","0.5166","0.4923","Zunongwangia profunda"
"zpr","ZPR_0080","K00655","plsC","1-acyl-sn-glycerol-3-phosphate acyltransferase","0.7119","0.5099","Zunongwangia profunda"
"zpr","ZPR_0086","K03553","recA","recombination protein RecA","0.0156","0.0636","Zunongwangia profunda"
"zpr","ZPR_0092","K05366","mrcA","penicillin-binding protein 1A","0.0544","0.0518","Zunongwangia profunda"
"zpr","ZPR_0093","K01028","E2.8.3.5A, scoA","3-oxoacid CoA-transferase subunit A","0.0000 ","0.0009","Zunongwangia profunda"
"zpr","ZPR_0095","K01029","E2.8.3.5B, scoB","3-oxoacid CoA-transferase subunit B","0.0000 ","0.0006","Zunongwangia profunda"
"zpr","ZPR_0105","K01698","hemB, ALAD","porphobilinogen synthase","0.3579","0.2014","Zunongwangia profunda"
"zpr","ZPR_0107","K00228","CPOX, hemF","coproporphyrinogen III oxidase","0.3618","0.1531","Zunongwangia profunda"
"zpr","ZPR_0110","K01599","hemE, UROD","uroporphyrinogen decarboxylase","0.4306","0.2372","Zunongwangia profunda"
"zpr","ZPR_0111","K01719","hemD, UROS","uroporphyrinogen-III synthase","0.3727","0.2247","Zunongwangia profunda"
"zpr","ZPR_0112","K01749","hemC, HMBS","hydroxymethylbilane synthase","0.4471","0.2333","Zunongwangia profunda"
"zpr","ZPR_0113","K02492","hemA","glutamyl-tRNA reductase","0.2206","0.1199","Zunongwangia profunda"
"zpr","ZPR_0116","K01772","hemH, FECH","protoporphyrin/coproporphyrin ferrochelatase","0.4153","0.2412","Zunongwangia profunda"
"zpr","ZPR_0120","K01715","crt","enoyl-CoA hydratase","0.0241","0.0208","Zunongwangia profunda"
"zpr","ZPR_0123","K10563","mutM, fpg","formamidopyrimidine-DNA glycosylase","0.0011","0.0071","Zunongwangia profunda"
"zpr","ZPR_0126","K00655","plsC","1-acyl-sn-glycerol-3-phosphate acyltransferase","0.7119","0.5099","Zunongwangia profunda"
"zpr","ZPR_0132","K03269","lpxH","UDP-2,3-diacylglucosamine hydrolase","0.3317","0.1700","Zunongwangia profunda"
"zpr","ZPR_0135","K01737","queD, ptpS, PTS","6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase","0.0013","0.1482","Zunongwangia profunda"
"zpr","ZPR_0136","K03154","thiS","sulfur carrier protein","0.0551","0.0894","Zunongwangia profunda"
"zpr","ZPR_0137","K03147","thiC","phosphomethylpyrimidine synthase","0.0335","0.1146","Zunongwangia profunda"
"zpr","ZPR_0138","K00788","thiE","thiamine-phosphate pyrophosphorylase","0.1443","0.1297","Zunongwangia profunda"
"zpr","ZPR_0139","K00788","thiE","thiamine-phosphate pyrophosphorylase","0.1443","0.1297","Zunongwangia profunda"
"zpr","ZPR_0140","K03149","thiG","thiazole synthase","0.1086","0.1495","Zunongwangia profunda"
"zpr","ZPR_0141","K03150","thiH","2-iminoacetate synthase","0.0000 ","0.0811","Zunongwangia profunda"
"zpr","ZPR_0143","K00847","E2.7.1.4, scrK","fructokinase","0.0013","0.0090","Zunongwangia profunda"
"zpr","ZPR_0145","K03332","fruA","fructan beta-fructosidase","0.0000 ","0.0009","Zunongwangia profunda"
"zpr","ZPR_0152","K14220","tRNA-Asn","tRNA Asn","0.0000 ","0.2024","Zunongwangia profunda"
"zpr","ZPR_0153","K14220","tRNA-Asn","tRNA Asn","0.0000 ","0.2024","Zunongwangia profunda"
"zpr","ZPR_0156","K00763","pncB, NAPRT1","nicotinate phosphoribosyltransferase","0.0685","0.2006","Zunongwangia profunda"
"zpr","ZPR_0157","K08281","pncA","nicotinamidase/pyrazinamidase","0.0000 ","0.1532","Zunongwangia profunda"
"zpr","ZPR_0160","K00262","E1.4.1.4, gdhA","glutamate dehydrogenase (NADP+)","0.2743","0.2224","Zunongwangia profunda"
"zpr","ZPR_0161","K03584","recO","DNA repair protein RecO (recombination protein O)","0.0010","0.0357","Zunongwangia profunda"
"zpr","ZPR_0175","K01870","IARS, ileS","isoleucyl-tRNA synthetase","0.7341","0.5753","Zunongwangia profunda"
"zpr","ZPR_0178","K03101","lspA","signal peptidase II","0.2338","0.2223","Zunongwangia profunda"
"zpr","ZPR_0180","K01934","MTHFS","5-formyltetrahydrofolate cyclo-ligase","0.0190","0.1716","Zunongwangia profunda"
"zpr","ZPR_0184","K03703","uvrC","excinuclease ABC subunit C","0.0009","0.0153","Zunongwangia profunda"
"zpr","ZPR_0189","K00451","HGD, hmgA","homogentisate 1,2-dioxygenase","0.0000 ","0.0000 ","Zunongwangia profunda"
"zpr","ZPR_0190","K00457","HPD, hppD","4-hydroxyphenylpyruvate dioxygenase","0.0000 ","0.0000 ","Zunongwangia profunda"
"zpr","ZPR_0192","K00453","TDO2, kynA","tryptophan 2,3-dioxygenase","0.0000 ","0.0000 ","Zunongwangia profunda"
"zpr","ZPR_0194","K01810","GPI, pgi","glucose-6-phosphate isomerase","0.3262","0.3873","Zunongwangia profunda"
"zpr","ZPR_0211","K11717","sufS","cysteine desulfurase / selenocysteine lyase","0.2588","0.0692","Zunongwangia profunda"
"zpr","ZPR_0218","K00946","thiL","thiamine-monophosphate kinase","0.4471","0.2865","Zunongwangia profunda"
