"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"sdf","ACG33_00165","K06001","trpB","tryptophan synthase beta chain","0.1561","0.0712","Steroidobacter denitrificans"
"sdf","ACG33_00190","K01082","cysQ, MET22, BPNT1","3(2), 5-bisphosphate nucleotidase","0.0824","0.0688","Steroidobacter denitrificans"
"sdf","ACG33_00195","K00955","cysNC","bifunctional enzyme CysN/CysC","0.1465","0.0676","Steroidobacter denitrificans"
"sdf","ACG33_00200","K00957","cysD","sulfate adenylyltransferase subunit 2","0.0245","0.0473","Steroidobacter denitrificans"
"sdf","ACG33_00240","K05898","kstD","3-oxosteroid 1-dehydrogenase","0.0071","0.0568","Steroidobacter denitrificans"
"sdf","ACG33_00245","K11779","fbiC","FO synthase","0.0000 ","9.16E-","Steroidobacter denitrificans"
"sdf","ACG33_00275","K00266","gltD","glutamate synthase (NADPH/NADH) small chain","0.2338","0.2051","Steroidobacter denitrificans"
"sdf","ACG33_00310","K01039","gctA","glutaconate CoA-transferase, subunit A","0.0000 ","0.0203","Steroidobacter denitrificans"
"sdf","ACG33_00315","K01040","gctB","glutaconate CoA-transferase, subunit B","0.0000 ","0.0203","Steroidobacter denitrificans"
"sdf","ACG33_00335","K01692","paaF, echA","enoyl-CoA hydratase","0.0091","0.0090","Steroidobacter denitrificans"
"sdf","ACG33_00350","K00626","E2.3.1.9, atoB","acetyl-CoA C-acetyltransferase","0.0206","0.0393","Steroidobacter denitrificans"
"sdf","ACG33_00370","K00059","fabG","3-oxoacyl-[acyl-carrier protein] reductase","0.7026","0.4376","Steroidobacter denitrificans"
"sdf","ACG33_00440","K01661","menB","naphthoate synthase","0.0572","0.0673","Steroidobacter denitrificans"
"sdf","ACG33_00460","K01847","MUT","methylmalonyl-CoA mutase","0.0029","0.1311","Steroidobacter denitrificans"
"sdf","ACG33_00470","K01759","GLO1, gloA","lactoylglutathione lyase","0.0000 ","0.0104","Steroidobacter denitrificans"
"sdf","ACG33_00495","K10680","nemA","N-ethylmaleimide reductase","0.0000 ","0.0000 ","Steroidobacter denitrificans"
"sdf","ACG33_00510","K00014","aroE","shikimate dehydrogenase","0.1039","0.1242","Steroidobacter denitrificans"
