"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"bmab","BM45_1","K00265","gltB","glutamate synthase (NADPH/NADH) large chain","0.2338","0.2722","Burkholderia mallei 2002734299"
"bmab","BM45_10","K02065","mlaF, linL, mkl","phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein","0.0012","0.0117","Burkholderia mallei 2002734299"
"bmab","BM45_1006","K00720","UGCG","ceramide glucosyltransferase","0.0000 ","0.0004","Burkholderia mallei 2002734299"
"bmab","BM45_1009","K00868","pdxK, pdxY","pyridoxine kinase","0.0579","0.0824","Burkholderia mallei 2002734299"
"bmab","BM45_1010","K01114","plc","phospholipase C","0.0000 ","0.0000 ","Burkholderia mallei 2002734299"
"bmab","BM45_1014","K10015","hisM","histidine transport system permease protein","0.0031","0.0058","Burkholderia mallei 2002734299"
"bmab","BM45_1015","K10017","hisP","histidine transport system ATP-binding protein","0.0000 ","0.0053","Burkholderia mallei 2002734299"
"bmab","BM45_1017","K00840","astC","succinylornithine aminotransferase","0.0000 ","0.0191","Burkholderia mallei 2002734299"
"bmab","BM45_1018","K00673","astA","arginine N-succinyltransferase","0.0021","0.0073","Burkholderia mallei 2002734299"
"bmab","BM45_1019","K00673","astA","arginine N-succinyltransferase","0.0021","0.0073","Burkholderia mallei 2002734299"
"bmab","BM45_1020","K06447","astD","succinylglutamic semialdehyde dehydrogenase","0.0000 ","0.0078","Burkholderia mallei 2002734299"
"bmab","BM45_1021","K01484","astB","succinylarginine dihydrolase","0.0021","0.0073","Burkholderia mallei 2002734299"
"bmab","BM45_1022","K05526","astE","succinylglutamate desuccinylase","0.0000 ","0.0037","Burkholderia mallei 2002734299"
"bmab","BM45_1023","K00799","GST, gst","glutathione S-transferase","0.0402","0.0384","Burkholderia mallei 2002734299"
"bmab","BM45_1024","K10013","ABC.ARG.S, argT","lysine/arginine/ornithine transport system substrate-binding protein","0.0000 ","0.0060","Burkholderia mallei 2002734299"
"bmab","BM45_1025","K10255","FAD6, desA","acyl-lipid omega-6 desaturase (Delta-12 desaturase)","0.0000 ","0.0012","Burkholderia mallei 2002734299"
"bmab","BM45_1026","K02300","cyoD","cytochrome o ubiquinol oxidase subunit IV","0.0091","0.0184","Burkholderia mallei 2002734299"
"bmab","BM45_1027","K02299","cyoC","cytochrome o ubiquinol oxidase subunit III","0.0022","0.0169","Burkholderia mallei 2002734299"
"bmab","BM45_1029","K02298","cyoB","cytochrome o ubiquinol oxidase subunit I","0.0000 ","0.0160","Burkholderia mallei 2002734299"
"bmab","BM45_1030","K02297","cyoA","cytochrome o ubiquinol oxidase subunit II","0.0022","0.0171","Burkholderia mallei 2002734299"
"bmab","BM45_1036","K11717","sufS","cysteine desulfurase / selenocysteine lyase","0.2588","0.0692","Burkholderia mallei 2002734299"
"bmab","BM45_104","K02462","gspM","general secretion pathway protein M","0.0000 ","0.0005","Burkholderia mallei 2002734299"
"bmab","BM45_1045","K00459","ncd2, npd","nitronate monooxygenase","0.0017","0.1220","Burkholderia mallei 2002734299"
"bmab","BM45_105","K02461","gspL","general secretion pathway protein L","0.0024","0.0036","Burkholderia mallei 2002734299"
"bmab","BM45_1052","K21636","nrdD","ribonucleoside-triphosphate reductase (formate)","0.3500","0.1132","Burkholderia mallei 2002734299"
"bmab","BM45_1056","K04561","norB","nitric oxide reductase subunit B","0.0039","0.0051","Burkholderia mallei 2002734299"
"bmab","BM45_1057","K00496","alkB1_2, alkM","alkane 1-monooxygenase","0.0000 ","0.0203","Burkholderia mallei 2002734299"
"bmab","BM45_1059","K00860","cysC","adenylylsulfate kinase","0.0750","0.0945","Burkholderia mallei 2002734299"
"bmab","BM45_106","K02460","gspK","general secretion pathway protein K","0.0000 ","0.0005","Burkholderia mallei 2002734299"
"bmab","BM45_1060","K07782","sdiA","LuxR family transcriptional regulator, quorum-sensing system regulator SdiA","0.0029","0.0005","Burkholderia mallei 2002734299"
"bmab","BM45_1062","K06133","LYS5, acpT","4-phosphopantetheinyl transferase","0.0206","0.1975","Burkholderia mallei 2002734299"
"bmab","BM45_1063","K01745","hutH, HAL","histidine ammonia-lyase","0.0137","0.0186","Burkholderia mallei 2002734299"
"bmab","BM45_1065","K01712","hutU, UROC1","urocanate hydratase","0.0016","0.0067","Burkholderia mallei 2002734299"
"bmab","BM45_1067","K01468","hutI, AMDHD1","imidazolonepropionase","0.0000 ","0.0021","Burkholderia mallei 2002734299"
"bmab","BM45_1068","K05603","hutF","formimidoylglutamate deiminase","0.0000 ","0.0224","Burkholderia mallei 2002734299"
"bmab","BM45_107","K02459","gspJ","general secretion pathway protein J","0.0000 ","0.0007","Burkholderia mallei 2002734299"
"bmab","BM45_1071","K01915","glnA, GLUL","glutamine synthetase","0.4736","0.4162","Burkholderia mallei 2002734299"
"bmab","BM45_1072","K12256","spuC","putrescine---pyruvate transaminase","0.0000 ","0.0103","Burkholderia mallei 2002734299"
"bmab","BM45_1075","K14228","tRNA-Leu","tRNA Leu","0.0060","0.2024","Burkholderia mallei 2002734299"
"bmab","BM45_1077","K00381","cysI","sulfite reductase (NADPH) hemoprotein beta-component","0.0245","0.0158","Burkholderia mallei 2002734299"
"bmab","BM45_1079","K00390","cysH","phosphoadenosine phosphosulfate reductase","0.0144","0.0272","Burkholderia mallei 2002734299"
"bmab","BM45_108","K02458","gspI","general secretion pathway protein I","0.0000 ","0.0007","Burkholderia mallei 2002734299"
"bmab","BM45_1080","K00957","cysD","sulfate adenylyltransferase subunit 2","0.0245","0.0473","Burkholderia mallei 2002734299"
"bmab","BM45_1081","K00956","cysN","sulfate adenylyltransferase subunit 1","0.0302","0.0468","Burkholderia mallei 2002734299"
"bmab","BM45_1082","K02303","cobA","uroporphyrin-III C-methyltransferase","0.0180","0.0406","Burkholderia mallei 2002734299"
"bmab","BM45_1084","K11720","lptG","lipopolysaccharide export system permease protein","0.4649","0.1818","Burkholderia mallei 2002734299"
"bmab","BM45_1085","K07091","lptF","lipopolysaccharide export system permease protein","0.3434","0.1818","Burkholderia mallei 2002734299"
"bmab","BM45_1086","K01255","CARP, pepA","leucyl aminopeptidase","0.0277","0.0512","Burkholderia mallei 2002734299"
"bmab","BM45_1087","K02339","DPO3C, holC","DNA polymerase III subunit chi","0.7895","0.9144","Burkholderia mallei 2002734299"
"bmab","BM45_1089","K08738","CYC","cytochrome c","0.0029","0.0053","Burkholderia mallei 2002734299"
"bmab","BM45_109","K02457","gspH","general secretion pathway protein H","0.0029","0.0007","Burkholderia mallei 2002734299"
"bmab","BM45_1091","K01687","ilvD","dihydroxy-acid dehydratase","0.0429","0.0806","Burkholderia mallei 2002734299"
"bmab","BM45_1099","K02015","ABC.FEV.P","iron complex transport system permease protein","0.0184","0.0354","Burkholderia mallei 2002734299"
"bmab","BM45_11","K02066","mlaE, linK","phospholipid/cholesterol/gamma-HCH transport system permease protein","0.0012","0.0117","Burkholderia mallei 2002734299"
"bmab","BM45_110","K02456","gspG","general secretion pathway protein G","0.0000 ","0.0007","Burkholderia mallei 2002734299"
"bmab","BM45_1100","K02013","ABC.FEV.A","iron complex transport system ATP-binding protein","0.0399","0.0544","Burkholderia mallei 2002734299"
"bmab","BM45_1101","K00768","E2.4.2.21, cobU, cobT","nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase","0.0000 ","0.0280","Burkholderia mallei 2002734299"
"bmab","BM45_1102","K02233","E2.7.8.26, cobS, cobV","adenosylcobinamide-GDP ribazoletransferase","0.0016","0.0326","Burkholderia mallei 2002734299"
"bmab","BM45_1103","K02226","cobC, phpB","alpha-ribazole phosphatase","0.0000 ","0.1004","Burkholderia mallei 2002734299"
"bmab","BM45_1105","K02016","ABC.FEV.S","iron complex transport system substrate-binding protein","0.0044","0.0127","Burkholderia mallei 2002734299"
"bmab","BM45_1106","K02225","cobC1, cobC","cobalamin biosynthetic protein CobC","0.0039","0.0483","Burkholderia mallei 2002734299"
"bmab","BM45_1107","K02227","cbiB, cobD","adenosylcobinamide-phosphate synthase","0.0018","0.0321","Burkholderia mallei 2002734299"
"bmab","BM45_1108","K02231","cobP, cobU","adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase","0.0016","0.0326","Burkholderia mallei 2002734299"
"bmab","BM45_1109","K02232","cobQ, cbiP","adenosylcobyric acid synthase","0.0016","0.0328","Burkholderia mallei 2002734299"
"bmab","BM45_111","K02452","gspC","general secretion pathway protein C","0.0000 ","0.0005","Burkholderia mallei 2002734299"
"bmab","BM45_1112","K01579","panD","aspartate 1-decarboxylase","0.1399","0.1934","Burkholderia mallei 2002734299"
"bmab","BM45_1113","K01918","panC","pantoate--beta-alanine ligase","0.2338","0.2517","Burkholderia mallei 2002734299"
"bmab","BM45_112","K02455","gspF","general secretion pathway protein F","0.0000 ","0.0009","Burkholderia mallei 2002734299"
"bmab","BM45_1120","K01874","MARS, metG","methionyl-tRNA synthetase","0.3906","0.3932","Burkholderia mallei 2002734299"
"bmab","BM45_1124","K01494","dcd","dCTP deaminase","0.3149","0.2584","Burkholderia mallei 2002734299"
"bmab","BM45_1125","K01584","adiA","arginine decarboxylase","0.0342","0.0146","Burkholderia mallei 2002734299"
"bmab","BM45_1128","K01755","argH, ASL","argininosuccinate lyase","0.1192","0.1646","Burkholderia mallei 2002734299"
"bmab","BM45_113","K02454","gspE","general secretion pathway protein E","0.0000 ","0.0010","Burkholderia mallei 2002734299"
"bmab","BM45_1136","K01595","ppc","phosphoenolpyruvate carboxylase","0.0895","0.1205","Burkholderia mallei 2002734299"
"bmab","BM45_1137","K01749","hemC, HMBS","hydroxymethylbilane synthase","0.4471","0.2333","Burkholderia mallei 2002734299"
"bmab","BM45_1138","K13543","hemDX","uroporphyrinogen III methyltransferase / synthase","0.4891","0.1783","Burkholderia mallei 2002734299"
"bmab","BM45_114","K02453","gspD","general secretion pathway protein D","0.0000 ","0.0005","Burkholderia mallei 2002734299"
"bmab","BM45_1141","K00059","fabG","3-oxoacyl-[acyl-carrier protein] reductase","0.7026","0.4376","Burkholderia mallei 2002734299"
"bmab","BM45_1142","K00128","ALDH","aldehyde dehydrogenase (NAD+)","0.0018","0.0086","Burkholderia mallei 2002734299"
"bmab","BM45_1143","K01507","ppa","inorganic pyrophosphatase","0.3722","0.1858","Burkholderia mallei 2002734299"
"bmab","BM45_1146","K01950","E6.3.5.1, NADSYN1, QNS1, nadE","NAD+ synthase (glutamine-hydrolysing)","0.7134","0.4521","Burkholderia mallei 2002734299"
"bmab","BM45_1147","K04751","glnB","nitrogen regulatory protein P-II 1","0.0152","0.0102","Burkholderia mallei 2002734299"
"bmab","BM45_1149","K10017","hisP","histidine transport system ATP-binding protein","0.0000 ","0.0053","Burkholderia mallei 2002734299"
"bmab","BM45_1150","K10015","hisM","histidine transport system permease protein","0.0031","0.0058","Burkholderia mallei 2002734299"
"bmab","BM45_1151","K10016","hisQ","histidine transport system permease protein","0.0000 ","0.0053","Burkholderia mallei 2002734299"
"bmab","BM45_1152","K10014","hisJ","histidine transport system substrate-binding protein","0.0000 ","0.0060","Burkholderia mallei 2002734299"
"bmab","BM45_1156","K07659","ompR","two-component system, OmpR family, phosphate regulon response regulator OmpR","0.0680","0.0028","Burkholderia mallei 2002734299"
"bmab","BM45_1157","K07638","envZ","two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ","0.0075","0.0013","Burkholderia mallei 2002734299"
"bmab","BM45_1163","K00697","otsA","trehalose 6-phosphate synthase","0.0022","0.0076","Burkholderia mallei 2002734299"
"bmab","BM45_1179","K14237","tRNA-Val","tRNA Val","0.0060","0.2024","Burkholderia mallei 2002734299"
"bmab","BM45_1181","K00249","ACADM, acd","acyl-CoA dehydrogenase","0.0080","0.0113","Burkholderia mallei 2002734299"
"bmab","BM45_1185","K14682","argAB","amino-acid N-acetyltransferase","0.0680","0.0630","Burkholderia mallei 2002734299"
"bmab","BM45_1192","K01915","glnA, GLUL","glutamine synthetase","0.4736","0.4162","Burkholderia mallei 2002734299"
"bmab","BM45_1193","K07708","glnL, ntrB","two-component system, NtrC family, nitrogen regulation sensor histidine kinase GlnL","0.0000 ","0.0007","Burkholderia mallei 2002734299"
