"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"bmay","A7X70_00030","K01867","WARS, trpS","tryptophanyl-tRNA synthetase","0.5166","0.4923","Borrelia mayonii"
"bmay","A7X70_00055","K00997","acpS","holo-[acyl-carrier protein] synthase","0.2267","0.2984","Borrelia mayonii"
"bmay","A7X70_00075","K04066","priA","primosomal protein N (replication factor Y) (superfamily II helicase)","0.1039","0.1241","Borrelia mayonii"
"bmay","A7X70_00080","K00876","udk, UCK","uridine kinase","0.0152","0.0293","Borrelia mayonii"
"bmay","A7X70_00105","K00895","pfp, PFP","diphosphate-dependent phosphofructokinase","0.5916","0.5034","Borrelia mayonii"
"bmay","A7X70_00115","K03551","ruvB","holliday junction DNA helicase RuvB","0.0625","0.1054","Borrelia mayonii"
"bmay","A7X70_00120","K03550","ruvA","holliday junction DNA helicase RuvA","0.0362","0.0821","Borrelia mayonii"
"bmay","A7X70_00135","K01491","folD","methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase","0.4306","0.4659","Borrelia mayonii"
"bmay","A7X70_00155","K03100","lepB, TPP","signal peptidase I","0.3262","0.4509","Borrelia mayonii"
"bmay","A7X70_00160","K03100","lepB, TPP","signal peptidase I","0.3262","0.4509","Borrelia mayonii"
"bmay","A7X70_00190","K00655","plsC","1-acyl-sn-glycerol-3-phosphate acyltransferase","0.7119","0.5099","Borrelia mayonii"
"bmay","A7X70_00205","K00575","cheR","chemotaxis protein methyltransferase CheR","0.0000 ","0.0032","Borrelia mayonii"
"bmay","A7X70_00230","K03470","rnhB","ribonuclease HII","0.0093","0.1015","Borrelia mayonii"
"bmay","A7X70_00265","K03648","UNG, UDG","uracil-DNA glycosylase","0.0184","0.0637","Borrelia mayonii"
"bmay","A7X70_00270","K03075","secG","preprotein translocase subunit SecG","0.0644","0.3115","Borrelia mayonii"
"bmay","A7X70_00275","K01803","TPI, tpiA","triosephosphate isomerase (TIM)","0.5625","0.7010","Borrelia mayonii"
"bmay","A7X70_00280","K00927","PGK, pgk","phosphoglycerate kinase","0.3906","0.5214","Borrelia mayonii"
"bmay","A7X70_00285","K00134","GAPDH, gapA","glyceraldehyde 3-phosphate dehydrogenase","0.5166","0.5281","Borrelia mayonii"
"bmay","A7X70_00320","K00604","MTFMT, fmt","methionyl-tRNA formyltransferase","0.5166","0.6569","Borrelia mayonii"
"bmay","A7X70_00380","K03110","ftsY","fused signal recognition particle receptor","0.6601","0.5766","Borrelia mayonii"
"bmay","A7X70_00390","K09808","lolC_E","lipoprotein-releasing system permease protein","0.4739","0.1800","Borrelia mayonii"
"bmay","A7X70_00395","K09810","lolD","lipoprotein-releasing system ATP-binding protein","0.3618","0.0231","Borrelia mayonii"
"bmay","A7X70_00400","K09808","lolC_E","lipoprotein-releasing system permease protein","0.4739","0.1800","Borrelia mayonii"
"bmay","A7X70_00415","K11717","sufS","cysteine desulfurase / selenocysteine lyase","0.2588","0.0692","Borrelia mayonii"
"bmay","A7X70_00430","K00016","LDH, ldh","L-lactate dehydrogenase","0.0031","0.0286","Borrelia mayonii"
"bmay","A7X70_00445","K02124","ATPVK, ntpK, atpK","V/A-type H+/Na+-transporting ATPase subunit K","0.0000 ","0.0952","Borrelia mayonii"
"bmay","A7X70_00450","K02123","ATPVI, ntpI, atpI","V/A-type H+/Na+-transporting ATPase subunit I","0.0000 ","0.0160","Borrelia mayonii"
"bmay","A7X70_00455","K02120","ATPVD, ntpD, atpD","V/A-type H+/Na+-transporting ATPase subunit D","0.0000 ","0.0160","Borrelia mayonii"
"bmay","A7X70_00460","K02118","ATPVB, ntpB, atpB","V/A-type H+/Na+-transporting ATPase subunit B","0.0000 ","0.0160","Borrelia mayonii"
"bmay","A7X70_00465","K02117","ATPVA, ntpA, atpA","V/A-type H+/Na+-transporting ATPase subunit A","0.0000 ","0.0160","Borrelia mayonii"
"bmay","A7X70_00475","K02121","ATPVE, ntpE, atpE","V/A-type H+/Na+-transporting ATPase subunit E","0.0000 ","0.0160","Borrelia mayonii"
"bmay","A7X70_00485","K07456","mutS2","DNA mismatch repair protein MutS2","0.0000 ","0.0099","Borrelia mayonii"
"bmay","A7X70_00490","K06949","rsgA, engC","ribosome biogenesis GTPase / thiamine phosphate phosphatase","0.3865","0.2740","Borrelia mayonii"
"bmay","A7X70_00495","K01776","murI","glutamate racemase","0.3599","0.4250","Borrelia mayonii"
"bmay","A7X70_00500","K01893","NARS, asnS","asparaginyl-tRNA synthetase","0.2860","0.2797","Borrelia mayonii"
