"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"tpz","Tph_c00010","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Thermacetogenium phaeum"
"tpz","Tph_c00020","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Thermacetogenium phaeum"
"tpz","Tph_c00030","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Thermacetogenium phaeum"
"tpz","Tph_c00140","K06215","pdxS, pdx1","pyridoxal 5-phosphate synthase pdxS subunit","0.0000 ","0.0470","Thermacetogenium phaeum"
"tpz","Tph_c00150","K08681","pdxT, pdx2","5-phosphate synthase pdxT subunit","0.0000 ","0.0470","Thermacetogenium phaeum"
"tpz","Tph_c00170","K00058","serA, PHGDH","D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase","0.1073","0.1203","Thermacetogenium phaeum"
"tpz","Tph_c00180","K01875","SARS, serS","seryl-tRNA synthetase","0.6103","0.5347","Thermacetogenium phaeum"
"tpz","Tph_c00190","K14233","tRNA-Ser","tRNA Ser","0.0000 ","0.2024","Thermacetogenium phaeum"
"tpz","Tph_c00200","K14219","tRNA-Arg","tRNA Arg","0.0000 ","0.2024","Thermacetogenium phaeum"
"tpz","Tph_c00210","K14233","tRNA-Ser","tRNA Ser","0.0000 ","0.2024","Thermacetogenium phaeum"
"tpz","Tph_c00220","K14219","tRNA-Arg","tRNA Arg","0.0000 ","0.2024","Thermacetogenium phaeum"
"tpz","Tph_c00270","K03217","yidC, spoIIIJ, OXA1, ccfA","YidC/Oxa1 family membrane protein insertase","0.5327","0.5418","Thermacetogenium phaeum"
"tpz","Tph_c00430","K01042","selA","L-seryl-tRNA(Ser) seleniumtransferase","0.0000 ","0.1409","Thermacetogenium phaeum"
"tpz","Tph_c00450","K01999","livK","branched-chain amino acid transport system substrate-binding protein","0.0000 ","0.0005","Thermacetogenium phaeum"
"tpz","Tph_c00460","K01997","livH","branched-chain amino acid transport system permease protein","0.0000 ","0.0000 ","Thermacetogenium phaeum"
"tpz","Tph_c00470","K01998","livM","branched-chain amino acid transport system permease protein","0.0000 ","0.0000 ","Thermacetogenium phaeum"
"tpz","Tph_c00480","K01995","livG","branched-chain amino acid transport system ATP-binding protein","0.0000 ","0.0002","Thermacetogenium phaeum"
"tpz","Tph_c00490","K01996","livF","branched-chain amino acid transport system ATP-binding protein","0.0000 ","0.0002","Thermacetogenium phaeum"
"tpz","Tph_c00510","K14238","tRNA-Sec","tRNA Sec","0.0000 ","0.2024","Thermacetogenium phaeum"
"tpz","Tph_c00670","K01008","selD, SEPHS","selenide, water dikinase","0.0026","0.0331","Thermacetogenium phaeum"
"tpz","Tph_c00700","K02990","RP-S6, MRPS6, rpsF","small subunit ribosomal protein S6","0.5030","0.5709","Thermacetogenium phaeum"
"tpz","Tph_c00710","K03111","ssb","single-strand DNA-binding protein","0.4028","0.5247","Thermacetogenium phaeum"
"tpz","Tph_c00720","K02963","RP-S18, MRPS18, rpsR","small subunit ribosomal protein S18","0.4440","0.5564","Thermacetogenium phaeum"
"tpz","Tph_c00780","K02939","RP-L9, MRPL9, rplI","large subunit ribosomal protein L9","0.0090","0.3152","Thermacetogenium phaeum"
"tpz","Tph_c00800","K02314","dnaB","replicative DNA helicase","0.6807","0.7836","Thermacetogenium phaeum"
"tpz","Tph_c00890","K01939","purA, ADSS","adenylosuccinate synthase","0.1496","0.2426","Thermacetogenium phaeum"
"tpz","Tph_c00900","K14229","tRNA-Lys","tRNA Lys","0.0060","0.2024","Thermacetogenium phaeum"
"tpz","Tph_c01060","K02016","ABC.FEV.S","iron complex transport system substrate-binding protein","0.0044","0.0127","Thermacetogenium phaeum"
"tpz","Tph_c01070","K02015","ABC.FEV.P","iron complex transport system permease protein","0.0184","0.0354","Thermacetogenium phaeum"
"tpz","Tph_c01080","K02013","ABC.FEV.A","iron complex transport system ATP-binding protein","0.0399","0.0544","Thermacetogenium phaeum"
"tpz","Tph_c01190","K02015","ABC.FEV.P","iron complex transport system permease protein","0.0184","0.0354","Thermacetogenium phaeum"
"tpz","Tph_c01200","K02013","ABC.FEV.A","iron complex transport system ATP-binding protein","0.0399","0.0544","Thermacetogenium phaeum"
"tpz","Tph_c01210","K02016","ABC.FEV.S","iron complex transport system substrate-binding protein","0.0044","0.0127","Thermacetogenium phaeum"
"tpz","Tph_c01220","K06928","NTPCR","nucleoside-triphosphatase","0.4891","0.4988","Thermacetogenium phaeum"
"tpz","Tph_c01230","K01012","bioB","biotin synthase","0.0544","0.1254","Thermacetogenium phaeum"
"tpz","Tph_c01320","K06167","phnP","phosphoribosyl 1,2-cyclic phosphate phosphodiesterase","0.0000 ","0.0002","Thermacetogenium phaeum"
"tpz","Tph_c01480","K03752","mobA","molybdenum cofactor guanylyltransferase","0.0000 ","0.0063","Thermacetogenium phaeum"
"tpz","Tph_c01510","K03750","moeA","molybdopterin molybdotransferase","0.0051","0.1550","Thermacetogenium phaeum"
"tpz","Tph_c01530","K11261","fwdE, fmdE","formylmethanofuran dehydrogenase subunit E","0.0000 ","0.0000 ","Thermacetogenium phaeum"
"tpz","Tph_c01550","K02015","ABC.FEV.P","iron complex transport system permease protein","0.0184","0.0354","Thermacetogenium phaeum"
"tpz","Tph_c01560","K02013","ABC.FEV.A","iron complex transport system ATP-binding protein","0.0399","0.0544","Thermacetogenium phaeum"
"tpz","Tph_c01570","K02016","ABC.FEV.S","iron complex transport system substrate-binding protein","0.0044","0.0127","Thermacetogenium phaeum"
"tpz","Tph_c01580","K03639","moaA, CNX2","GTP 3,8-cyclase","0.0206","0.0410","Thermacetogenium phaeum"
"tpz","Tph_c01600","K02020","modA","molybdate transport system substrate-binding protein","0.0000 ","0.0053","Thermacetogenium phaeum"
"tpz","Tph_c01610","K02018","modB","molybdate transport system permease protein","0.0014","0.0066","Thermacetogenium phaeum"
"tpz","Tph_c01620","K02017","modC","molybdate transport system ATP-binding protein","0.0017","0.0074","Thermacetogenium phaeum"
"tpz","Tph_c01630","K03637","moaC, CNX3","cyclic pyranopterin monophosphate synthase","0.0064","0.0241","Thermacetogenium phaeum"
"tpz","Tph_c01750","K03752","mobA","molybdenum cofactor guanylyltransferase","0.0000 ","0.0063","Thermacetogenium phaeum"
"tpz","Tph_c01770","K03750","moeA","molybdopterin molybdotransferase","0.0051","0.1550","Thermacetogenium phaeum"
"tpz","Tph_c01810","K00548","metH, MTR","5-methyltetrahydrofolate--homocysteine methyltransferase","0.0551","0.0781","Thermacetogenium phaeum"
"tpz","Tph_c01890","K00805","hepST","heptaprenyl diphosphate synthase","0.0051","0.2081","Thermacetogenium phaeum"
"tpz","Tph_c01930","K14225","tRNA-Gly","tRNA Gly","0.0000 ","0.2024","Thermacetogenium phaeum"
"tpz","Tph_c02100","K03406","mcp","methyl-accepting chemotaxis protein","0.0071","0.0042","Thermacetogenium phaeum"
"tpz","Tph_c02690","K00012","UGDH, ugd","UDPglucose 6-dehydrogenase","0.0463","0.0911","Thermacetogenium phaeum"
"tpz","Tph_c02700","K08679","E5.1.3.6","UDP-glucuronate 4-epimerase","0.0035","0.0200","Thermacetogenium phaeum"
"tpz","Tph_c02720","K01953","asnB, ASNS","asparagine synthase (glutamine-hydrolysing)","0.0302","0.0397","Thermacetogenium phaeum"
"tpz","Tph_c02930","K03406","mcp","methyl-accepting chemotaxis protein","0.0071","0.0042","Thermacetogenium phaeum"
"tpz","Tph_c03120","K02406","fliC","flagellin","0.0016","0.0097","Thermacetogenium phaeum"
"tpz","Tph_c03230","K16786","ecfA1","energy-coupling factor transport system ATP-binding protein","0.0534","0.0143","Thermacetogenium phaeum"
"tpz","Tph_c03240","K16785","ecfT","energy-coupling factor transport system permease protein","0.0394","0.0102","Thermacetogenium phaeum"
"tpz","Tph_c03390","K03405","chlI, bchI","magnesium chelatase subunit I","0.0035","0.0300","Thermacetogenium phaeum"
"tpz","Tph_c03400","K03404","chlD, bchD","magnesium chelatase subunit D","0.0051","0.0292","Thermacetogenium phaeum"
"tpz","Tph_c03410","K02016","ABC.FEV.S","iron complex transport system substrate-binding protein","0.0044","0.0127","Thermacetogenium phaeum"
"tpz","Tph_c03420","K02015","ABC.FEV.P","iron complex transport system permease protein","0.0184","0.0354","Thermacetogenium phaeum"
"tpz","Tph_c03430","K02013","ABC.FEV.A","iron complex transport system ATP-binding protein","0.0399","0.0544","Thermacetogenium phaeum"
"tpz","Tph_c03440","K02230","cobN","cobaltochelatase CobN","0.0116","0.0312","Thermacetogenium phaeum"
"tpz","Tph_c03480","K19221","cobA, btuR","cob(I)alamin adenosyltransferase","0.0085","0.0355","Thermacetogenium phaeum"
"tpz","Tph_c03520","K02035","ABC.PE.S","peptide/nickel transport system substrate-binding protein","0.0016","0.0015","Thermacetogenium phaeum"
"tpz","Tph_c03530","K02033","ABC.PE.P","peptide/nickel transport system permease protein","0.0016","0.0026","Thermacetogenium phaeum"
