"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"php","PhaeoP97_00001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Phaeobacter sp. P97"
"php","PhaeoP97_00002","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Phaeobacter sp. P97"
"php","PhaeoP97_00003","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Phaeobacter sp. P97"
"php","PhaeoP97_00011","K01977","16SrRNA, rrs","16S ribosomal RNA","0.0000 ","0.3104","Phaeobacter sp. P97"
"php","PhaeoP97_00012","K14218","tRNA-Ala","tRNA Ala","0.0060","0.2024","Phaeobacter sp. P97"
"php","PhaeoP97_00013","K14227","tRNA-Ile","tRNA Ile","0.0000 ","0.2024","Phaeobacter sp. P97"
"php","PhaeoP97_00014","K01980","23SrRNA, rrl","23S ribosomal RNA","0.0000 ","0.3104","Phaeobacter sp. P97"
"php","PhaeoP97_00015","K01985","5SrRNA, rrf","5S ribosomal RNA","0.0060","0.3104","Phaeobacter sp. P97"
"php","PhaeoP97_00026","K09815","znuA","zinc transport system substrate-binding protein","0.0064","0.0067","Phaeobacter sp. P97"
"php","PhaeoP97_00030","K08738","CYC","cytochrome c","0.0029","0.0053","Phaeobacter sp. P97"
"php","PhaeoP97_00035","K02274","coxA","cytochrome c oxidase subunit I","0.0000 ","0.0160","Phaeobacter sp. P97"
"php","PhaeoP97_00036","K02275","coxB","cytochrome c oxidase subunit II","0.0000 ","0.0171","Phaeobacter sp. P97"
"php","PhaeoP97_00039","K00406","ccoP","cytochrome c oxidase cbb3-type subunit III","0.0026","0.0093","Phaeobacter sp. P97"
"php","PhaeoP97_00040","K00407","ccoQ","cytochrome c oxidase cbb3-type subunit IV","0.0031","0.0292","Phaeobacter sp. P97"
"php","PhaeoP97_00041","K00405","ccoO","cytochrome c oxidase cbb3-type subunit II","0.0026","0.0116","Phaeobacter sp. P97"
"php","PhaeoP97_00042","K00404","ccoN","cytochrome c oxidase cbb3-type subunit I","0.0024","0.0119","Phaeobacter sp. P97"
"php","PhaeoP97_00046","K03781","katE, CAT, catB, srpA","catalase","0.0000 ","0.0000 ","Phaeobacter sp. P97"
"php","PhaeoP97_00048","K03781","katE, CAT, catB, srpA","catalase","0.0000 ","0.0000 ","Phaeobacter sp. P97"
"php","PhaeoP97_00055","K14219","tRNA-Arg","tRNA Arg","0.0000 ","0.2024","Phaeobacter sp. P97"
"php","PhaeoP97_00062","K16165","nagK","fumarylpyruvate hydrolase","0.0000 ","0.0000 ","Phaeobacter sp. P97"
"php","PhaeoP97_00067","K08281","pncA","nicotinamidase/pyrazinamidase","0.0000 ","0.1532","Phaeobacter sp. P97"
"php","PhaeoP97_00069","K00763","pncB, NAPRT1","nicotinate phosphoribosyltransferase","0.0685","0.2006","Phaeobacter sp. P97"
"php","PhaeoP97_00070","K00128","ALDH","aldehyde dehydrogenase (NAD+)","0.0018","0.0086","Phaeobacter sp. P97"
"php","PhaeoP97_00072","K02031","ABC.PE.A","peptide/nickel transport system ATP-binding protein","0.0000 ","0.0004","Phaeobacter sp. P97"
"php","PhaeoP97_00073","K02034","ABC.PE.P1","peptide/nickel transport system permease protein","0.0075","0.0026","Phaeobacter sp. P97"
"php","PhaeoP97_00074","K02033","ABC.PE.P","peptide/nickel transport system permease protein","0.0016","0.0026","Phaeobacter sp. P97"
"php","PhaeoP97_00076","K02035","ABC.PE.S","peptide/nickel transport system substrate-binding protein","0.0016","0.0015","Phaeobacter sp. P97"
"php","PhaeoP97_00077","K00606","panB","3-methyl-2-oxobutanoate hydroxymethyltransferase","0.1192","0.2722","Phaeobacter sp. P97"
"php","PhaeoP97_00078","K01918","panC","pantoate--beta-alanine ligase","0.2338","0.2517","Phaeobacter sp. P97"
"php","PhaeoP97_00079","K00864","glpK, GK","glycerol kinase","0.0046","0.0302","Phaeobacter sp. P97"
"php","PhaeoP97_00080","K20940","phzS","5-methylphenazine-1-carboxylate 1-monooxygenase","0.0000 ","0.0374","Phaeobacter sp. P97"
"php","PhaeoP97_00081","K01823","idi, IDI","isopentenyl-diphosphate Delta-isomerase","0.1465","0.1748","Phaeobacter sp. P97"
"php","PhaeoP97_00082","K08738","CYC","cytochrome c","0.0029","0.0053","Phaeobacter sp. P97"
"php","PhaeoP97_00084","K00059","fabG","3-oxoacyl-[acyl-carrier protein] reductase","0.7026","0.4376","Phaeobacter sp. P97"
"php","PhaeoP97_00092","K03654","recQ","ATP-dependent DNA helicase RecQ","0.0014","0.0359","Phaeobacter sp. P97"
"php","PhaeoP97_00096","K05367","pbpC","penicillin-binding protein 1C","0.0000 ","0.0175","Phaeobacter sp. P97"
"php","PhaeoP97_00104","K02335","DPO1, polA","DNA polymerase I","0.7656","0.8943","Phaeobacter sp. P97"
"php","PhaeoP97_00114","K01963","accD","acetyl-CoA carboxylase carboxyl transferase subunit beta","0.6626","0.5064","Phaeobacter sp. P97"
"php","PhaeoP97_00115","K11754","folC","dihydrofolate synthase / folylpolyglutamate synthase","0.5987","0.4070","Phaeobacter sp. P97"
"php","PhaeoP97_00119","K01560","E3.8.1.2","2-haloacid dehalogenase","0.0000 ","0.0388","Phaeobacter sp. P97"
"php","PhaeoP97_00122","K00322","sthA, udhA","NAD(P) transhydrogenase","0.4649","0.2525","Phaeobacter sp. P97"
"php","PhaeoP97_00123","K01070","frmB, ESD, fghA","S-formylglutathione hydrolase","0.0000 ","0.0002","Phaeobacter sp. P97"
"php","PhaeoP97_00130","K01255","CARP, pepA","leucyl aminopeptidase","0.0277","0.0512","Phaeobacter sp. P97"
"php","PhaeoP97_00132","K01673","cynT, can","carbonic anhydrase","0.0399","0.0279","Phaeobacter sp. P97"
"php","PhaeoP97_00135","K00133","asd","aspartate-semialdehyde dehydrogenase","0.4295","0.3677","Phaeobacter sp. P97"
"php","PhaeoP97_00138","K01998","livM","branched-chain amino acid transport system permease protein","0.0000 ","0.0000 ","Phaeobacter sp. P97"
"php","PhaeoP97_00139","K01997","livH","branched-chain amino acid transport system permease protein","0.0000 ","0.0000 ","Phaeobacter sp. P97"
"php","PhaeoP97_00140","K01996","livF","branched-chain amino acid transport system ATP-binding protein","0.0000 ","0.0002","Phaeobacter sp. P97"
"php","PhaeoP97_00141","K01995","livG","branched-chain amino acid transport system ATP-binding protein","0.0000 ","0.0002","Phaeobacter sp. P97"
"php","PhaeoP97_00142","K01999","livK","branched-chain amino acid transport system substrate-binding protein","0.0000 ","0.0005","Phaeobacter sp. P97"
"php","PhaeoP97_00143","K02510","hpaI, hpcH","4-hydroxy-2-oxoheptanedioate aldolase","0.0000 ","0.0000 ","Phaeobacter sp. P97"
"php","PhaeoP97_00144","K01593","DDC","aromatic-L-amino-acid decarboxylase","0.0000 ","0.0365","Phaeobacter sp. P97"
"php","PhaeoP97_00146","K11529","gck, gckA, GLYCTK","glycerate 2-kinase","0.0051","0.0030","Phaeobacter sp. P97"
"php","PhaeoP97_00151","K11069","potD","spermidine/putrescine transport system substrate-binding protein","0.0071","0.0089","Phaeobacter sp. P97"
"php","PhaeoP97_00152","K11072","potA","spermidine/putrescine transport system ATP-binding protein","0.0018","0.0065","Phaeobacter sp. P97"
"php","PhaeoP97_00153","K11071","potB","spermidine/putrescine transport system permease protein","0.0071","0.0075","Phaeobacter sp. P97"
"php","PhaeoP97_00154","K11070","potC","spermidine/putrescine transport system permease protein","0.0071","0.0071","Phaeobacter sp. P97"
"php","PhaeoP97_00168","K02013","ABC.FEV.A","iron complex transport system ATP-binding protein","0.0399","0.0544","Phaeobacter sp. P97"
"php","PhaeoP97_00169","K02015","ABC.FEV.P","iron complex transport system permease protein","0.0184","0.0354","Phaeobacter sp. P97"
"php","PhaeoP97_00170","K02015","ABC.FEV.P","iron complex transport system permease protein","0.0184","0.0354","Phaeobacter sp. P97"
"php","PhaeoP97_00171","K02016","ABC.FEV.S","iron complex transport system substrate-binding protein","0.0044","0.0127","Phaeobacter sp. P97"
"php","PhaeoP97_00176","K02034","ABC.PE.P1","peptide/nickel transport system permease protein","0.0075","0.0026","Phaeobacter sp. P97"
"php","PhaeoP97_00180","K00383","GSR, gor","glutathione reductase (NADPH)","0.0125","0.1203","Phaeobacter sp. P97"
"php","PhaeoP97_00186","K12541","lapB","ATP-binding cassette, subfamily C, bacterial LapB","0.0029","0.0057","Phaeobacter sp. P97"
"php","PhaeoP97_00193","K00121","frmA, ADH5, adhC","S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase","0.0144","0.0255","Phaeobacter sp. P97"
"php","PhaeoP97_00197","K00448","pcaG","protocatechuate 3,4-dioxygenase, alpha subunit","0.0000 ","0.0000 ","Phaeobacter sp. P97"
"php","PhaeoP97_00198","K00449","pcaH","protocatechuate 3,4-dioxygenase, beta subunit","0.0000 ","0.0000 ","Phaeobacter sp. P97"
"php","PhaeoP97_00199","K01607","pcaC","4-carboxymuconolactone decarboxylase","0.0000 ","0.0000 ","Phaeobacter sp. P97"
"php","PhaeoP97_00201","K01997","livH","branched-chain amino acid transport system permease protein","0.0000 ","0.0000 ","Phaeobacter sp. P97"
"php","PhaeoP97_00202","K01998","livM","branched-chain amino acid transport system permease protein","0.0000 ","0.0000 ","Phaeobacter sp. P97"
"php","PhaeoP97_00203","K01995","livG","branched-chain amino acid transport system ATP-binding protein","0.0000 ","0.0002","Phaeobacter sp. P97"
"php","PhaeoP97_00204","K01996","livF","branched-chain amino acid transport system ATP-binding protein","0.0000 ","0.0002","Phaeobacter sp. P97"
"php","PhaeoP97_00205","K01897","ACSL, fadD","long-chain acyl-CoA synthetase","0.0000 ","0.0000 ","Phaeobacter sp. P97"
"php","PhaeoP97_00218","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Phaeobacter sp. P97"
"php","PhaeoP97_00268","K01800","maiA, GSTZ1","maleylacetoacetate isomerase","0.0000 ","0.0067","Phaeobacter sp. P97"
"php","PhaeoP97_00271","K05712","mhpA","3-(3-hydroxy-phenyl)propionate hydroxylase","0.0000 ","0.0311","Phaeobacter sp. P97"
"php","PhaeoP97_00273","K01555","FAH, fahA","fumarylacetoacetase","0.0000 ","0.0203","Phaeobacter sp. P97"
"php","PhaeoP97_00274","K00451","HGD, hmgA","homogentisate 1,2-dioxygenase","0.0000 ","0.0000 ","Phaeobacter sp. P97"
"php","PhaeoP97_00276","K01768","E4.6.1.1","adenylate cyclase","0.0000 ","0.0000 ","Phaeobacter sp. P97"
"php","PhaeoP97_00280","K02909","RP-L31, rpmE","large subunit ribosomal protein L31","0.1218","0.4008","Phaeobacter sp. P97"
"php","PhaeoP97_00281","K02884","RP-L19, MRPL19, rplS","large subunit ribosomal protein L19","0.3906","0.5424","Phaeobacter sp. P97"
