"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"marh","Mia14_0013","K03047","rpoD","DNA-directed RNA polymerase subunit D","0.8098","0.8488","Candidatus Micrarchaeota archaeon Mia14"
"marh","Mia14_0015","K02883","RP-L18e, RPL18","large subunit ribosomal protein L18e","0.0000 ","0.2901","Candidatus Micrarchaeota archaeon Mia14"
"marh","Mia14_0016","K02871","RP-L13, MRPL13, rplM","large subunit ribosomal protein L13","0.7119","0.6883","Candidatus Micrarchaeota archaeon Mia14"
"marh","Mia14_0017","K02996","RP-S9, MRPS9, rpsI","small subunit ribosomal protein S9","0.5166","0.6003","Candidatus Micrarchaeota archaeon Mia14"
"marh","Mia14_0018","K03058","rpoN","DNA-directed RNA polymerase subunit N","0.8098","0.8186","Candidatus Micrarchaeota archaeon Mia14"
"marh","Mia14_0019","K02967","RP-S2, MRPS2, rpsB","small subunit ribosomal protein S2","0.4440","0.5564","Candidatus Micrarchaeota archaeon Mia14"
"marh","Mia14_0023","K03106","SRP54, ffh","signal recognition particle subunit SRP54","0.5327","0.5766","Candidatus Micrarchaeota archaeon Mia14"
"marh","Mia14_0029","K01892","HARS, hisS","histidyl-tRNA synthetase","0.6103","0.5347","Candidatus Micrarchaeota archaeon Mia14"
"marh","Mia14_0030","K02908","RP-L30e, RPL30","large subunit ribosomal protein L30e","0.0000 ","0.2901","Candidatus Micrarchaeota archaeon Mia14"
"marh","Mia14_0031","K02950","RP-S12, MRPS12, rpsL","small subunit ribosomal protein S12","0.5625","0.6211","Candidatus Micrarchaeota archaeon Mia14"
"marh","Mia14_0032","K02992","RP-S7, MRPS7, rpsG","small subunit ribosomal protein S7","0.7119","0.6883","Candidatus Micrarchaeota archaeon Mia14"
"marh","Mia14_0034","K02936","RP-L7Ae, RPL7A","large subunit ribosomal protein L7Ae","0.0000 ","0.2901","Candidatus Micrarchaeota archaeon Mia14"
"marh","Mia14_0035","K02979","RP-S28e, RPS28","small subunit ribosomal protein S28e","0.0000 ","0.2901","Candidatus Micrarchaeota archaeon Mia14"
"marh","Mia14_0036","K02896","RP-L24e, RPL24","large subunit ribosomal protein L24e","0.0000 ","0.2901","Candidatus Micrarchaeota archaeon Mia14"
"marh","Mia14_0037","K00261","GLUD1_2, gdhA","glutamate dehydrogenase (NAD(P)+)","0.3500","0.2061","Candidatus Micrarchaeota archaeon Mia14"
"marh","Mia14_0038","K00772","mtaP, MTAP","5-methylthioadenosine phosphorylase","0.0000 ","0.0207","Candidatus Micrarchaeota archaeon Mia14"
"marh","Mia14_0048","K03432","psmA, prcA","proteasome alpha subunit","0.0000 ","0.0017","Candidatus Micrarchaeota archaeon Mia14"
"marh","Mia14_0050","K03679","RRP4, EXOSC2","exosome complex component RRP4","0.0000 ","0.0305","Candidatus Micrarchaeota archaeon Mia14"
"marh","Mia14_0051","K11600","RRP41, EXOSC4, SKI6","exosome complex component RRP41","0.0000 ","0.0422","Candidatus Micrarchaeota archaeon Mia14"
"marh","Mia14_0052","K12589","RRP42, EXOSC7","exosome complex component RRP42","0.0000 ","0.0508","Candidatus Micrarchaeota archaeon Mia14"
"marh","Mia14_0053","K02921","RP-L37Ae, RPL37A","large subunit ribosomal protein L37Ae","0.0000 ","0.2901","Candidatus Micrarchaeota archaeon Mia14"
"marh","Mia14_0055","K03059","rpoP","DNA-directed RNA polymerase subunit P","0.8098","0.8186","Candidatus Micrarchaeota archaeon Mia14"
"marh","Mia14_0057","K02948","RP-S11, MRPS11, rpsK","small subunit ribosomal protein S11","0.7119","0.6883","Candidatus Micrarchaeota archaeon Mia14"
"marh","Mia14_0058","K02986","RP-S4, rpsD","small subunit ribosomal protein S4","0.7119","0.6883","Candidatus Micrarchaeota archaeon Mia14"
