"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"tar","TALC_00002","K13280","SEC11, sipW","signal peptidase, endoplasmic reticulum-type","0.0000 ","0.0806","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00003","K01493","comEB","dCMP deaminase","0.1422","0.1520","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00004","K02107","ATPVG, ahaH, atpH","V/A-type H+/Na+-transporting ATPase subunit G/H","0.0000 ","0.0160","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00005","K02123","ATPVI, ntpI, atpI","V/A-type H+/Na+-transporting ATPase subunit I","0.0000 ","0.0160","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00006","K02124","ATPVK, ntpK, atpK","V/A-type H+/Na+-transporting ATPase subunit K","0.0000 ","0.0952","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00007","K02121","ATPVE, ntpE, atpE","V/A-type H+/Na+-transporting ATPase subunit E","0.0000 ","0.0160","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00008","K02119","ATPVC, ntpC, atpC","V/A-type H+/Na+-transporting ATPase subunit C","0.0000 ","0.0160","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00009","K02122","ATPVF, ntpF, atpF","V/A-type H+/Na+-transporting ATPase subunit F","0.0000 ","0.0160","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00010","K02117","ATPVA, ntpA, atpA","V/A-type H+/Na+-transporting ATPase subunit A","0.0000 ","0.0160","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00011","K02118","ATPVB, ntpB, atpB","V/A-type H+/Na+-transporting ATPase subunit B","0.0000 ","0.0160","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00012","K02120","ATPVD, ntpD, atpD","V/A-type H+/Na+-transporting ATPase subunit D","0.0000 ","0.0160","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00014","K02323","DPB2, polD1","DNA polymerase II small subunit","0.8098","0.8032","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00015","K01673","cynT, can","carbonic anhydrase","0.0399","0.0279","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00026","K06001","trpB","tryptophan synthase beta chain","0.1561","0.0712","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00031","K03124","TFIIB, GTF2B, SUA7, tfb","transcription initiation factor TFIIB","0.0000 ","","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00033","K01588","purE","5-(carboxyamino)imidazole ribonucleotide mutase","0.0526","0.0937","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00034","K01951","guaA, GMPS","GMP synthase (glutamine-hydrolysing)","0.4583","0.4623","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00036","K01951","guaA, GMPS","GMP synthase (glutamine-hydrolysing)","0.4583","0.4623","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00039","K07342","SEC61G, SSS1, secE","protein transport protein SEC61 subunit gamma and related proteins","0.0000 ","","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00041","K02867","RP-L11, MRPL11, rplK","large subunit ribosomal protein L11","0.5327","0.5955","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00042","K02863","RP-L1, MRPL1, rplA","large subunit ribosomal protein L1","0.4306","0.5610","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00043","K02864","RP-L10, MRPL10, rplJ","large subunit ribosomal protein L10","0.5800","0.6162","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00044","K02869","RP-L12, rpl12","large subunit ribosomal protein L12","0.0000 ","0.2901","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00049","K22026","N/A","","N/A","N/A","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00050","K18532","AK6, FAP7","adenylate kinase","0.7777","0.7448","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00052","K18882","priL, pri2, priB","DNA primase large subunit","0.0000 ","0.4564","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00054","K18882","priL, pri2, priB","DNA primase large subunit","0.0000 ","0.4564","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00057","K00027","ME2, sfcA, maeA","malate dehydrogenase (oxaloacetate-decarboxylating)","0.0016","0.0078","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00061","K00966","GMPP","mannose-1-phosphate guanylyltransferase","0.0464","0.0289","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00065","K01653","E2.2.1.6S, ilvH, ilvN","acetolactate synthase I/III small subunit","0.0190","0.0562","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00066","K00826","E2.6.1.42, ilvE","branched-chain amino acid aminotransferase","0.0166","0.0653","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00072","K00991","ispD","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase","0.5995","0.2651","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00076","K01251","E3.3.1.1, ahcY","adenosylhomocysteinase","0.0534","0.0351","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00077","K09722","K09722, pps","4-phosphopantoate---beta-alanine ligase","0.0000 ","0.1175","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00081","K03430","phnW","2-aminoethylphosphonate-pyruvate transaminase","0.0035","0.0013","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00082","K09459","E4.1.1.82","phosphonopyruvate decarboxylase","0.0071","0.0206","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00083","K01841","pepM","phosphoenolpyruvate phosphomutase","0.0071","0.0071","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00085","K08678","UXS1, uxs","UDP-glucuronate decarboxylase","0.0000 ","0.0200","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00086","K00012","UGDH, ugd","UDPglucose 6-dehydrogenase","0.0463","0.0911","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00095","K00012","UGDH, ugd","UDPglucose 6-dehydrogenase","0.0463","0.0911","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00096","K12452","ascC, ddhC, rfbH","CDP-4-dehydro-6-deoxyglucose reductase, E1","0.0000 ","0.0174","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00097","K01652","E2.2.1.6L, ilvB, ilvG, ilvI","acetolactate synthase I/II/III large subunit","0.0184","0.0311","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00099","K01091","gph","phosphoglycolate phosphatase","0.0000 ","0.0024","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00100","K01666","mhpE","4-hydroxy 2-oxovalerate aldolase","0.0000 ","0.0056","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00104","K01854","glf","UDP-galactopyranose mutase","0.0127","0.0311","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00107","K00978","rfbF","glucose-1-phosphate cytidylyltransferase","0.0029","0.0072","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00112","K02936","RP-L7Ae, RPL7A","large subunit ribosomal protein L7Ae","0.0000 ","0.2901","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00113","K02979","RP-S28e, RPS28","small subunit ribosomal protein S28e","0.0000 ","0.2901","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00114","K02896","RP-L24e, RPL24","large subunit ribosomal protein L24e","0.0000 ","0.2901","Thermoplasmatales archaeon BRNA1"
"tar","TALC_00115","K00940","ndk, NME","nucleoside-diphosphate kinase","0.7341","0.8327","Thermoplasmatales archaeon BRNA1"
