"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"cdn","BN940_00051","K09690","ABC-2.LPSE.P","lipopolysaccharide transport system permease protein","0.0000 ","0.0060","Castellaniella defragrans"
"cdn","BN940_00056","K09691","ABC-2.LPSE.A","lipopolysaccharide transport system ATP-binding protein","0.0000 ","0.0071","Castellaniella defragrans"
"cdn","BN940_00081","K12990","rfbF, rhlC","rhamnosyltransferase","0.0000 ","0.0027","Castellaniella defragrans"
"cdn","BN940_00106","K12536","hasD, prtD, aprD","ATP-binding cassette, subfamily C, bacterial exporter for protease/lipase","0.0000 ","0.0053","Castellaniella defragrans"
"cdn","BN940_00121","K00973","E2.7.7.24, rfbA, rffH","glucose-1-phosphate thymidylyltransferase","0.0335","0.0709","Castellaniella defragrans"
"cdn","BN940_00126","K01790","rfbC, rmlC","dTDP-4-dehydrorhamnose 3,5-epimerase","0.0463","0.0857","Castellaniella defragrans"
"cdn","BN940_00136","K00067","rfbD, rmlD","dTDP-4-dehydrorhamnose reductase","0.0335","0.0762","Castellaniella defragrans"
"cdn","BN940_00141","K01710","E4.2.1.46, rfbB, rffG","dTDP-glucose 4,6-dehydratase","0.0322","0.0736","Castellaniella defragrans"
"cdn","BN940_00146","K02847","waaL, rfaL","O-antigen ligase","0.0141","0.0617","Castellaniella defragrans"
"cdn","BN940_00161","K01784","galE, GALE","UDP-glucose 4-epimerase","0.0526","0.0568","Castellaniella defragrans"
"cdn","BN940_00186","K01810","GPI, pgi","glucose-6-phosphate isomerase","0.3262","0.3873","Castellaniella defragrans"
"cdn","BN940_00191","K00632","fadA, fadI","acetyl-CoA acyltransferase","0.0067","0.0198","Castellaniella defragrans"
"cdn","BN940_00196","K07516","fadN","3-hydroxyacyl-CoA dehydrogenase","0.0029","0.0088","Castellaniella defragrans"
"cdn","BN940_00216","K19611","fepA, pfeA, iroN, pirA","ferric enterobactin receptor","0.0000 ","0.0007","Castellaniella defragrans"
"cdn","BN940_00221","K05685","macB","macrolide transport system ATP-binding/permease protein","0.0000 ","0.0053","Castellaniella defragrans"
"cdn","BN940_00256","K02015","ABC.FEV.P","iron complex transport system permease protein","0.0184","0.0354","Castellaniella defragrans"
"cdn","BN940_00261","K02013","ABC.FEV.A","iron complex transport system ATP-binding protein","0.0399","0.0544","Castellaniella defragrans"
"cdn","BN940_00266","K02016","ABC.FEV.S","iron complex transport system substrate-binding protein","0.0044","0.0127","Castellaniella defragrans"
"cdn","BN940_00276","K06133","LYS5, acpT","4-phosphopantetheinyl transferase","0.0206","0.1975","Castellaniella defragrans"
"cdn","BN940_00281","K02363","entE, dhbE, vibE, mxcE","2,3-dihydroxybenzoate-AMP ligase","0.0000 ","9.33E-","Castellaniella defragrans"
"cdn","BN940_00291","K02364","entF","enterobactin synthetase component F","0.0000 ","9.33E-","Castellaniella defragrans"
"cdn","BN940_00301","K02361","entC","isochorismate synthase","0.0206","0.0188","Castellaniella defragrans"
"cdn","BN940_00306","K01252","entB, dhbB, vibB, mxcF","bifunctional isochorismate lyase / aryl carrier protein","0.0000 ","9.33E-","Castellaniella defragrans"
"cdn","BN940_00311","K00265","gltB","glutamate synthase (NADPH/NADH) large chain","0.2338","0.2722","Castellaniella defragrans"
"cdn","BN940_00316","K00266","gltD","glutamate synthase (NADPH/NADH) small chain","0.2338","0.2051","Castellaniella defragrans"
"cdn","BN940_00321","K02065","mlaF, linL, mkl","phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein","0.0012","0.0117","Castellaniella defragrans"
"cdn","BN940_00326","K02066","mlaE, linK","phospholipid/cholesterol/gamma-HCH transport system permease protein","0.0012","0.0117","Castellaniella defragrans"
"cdn","BN940_00331","K02067","mlaD, linM","phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein","0.0000 ","0.0053","Castellaniella defragrans"
"cdn","BN940_00341","K07323","mlaC","phospholipid transport system substrate-binding protein","0.0000 ","0.0053","Castellaniella defragrans"
"cdn","BN940_00361","K00790","murA","UDP-N-acetylglucosamine 1-carboxyvinyltransferase","0.6496","0.7385","Castellaniella defragrans"
"cdn","BN940_00366","K00765","hisG","ATP phosphoribosyltransferase","0.0606","0.0888","Castellaniella defragrans"
"cdn","BN940_00371","K00013","hisD","histidinol dehydrogenase","0.0309","0.0714","Castellaniella defragrans"
"cdn","BN940_00376","K01693","hisB","imidazoleglycerol-phosphate dehydratase","0.0680","0.0662","Castellaniella defragrans"
"cdn","BN940_00381","K02501","hisH","glutamine amidotransferase","0.0606","0.0888","Castellaniella defragrans"
"cdn","BN940_00386","K01814","hisA","phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase","0.0445","0.0799","Castellaniella defragrans"
