"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"nno","NONO_c00010","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Nocardia nova"
"nno","NONO_c00020","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Nocardia nova"
"nno","NONO_c00030","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Nocardia nova"
"nno","NONO_c00140","K14227","tRNA-Ile","tRNA Ile","0.0000 ","0.2024","Nocardia nova"
"nno","NONO_c00150","K14218","tRNA-Ala","tRNA Ala","0.0060","0.2024","Nocardia nova"
"nno","NONO_c00240","K03821","phbC, phaC","polyhydroxyalkanoate synthase","0.0026","0.0034","Nocardia nova"
"nno","NONO_c00280","K01768","E4.6.1.1","adenylate cyclase","0.0000 ","0.0000 ","Nocardia nova"
"nno","NONO_c00310","K03767","PPIA","peptidyl-prolyl cis-trans isomerase A (cyclophilin A)","0.0000 ","0.0178","Nocardia nova"
"nno","NONO_c00350","K01664","pabA","para-aminobenzoate synthetase component II","0.0024","0.1645","Nocardia nova"
"nno","NONO_c00370","K11752","ribD","diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase","0.1944","0.2829","Nocardia nova"
"nno","NONO_c00400","K05364","pbpA","penicillin-binding protein A","0.0000 ","0.0344","Nocardia nova"
"nno","NONO_c00450","K14228","tRNA-Leu","tRNA Leu","0.0060","0.2024","Nocardia nova"
"nno","NONO_c00560","K04093","pheA1","chorismate mutase","0.0722","0.0718","Nocardia nova"
"nno","NONO_c00570","K00265","gltB","glutamate synthase (NADPH/NADH) large chain","0.2338","0.2722","Nocardia nova"
"nno","NONO_c00580","K00266","gltD","glutamate synthase (NADPH/NADH) small chain","0.2338","0.2051","Nocardia nova"
"nno","NONO_c00650","K04567","KARS, lysS","lysyl-tRNA synthetase, class II","0.4899","0.4350","Nocardia nova"
"nno","NONO_c00890","K01126","E3.1.4.46, glpQ, ugpQ","glycerophosphoryl diester phosphodiesterase","0.0000 ","0.0333","Nocardia nova"
"nno","NONO_c00910","K22336","N/A","","N/A","N/A","Nocardia nova"
"nno","NONO_c00960","K04518","pheA2","prephenate dehydratase","0.1142","0.0816","Nocardia nova"
"nno","NONO_c01030","K01875","SARS, serS","seryl-tRNA synthetase","0.6103","0.5347","Nocardia nova"
"nno","NONO_c01050","K09936","TC.BAT2","bacterial/archaeal transporter family-2 protein","0.0000 ","0.0004","Nocardia nova"
"nno","NONO_c01130","K01426","E3.5.1.4, amiE","amidase","0.0000 ","0.0465","Nocardia nova"
"nno","NONO_c01140","K01563","dhaA","haloalkane dehalogenase","0.0000 ","0.0032","Nocardia nova"
"nno","NONO_c01240","K02035","ABC.PE.S","peptide/nickel transport system substrate-binding protein","0.0016","0.0015","Nocardia nova"
"nno","NONO_c01250","K02035","ABC.PE.S","peptide/nickel transport system substrate-binding protein","0.0016","0.0015","Nocardia nova"
"nno","NONO_c01260","K02031","ABC.PE.A","peptide/nickel transport system ATP-binding protein","0.0000 ","0.0004","Nocardia nova"
"nno","NONO_c01270","K02034","ABC.PE.P1","peptide/nickel transport system permease protein","0.0075","0.0026","Nocardia nova"
"nno","NONO_c01280","K02033","ABC.PE.P","peptide/nickel transport system permease protein","0.0016","0.0026","Nocardia nova"
"nno","NONO_c01380","K01854","glf","UDP-galactopyranose mutase","0.0127","0.0311","Nocardia nova"
"nno","NONO_c01430","K18851","fbp","diacylglycerol O-acyltransferase / trehalose O-mycolyltransferase","0.0071","0.0015","Nocardia nova"
"nno","NONO_c01440","K18851","fbp","diacylglycerol O-acyltransferase / trehalose O-mycolyltransferase","0.0071","0.0015","Nocardia nova"
"nno","NONO_c01450","K18851","fbp","diacylglycerol O-acyltransferase / trehalose O-mycolyltransferase","0.0071","0.0015","Nocardia nova"
"nno","NONO_c01670","K01790","rfbC, rmlC","dTDP-4-dehydrorhamnose 3,5-epimerase","0.0463","0.0857","Nocardia nova"
"nno","NONO_c01680","K00973","E2.7.7.24, rfbA, rffH","glucose-1-phosphate thymidylyltransferase","0.0335","0.0709","Nocardia nova"
"nno","NONO_c01710","K01710","E4.2.1.46, rfbB, rffG","dTDP-glucose 4,6-dehydratase","0.0322","0.0736","Nocardia nova"
"nno","NONO_c01760","K13775","atuG","citronellol/citronellal dehydrogenase","0.0000 ","0.0295","Nocardia nova"
"nno","NONO_c01880","K14219","tRNA-Arg","tRNA Arg","0.0000 ","0.2024","Nocardia nova"
"nno","NONO_c01890","K14233","tRNA-Ser","tRNA Ser","0.0000 ","0.2024","Nocardia nova"
"nno","NONO_c01900","K01061","E3.1.1.45","carboxymethylenebutenolidase","0.0000 ","0.0000 ","Nocardia nova"
"nno","NONO_c01910","K00817","hisC","histidinol-phosphate aminotransferase","0.1003","0.1197","Nocardia nova"
"nno","NONO_c01940","K14233","tRNA-Ser","tRNA Ser","0.0000 ","0.2024","Nocardia nova"
"nno","NONO_c02040","K16163","K16163","maleylpyruvate isomerase","0.0000 ","0.0000 ","Nocardia nova"
"nno","NONO_c02080","K00558","DNMT1, dcm","DNA (cytosine-5)-methyltransferase 1","0.1370","0.1102","Nocardia nova"
"nno","NONO_c02120","K04517","tyrA2","prephenate dehydrogenase","0.0824","0.0517","Nocardia nova"
"nno","NONO_c02150","K14233","tRNA-Ser","tRNA Ser","0.0000 ","0.2024","Nocardia nova"
"nno","NONO_c02290","K01885","EARS, gltX","glutamyl-tRNA synthetase","0.6626","0.5645","Nocardia nova"
"nno","NONO_c02320","K03891","qcrB","ubiquinol-cytochrome c reductase cytochrome b subunit","0.0000 ","0.0162","Nocardia nova"
"nno","NONO_c02390","K14233","tRNA-Ser","tRNA Ser","0.0000 ","0.2024","Nocardia nova"
"nno","NONO_c02470","K04091","ssuD","alkanesulfonate monooxygenase","0.0000 ","0.0079","Nocardia nova"
"nno","NONO_c02500","K17836","penP","beta-lactamase class A","0.0000 ","0.0000 ","Nocardia nova"
"nno","NONO_c02540","K17228","sfnG","dimethylsulfone monooxygenase","0.0000 ","0.0079","Nocardia nova"
"nno","NONO_c02850","K02343","DPO3G, dnaX","DNA polymerase III subunit gamma/tau","0.9384","0.9971","Nocardia nova"
"nno","NONO_c02860","K00626","E2.3.1.9, atoB","acetyl-CoA C-acetyltransferase","0.0206","0.0393","Nocardia nova"
"nno","NONO_c02870","K01782","fadJ","3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase","0.0067","0.0147","Nocardia nova"
"nno","NONO_c02970","K06187","recR","recombination protein RecR","0.0040","0.0446","Nocardia nova"
"nno","NONO_c02990","K01649","leuA, IMS","2-isopropylmalate synthase","0.0107","0.0293","Nocardia nova"
