"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"eru","16S_rRNA","K01977","16SrRNA, rrs","16S ribosomal RNA","0.0000 ","0.3104","Ehrlichia ruminantium Welgevonden (South Africa)"
"eru","23S_rRNA","K01980","23SrRNA, rrl","23S ribosomal RNA","0.0000 ","0.3104","Ehrlichia ruminantium Welgevonden (South Africa)"
"eru","5S_rRNA","K01985","5SrRNA, rrf","5S ribosomal RNA","0.0060","0.3104","Ehrlichia ruminantium Welgevonden (South Africa)"
"eru","Erum0010","K00134","GAPDH, gapA","glyceraldehyde 3-phosphate dehydrogenase","0.5166","0.5281","Ehrlichia ruminantium Welgevonden (South Africa)"
"eru","Erum0030","K00286","proC","pyrroline-5-carboxylate reductase","0.0526","0.0624","Ehrlichia ruminantium Welgevonden (South Africa)"
"eru","Erum0040","K02343","DPO3G, dnaX","DNA polymerase III subunit gamma/tau","0.9384","0.9971","Ehrlichia ruminantium Welgevonden (South Africa)"
"eru","Erum0060","K00133","asd","aspartate-semialdehyde dehydrogenase","0.4295","0.3677","Ehrlichia ruminantium Welgevonden (South Africa)"
"eru","Erum0070","K00789","metK","S-adenosylmethionine synthetase","0.7119","0.5349","Ehrlichia ruminantium Welgevonden (South Africa)"
"eru","Erum0080","K03185","ubiH","2-octaprenyl-6-methoxyphenol hydroxylase","0.4117","0.0775","Ehrlichia ruminantium Welgevonden (South Africa)"
"eru","Erum0110","K01878","glyQ","glycyl-tRNA synthetase alpha chain","0.4306","0.3913","Ehrlichia ruminantium Welgevonden (South Africa)"
"eru","Erum0120","K01879","glyS","glycyl-tRNA synthetase beta chain","0.6310","0.4651","Ehrlichia ruminantium Welgevonden (South Africa)"
"eru","Erum0140","K00767","nadC, QPRT","nicotinate-nucleotide pyrophosphorylase (carboxylating)","0.0445","0.1747","Ehrlichia ruminantium Welgevonden (South Africa)"
"eru","Erum0150","K08591","plsY","glycerol-3-phosphate acyltransferase PlsY","0.6496","0.6200","Ehrlichia ruminantium Welgevonden (South Africa)"
"eru","Erum0160","K01159","ruvC","crossover junction endodeoxyribonuclease RuvC","0.0198","0.0563","Ehrlichia ruminantium Welgevonden (South Africa)"
"eru","Erum0170","K02276","coxC","cytochrome c oxidase subunit III","0.0000 ","0.0169","Ehrlichia ruminantium Welgevonden (South Africa)"
"eru","Erum0180","K01599","hemE, UROD","uroporphyrinogen decarboxylase","0.4306","0.2372","Ehrlichia ruminantium Welgevonden (South Africa)"
"eru","Erum0220","K02169","bioC","malonyl-CoA O-methyltransferase","0.3922","0.0824","Ehrlichia ruminantium Welgevonden (South Africa)"
"eru","Erum0230","K03517","nadA","quinolinate synthase","0.0463","0.1954","Ehrlichia ruminantium Welgevonden (South Africa)"
"eru","Erum0260","K03205","virD4, lvhD4","type IV secretion system protein VirD4","0.0000 ","0.0001","Ehrlichia ruminantium Welgevonden (South Africa)"
"eru","Erum0270","K03196","virB11, lvhB11","type IV secretion system protein VirB11","0.0000 ","0.0012","Ehrlichia ruminantium Welgevonden (South Africa)"
"eru","Erum0280","K03195","virB10, lvhB10","type IV secretion system protein VirB10","0.0000 ","0.0001","Ehrlichia ruminantium Welgevonden (South Africa)"
"eru","Erum0290","K03204","virB9, lvhB9","type IV secretion system protein VirB9","0.0000 ","0.0001","Ehrlichia ruminantium Welgevonden (South Africa)"
"eru","Erum0300","K03203","virB8, lvhB8","type IV secretion system protein VirB8","0.0000 ","0.0001","Ehrlichia ruminantium Welgevonden (South Africa)"
"eru","Erum0310","K01497","ribA, RIB1","GTP cyclohydrolase II","0.4227","0.3180","Ehrlichia ruminantium Welgevonden (South Africa)"
"eru","Erum0340","K01778","dapF","diaminopimelate epimerase","0.3297","0.2269","Ehrlichia ruminantium Welgevonden (South Africa)"
"eru","Erum0360","K00927","PGK, pgk","phosphoglycerate kinase","0.3906","0.5214","Ehrlichia ruminantium Welgevonden (South Africa)"
"eru","Erum0370","K03601","xseA","exodeoxyribonuclease VII large subunit","0.0000 ","0.0099","Ehrlichia ruminantium Welgevonden (South Africa)"
"eru","Erum0390","K00674","dapD","2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase","0.3434","0.1480","Ehrlichia ruminantium Welgevonden (South Africa)"
"eru","Erum0410","K01598","PPCDC, coaC","phosphopantothenoylcysteine decarboxylase","0.4428","0.2067","Ehrlichia ruminantium Welgevonden (South Africa)"
"eru","Erum0420","K03655","recG","ATP-dependent DNA helicase RecG","0.0000 ","0.0283","Ehrlichia ruminantium Welgevonden (South Africa)"
"eru","Erum0430","K00329","E1.6.5.3","NADH dehydrogenase","0.0000 ","0.0363","Ehrlichia ruminantium Welgevonden (South Africa)"
"eru","Erum0450","K02194","ccmB","heme exporter protein B","0.0021","0.0090","Ehrlichia ruminantium Welgevonden (South Africa)"
"eru","Erum0480","K02968","RP-S20, rpsT","small subunit ribosomal protein S20","0.2265","0.4557","Ehrlichia ruminantium Welgevonden (South Africa)"
"eru","Erum0490","K02335","DPO1, polA","DNA polymerase I","0.7656","0.8943","Ehrlichia ruminantium Welgevonden (South Africa)"
"eru","Erum0510","K00611","OTC, argF, argI","ornithine carbamoyltransferase","0.0206","0.0571","Ehrlichia ruminantium Welgevonden (South Africa)"
"eru","Erum0520","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Ehrlichia ruminantium Welgevonden (South Africa)"
