"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"bpla","bpln_1g00010","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Burkholderia plantarii"
"bpla","bpln_1g00020","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Burkholderia plantarii"
"bpla","bpln_1g00060","K03781","katE, CAT, catB, srpA","catalase","0.0000 ","0.0000 ","Burkholderia plantarii"
"bpla","bpln_1g00130","K02421","fliR","flagellar biosynthetic protein FliR","0.0000 ","0.0013","Burkholderia plantarii"
"bpla","bpln_1g00140","K02420","fliQ","flagellar biosynthetic protein FliQ","0.0000 ","0.0013","Burkholderia plantarii"
"bpla","bpln_1g00150","K02419","fliP","flagellar biosynthetic protein FliP","0.0000 ","0.0007","Burkholderia plantarii"
"bpla","bpln_1g00160","K02418","fliOZ, fliO","flagellar protein FliO/FliZ","0.0021","0.0042","Burkholderia plantarii"
"bpla","bpln_1g00170","K02417","fliNY, fliN","flagellar motor switch protein FliN/FliY","0.0067","0.0087","Burkholderia plantarii"
"bpla","bpln_1g00180","K02416","fliM","flagellar motor switch protein FliM","0.0000 ","0.0039","Burkholderia plantarii"
"bpla","bpln_1g00240","K02462","gspM","general secretion pathway protein M","0.0000 ","0.0005","Burkholderia plantarii"
"bpla","bpln_1g00250","K02461","gspL","general secretion pathway protein L","0.0024","0.0036","Burkholderia plantarii"
"bpla","bpln_1g00260","K02460","gspK","general secretion pathway protein K","0.0000 ","0.0005","Burkholderia plantarii"
"bpla","bpln_1g00270","K02459","gspJ","general secretion pathway protein J","0.0000 ","0.0007","Burkholderia plantarii"
"bpla","bpln_1g00280","K02458","gspI","general secretion pathway protein I","0.0000 ","0.0007","Burkholderia plantarii"
"bpla","bpln_1g00290","K02457","gspH","general secretion pathway protein H","0.0029","0.0007","Burkholderia plantarii"
"bpla","bpln_1g00300","K02456","gspG","general secretion pathway protein G","0.0000 ","0.0007","Burkholderia plantarii"
