"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"rsa","RSal33209_0001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Renibacterium salmoninarum"
"rsa","RSal33209_0002","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Renibacterium salmoninarum"
"rsa","RSal33209_0003","K00033","PGD, gnd, gntZ","6-phosphogluconate dehydrogenase","0.0170","0.0284","Renibacterium salmoninarum"
"rsa","RSal33209_0004","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Renibacterium salmoninarum"
"rsa","RSal33209_0009","K14227","tRNA-Ile","tRNA Ile","0.0000 ","0.2024","Renibacterium salmoninarum"
"rsa","RSal33209_0011","K14218","tRNA-Ala","tRNA Ala","0.0060","0.2024","Renibacterium salmoninarum"
"rsa","RSal33209_0015","K03767","PPIA","peptidyl-prolyl cis-trans isomerase A (cyclophilin A)","0.0000 ","0.0178","Renibacterium salmoninarum"
"rsa","RSal33209_0018","K01776","murI","glutamate racemase","0.3599","0.4250","Renibacterium salmoninarum"
"rsa","RSal33209_0027","K03654","recQ","ATP-dependent DNA helicase RecQ","0.0014","0.0359","Renibacterium salmoninarum"
"rsa","RSal33209_0028","K01840","manB","phosphomannomutase","0.0895","0.1754","Renibacterium salmoninarum"
"rsa","RSal33209_0029","K01596","E4.1.1.32, pckA, PCK","phosphoenolpyruvate carboxykinase (GTP)","0.1577","0.0802","Renibacterium salmoninarum"
"rsa","RSal33209_0032","K00681","ggt","gamma-glutamyltranspeptidase / glutathione hydrolase","0.0013","0.0125","Renibacterium salmoninarum"
"rsa","RSal33209_0033","K14219","tRNA-Arg","tRNA Arg","0.0000 ","0.2024","Renibacterium salmoninarum"
"rsa","RSal33209_0037","K01190","lacZ","beta-galactosidase","0.0000 ","0.0000 ","Renibacterium salmoninarum"
"rsa","RSal33209_0038","K01190","lacZ","beta-galactosidase","0.0000 ","0.0000 ","Renibacterium salmoninarum"
"rsa","RSal33209_0039","K00382","DLD, lpd, pdhD","dihydrolipoamide dehydrogenase","0.5030","0.4139","Renibacterium salmoninarum"
"rsa","RSal33209_0058","K00761","upp, UPRT","uracil phosphoribosyltransferase","0.0177","0.1551","Renibacterium salmoninarum"
