"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"bpyr","ABD05_00025","K01972","E6.5.1.2, ligA, ligB","DNA ligase (NAD+)","0.7656","0.6583","Burkholderia pyrrocinia"
"bpyr","ABD05_00045","K14267","dapC","N-succinyldiaminopimelate aminotransferase","0.3392","0.1087","Burkholderia pyrrocinia"
"bpyr","ABD05_00050","K00674","dapD","2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase","0.3434","0.1480","Burkholderia pyrrocinia"
"bpyr","ABD05_00060","K01439","dapE","succinyl-diaminopimelate desuccinylase","0.3579","0.1038","Burkholderia pyrrocinia"
"bpyr","ABD05_00070","K06131","clsA_B","cardiolipin synthase A/B","0.0144","0.0916","Burkholderia pyrrocinia"
"bpyr","ABD05_00075","K00432","gpx","glutathione peroxidase","0.0000 ","0.0000 ","Burkholderia pyrrocinia"
"bpyr","ABD05_00095","K01775","alr","alanine racemase","0.3752","0.4780","Burkholderia pyrrocinia"
"bpyr","ABD05_00105","K00941","thiD","hydroxymethylpyrimidine/phosphomethylpyrimidine kinase","0.1238","0.1645","Burkholderia pyrrocinia"
"bpyr","ABD05_00115","K21929","udg","uracil-DNA glycosylase","0.0000 ","0.0182","Burkholderia pyrrocinia"
"bpyr","ABD05_00140","K01637","E4.1.3.1, aceA","isocitrate lyase","0.0000 ","0.0000 ","Burkholderia pyrrocinia"
"bpyr","ABD05_00155","K01560","E3.8.1.2","2-haloacid dehalogenase","0.0000 ","0.0388","Burkholderia pyrrocinia"
"bpyr","ABD05_00160","K01638","aceB, glcB","malate synthase","0.0000 ","0.0000 ","Burkholderia pyrrocinia"
"bpyr","ABD05_00180","K14221","tRNA-Asp","tRNA Asp","0.0000 ","0.2024","Burkholderia pyrrocinia"
"bpyr","ABD05_00185","K14224","tRNA-Glu","tRNA Glu","0.0000 ","0.2024","Burkholderia pyrrocinia"
"bpyr","ABD05_00190","K14221","tRNA-Asp","tRNA Asp","0.0000 ","0.2024","Burkholderia pyrrocinia"
"bpyr","ABD05_00195","K14224","tRNA-Glu","tRNA Glu","0.0000 ","0.2024","Burkholderia pyrrocinia"
"bpyr","ABD05_00200","K14221","tRNA-Asp","tRNA Asp","0.0000 ","0.2024","Burkholderia pyrrocinia"
"bpyr","ABD05_00205","K14224","tRNA-Glu","tRNA Glu","0.0000 ","0.2024","Burkholderia pyrrocinia"
"bpyr","ABD05_00210","K14218","tRNA-Ala","tRNA Ala","0.0060","0.2024","Burkholderia pyrrocinia"
"bpyr","ABD05_00215","K01885","EARS, gltX","glutamyl-tRNA synthetase","0.6626","0.5645","Burkholderia pyrrocinia"
"bpyr","ABD05_00230","K13896","yejF","microcin C transport system ATP-binding protein","0.0022","0.0086","Burkholderia pyrrocinia"
"bpyr","ABD05_00235","K13895","yejE","microcin C transport system permease protein","0.0000 ","0.0053","Burkholderia pyrrocinia"
"bpyr","ABD05_00240","K13894","yejB","microcin C transport system permease protein","0.0000 ","0.0053","Burkholderia pyrrocinia"
"bpyr","ABD05_00245","K13893","yejA","microcin C transport system substrate-binding protein","0.0000 ","0.0053","Burkholderia pyrrocinia"
"bpyr","ABD05_00255","K02300","cyoD","cytochrome o ubiquinol oxidase subunit IV","0.0091","0.0184","Burkholderia pyrrocinia"
"bpyr","ABD05_00260","K02299","cyoC","cytochrome o ubiquinol oxidase subunit III","0.0022","0.0169","Burkholderia pyrrocinia"
"bpyr","ABD05_00265","K02298","cyoB","cytochrome o ubiquinol oxidase subunit I","0.0000 ","0.0160","Burkholderia pyrrocinia"
"bpyr","ABD05_00270","K02297","cyoA","cytochrome o ubiquinol oxidase subunit II","0.0022","0.0171","Burkholderia pyrrocinia"
"bpyr","ABD05_00280","K00342","nuoM","NADH-quinone oxidoreductase subunit M","0.1462","0.0896","Burkholderia pyrrocinia"
"bpyr","ABD05_00290","K14233","tRNA-Ser","tRNA Ser","0.0000 ","0.2024","Burkholderia pyrrocinia"
"bpyr","ABD05_00295","K00928","lysC","aspartate kinase","0.3479","0.4527","Burkholderia pyrrocinia"
"bpyr","ABD05_00305","K01962","accA","acetyl-CoA carboxylase carboxyl transferase subunit alpha","0.6626","0.6603","Burkholderia pyrrocinia"
"bpyr","ABD05_00310","K01247","alkA","DNA-3-methyladenine glycosylase II","0.0000 ","0.0035","Burkholderia pyrrocinia"
"bpyr","ABD05_00315","K01883","CARS, cysS","cysteinyl-tRNA synthetase","0.6601","0.3696","Burkholderia pyrrocinia"
"bpyr","ABD05_00325","K03767","PPIA","peptidyl-prolyl cis-trans isomerase A (cyclophilin A)","0.0000 ","0.0178","Burkholderia pyrrocinia"
"bpyr","ABD05_00335","K03269","lpxH","UDP-2,3-diacylglucosamine hydrolase","0.3317","0.1700","Burkholderia pyrrocinia"
"bpyr","ABD05_00340","K00640","cysE","serine O-acetyltransferase","0.0386","0.0820","Burkholderia pyrrocinia"
"bpyr","ABD05_00350","K01092","E3.1.3.25, IMPA, suhB","myo-inositol-1(or 4)-monophosphatase","0.1110","0.1479","Burkholderia pyrrocinia"
"bpyr","ABD05_00360","K03555","mutS","DNA mismatch repair protein MutS","0.0046","0.0241","Burkholderia pyrrocinia"
"bpyr","ABD05_00390","K01714","dapA","4-hydroxy-tetrahydrodipicolinate synthase","0.4899","0.3442","Burkholderia pyrrocinia"
"bpyr","ABD05_00400","K01867","WARS, trpS","tryptophanyl-tRNA synthetase","0.5166","0.4923","Burkholderia pyrrocinia"
"bpyr","ABD05_00450","K01689","ENO, eno","enolase","0.4306","0.5736","Burkholderia pyrrocinia"
"bpyr","ABD05_00455","K01627","kdsA","2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase)","0.2898","0.2015","Burkholderia pyrrocinia"
"bpyr","ABD05_00460","K01937","pyrG, CTPS","CTP synthase","0.7895","0.5413","Burkholderia pyrrocinia"
"bpyr","ABD05_00480","K09810","lolD","lipoprotein-releasing system ATP-binding protein","0.3618","0.0231","Burkholderia pyrrocinia"
"bpyr","ABD05_00485","K09808","lolC_E","lipoprotein-releasing system permease protein","0.4739","0.1800","Burkholderia pyrrocinia"
"bpyr","ABD05_00495","K07462","recJ","single-stranded-DNA-specific exonuclease","0.0042","0.0324","Burkholderia pyrrocinia"
"bpyr","ABD05_00505","K04567","KARS, lysS","lysyl-tRNA synthetase, class II","0.4899","0.4350","Burkholderia pyrrocinia"
"bpyr","ABD05_00545","K04487","iscS, NFS1","cysteine desulfurase","0.4010","0.3030","Burkholderia pyrrocinia"
"bpyr","ABD05_00590","K00382","DLD, lpd, pdhD","dihydrolipoamide dehydrogenase","0.5030","0.4139","Burkholderia pyrrocinia"
"bpyr","ABD05_00595","K00627","DLAT, aceF, pdhC","pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)","0.0899","0.1582","Burkholderia pyrrocinia"
"bpyr","ABD05_00600","K00163","aceE","pyruvate dehydrogenase E1 component","0.0071","0.0586","Burkholderia pyrrocinia"
