"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"has","Halsa_0001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Halanaerobium hydrogeniformans"
"has","Halsa_0002","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Halanaerobium hydrogeniformans"
"has","Halsa_0004","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Halanaerobium hydrogeniformans"
"has","Halsa_0009","K00864","glpK, GK","glycerol kinase","0.0046","0.0302","Halanaerobium hydrogeniformans"
"has","Halsa_0010","K00111","glpA, glpD","glycerol-3-phosphate dehydrogenase","0.0013","0.0904","Halanaerobium hydrogeniformans"
"has","Halsa_0014","K05878","dhaK","dihydroxyacetone kinase, N-terminal domain","0.0051","0.0026","Halanaerobium hydrogeniformans"
"has","Halsa_0015","K05879","dhaL","dihydroxyacetone kinase, C-terminal domain","0.0051","0.0026","Halanaerobium hydrogeniformans"
"has","Halsa_0016","K05881","dhaM","PTS hybrid protein","0.0000 ","0.0266","Halanaerobium hydrogeniformans"
"has","Halsa_0018","K00882","fruK","1-phosphofructokinase","0.0000 ","0.0906","Halanaerobium hydrogeniformans"
"has","Halsa_0019","K02806","PTS-Ntr-EIIA, ptsN","PTS system, nitrogen regulatory IIA component","0.0160","0.0050","Halanaerobium hydrogeniformans"
"has","Halsa_0020","K02769","PTS-Fru-EIIB, fruA","PTS system, fructose-specific IIB component","0.0017","0.0026","Halanaerobium hydrogeniformans"
"has","Halsa_0023","K01875","SARS, serS","seryl-tRNA synthetase","0.6103","0.5347","Halanaerobium hydrogeniformans"
"has","Halsa_0024","K01625","eda","2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase","0.0053","0.0197","Halanaerobium hydrogeniformans"
"has","Halsa_0025","K00874","kdgK","2-dehydro-3-deoxygluconokinase","0.0018","0.0093","Halanaerobium hydrogeniformans"
"has","Halsa_0026","K00874","kdgK","2-dehydro-3-deoxygluconokinase","0.0018","0.0093","Halanaerobium hydrogeniformans"
"has","Halsa_0027","K00525","E1.17.4.1A, nrdA, nrdE","ribonucleoside-diphosphate reductase alpha chain","0.7656","0.6595","Halanaerobium hydrogeniformans"
"has","Halsa_0029","K00058","serA, PHGDH","D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase","0.1073","0.1203","Halanaerobium hydrogeniformans"
"has","Halsa_0038","K01841","pepM","phosphoenolpyruvate phosphomutase","0.0071","0.0071","Halanaerobium hydrogeniformans"
"has","Halsa_0039","K09459","E4.1.1.82","phosphonopyruvate decarboxylase","0.0071","0.0206","Halanaerobium hydrogeniformans"
"has","Halsa_0059","K13015","wbpA","UDP-N-acetyl-D-glucosamine dehydrogenase","0.0071","0.0181","Halanaerobium hydrogeniformans"
"has","Halsa_0060","K08679","E5.1.3.6","UDP-glucuronate 4-epimerase","0.0035","0.0200","Halanaerobium hydrogeniformans"
"has","Halsa_0097","K06131","clsA_B","cardiolipin synthase A/B","0.0144","0.0916","Halanaerobium hydrogeniformans"
"has","Halsa_0099","K03406","mcp","methyl-accepting chemotaxis protein","0.0071","0.0042","Halanaerobium hydrogeniformans"
"has","Halsa_0102","K01923","purC","phosphoribosylaminoimidazole-succinocarboxamide synthase","0.0544","0.0920","Halanaerobium hydrogeniformans"
"has","Halsa_0109","K01493","comEB","dCMP deaminase","0.1422","0.1520","Halanaerobium hydrogeniformans"
"has","Halsa_0117","K01784","galE, GALE","UDP-glucose 4-epimerase","0.0526","0.0568","Halanaerobium hydrogeniformans"
"has","Halsa_0118","K00849","galK","galactokinase","0.0000 ","0.0261","Halanaerobium hydrogeniformans"
"has","Halsa_0119","K00965","galT, GALT","UDPglucose--hexose-1-phosphate uridylyltransferase","0.1770","0.1774","Halanaerobium hydrogeniformans"
"has","Halsa_0129","K02619","pabC","4-amino-4-deoxychorismate lyase","0.0017","0.1705","Halanaerobium hydrogeniformans"
"has","Halsa_0130","K01665","pabB","para-aminobenzoate synthetase component I","0.0137","0.1631","Halanaerobium hydrogeniformans"
"has","Halsa_0131","K01658","trpG","anthranilate synthase component II","0.0482","0.0712","Halanaerobium hydrogeniformans"
"has","Halsa_0133","K05979","comB","2-phosphosulfolactate phosphatase","0.0060","0.0010","Halanaerobium hydrogeniformans"
"has","Halsa_0135","K02773","PTS-Gat-EIIA, gatA, sgcA","PTS system, galactitol-specific IIA component","0.0039","0.0034","Halanaerobium hydrogeniformans"
"has","Halsa_0136","K02774","PTS-Gat-EIIB, gatB, sgcB","PTS system, galactitol-specific IIB component","0.0039","0.0207","Halanaerobium hydrogeniformans"
"has","Halsa_0137","K02775","PTS-Gat-EIIC, gatC, sgcC","PTS system, galactitol-specific IIC component","0.0035","0.0014","Halanaerobium hydrogeniformans"
"has","Halsa_0141","K02760","PTS-Cel-EIIB, celA, chbB","PTS system, cellobiose-specific IIB component","0.0029","0.0027","Halanaerobium hydrogeniformans"
"has","Halsa_0142","K02761","PTS-Cel-EIIC, celB, chbC","PTS system, cellobiose-specific IIC component","0.0000 ","0.0002","Halanaerobium hydrogeniformans"
"has","Halsa_0143","K02759","PTS-Cel-EIIA, celC, chbA","PTS system, cellobiose-specific IIA component","0.0000 ","0.0002","Halanaerobium hydrogeniformans"
"has","Halsa_0144","K01222","E3.2.1.86A, celF","6-phospho-beta-glucosidase","0.0000 ","0.0000 ","Halanaerobium hydrogeniformans"
"has","Halsa_0145","K01223","E3.2.1.86B, bglA","6-phospho-beta-glucosidase","0.0000 ","0.0004","Halanaerobium hydrogeniformans"
"has","Halsa_0149","K02803","PTS-Nag-EIIB, nagE","PTS system, N-acetylglucosamine-specific IIB component","0.0022","0.0007","Halanaerobium hydrogeniformans"
"has","Halsa_0150","K02777","PTS-Glc-EIIA, crr","PTS system, sugar-specific IIA component","0.0192","0.0150","Halanaerobium hydrogeniformans"
"has","Halsa_0151","K02564","nagB, GNPDA","glucosamine-6-phosphate deaminase","0.0075","0.0248","Halanaerobium hydrogeniformans"
"has","Halsa_0152","K01443","nagA, AMDHD2","N-acetylglucosamine-6-phosphate deacetylase","0.0053","0.0294","Halanaerobium hydrogeniformans"
"has","Halsa_0160","K10441","rbsA","ribose transport system ATP-binding protein","0.0000 ","0.0057","Halanaerobium hydrogeniformans"
"has","Halsa_0161","K10440","rbsC","ribose transport system permease protein","0.0000 ","0.0053","Halanaerobium hydrogeniformans"
"has","Halsa_0162","K10439","rbsB","ribose transport system substrate-binding protein","0.0020","0.0020","Halanaerobium hydrogeniformans"
"has","Halsa_0166","K00627","DLAT, aceF, pdhC","pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)","0.0899","0.1582","Halanaerobium hydrogeniformans"
"has","Halsa_0167","K10440","rbsC","ribose transport system permease protein","0.0000 ","0.0053","Halanaerobium hydrogeniformans"
"has","Halsa_0168","K10440","rbsC","ribose transport system permease protein","0.0000 ","0.0053","Halanaerobium hydrogeniformans"
"has","Halsa_0169","K10439","rbsB","ribose transport system substrate-binding protein","0.0020","0.0020","Halanaerobium hydrogeniformans"
"has","Halsa_0170","K10441","rbsA","ribose transport system ATP-binding protein","0.0000 ","0.0057","Halanaerobium hydrogeniformans"
"has","Halsa_0171","K00010","iolG","myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase","0.0000 ","0.0012","Halanaerobium hydrogeniformans"
"has","Halsa_0172","K19974","acbO","2-epi-5-epi-valiolone 7-phosphate 2-epimerase","0.0000 ","0.0000 ","Halanaerobium hydrogeniformans"
"has","Halsa_0173","K00059","fabG","3-oxoacyl-[acyl-carrier protein] reductase","0.7026","0.4376","Halanaerobium hydrogeniformans"
"has","Halsa_0175","K18119","sucD","succinate-semialdehyde dehydrogenase","0.0080","0.0208","Halanaerobium hydrogeniformans"
"has","Halsa_0176","K01903","sucC","succinyl-CoA synthetase beta subunit","0.0322","0.0831","Halanaerobium hydrogeniformans"
"has","Halsa_0177","K01902","sucD","succinyl-CoA synthetase alpha subunit","0.0631","0.0742","Halanaerobium hydrogeniformans"
"has","Halsa_0178","K00382","DLD, lpd, pdhD","dihydrolipoamide dehydrogenase","0.5030","0.4139","Halanaerobium hydrogeniformans"
"has","Halsa_0179","K00027","ME2, sfcA, maeA","malate dehydrogenase (oxaloacetate-decarboxylating)","0.0016","0.0078","Halanaerobium hydrogeniformans"
"has","Halsa_0180","K00027","ME2, sfcA, maeA","malate dehydrogenase (oxaloacetate-decarboxylating)","0.0016","0.0078","Halanaerobium hydrogeniformans"
"has","Halsa_0186","K01507","ppa","inorganic pyrophosphatase","0.3722","0.1858","Halanaerobium hydrogeniformans"
"has","Halsa_0193","K03406","mcp","methyl-accepting chemotaxis protein","0.0071","0.0042","Halanaerobium hydrogeniformans"
"has","Halsa_0200","K01955","carB, CPA2","carbamoyl-phosphate synthase large subunit","0.4583","0.4389","Halanaerobium hydrogeniformans"
"has","Halsa_0204","K01915","glnA, GLUL","glutamine synthetase","0.4736","0.4162","Halanaerobium hydrogeniformans"
"has","Halsa_0211","K00303","soxB","sarcosine oxidase, subunit beta","0.0000 ","0.0023","Halanaerobium hydrogeniformans"
"has","Halsa_0224","K03575","mutY","A/G-specific adenine glycosylase","0.0000 ","0.0035","Halanaerobium hydrogeniformans"
"has","Halsa_0226","K00558","DNMT1, dcm","DNA (cytosine-5)-methyltransferase 1","0.1370","0.1102","Halanaerobium hydrogeniformans"
"has","Halsa_0247","K00854","xylB, XYLB","xylulokinase","0.0000 ","0.0007","Halanaerobium hydrogeniformans"
"has","Halsa_0264","K00826","E2.6.1.42, ilvE","branched-chain amino acid aminotransferase","0.0166","0.0653","Halanaerobium hydrogeniformans"
"has","Halsa_0266","K01736","aroC","chorismate synthase","0.1496","0.1733","Halanaerobium hydrogeniformans"
"has","Halsa_0268","K00766","trpD","anthranilate phosphoribosyltransferase","0.0503","0.0927","Halanaerobium hydrogeniformans"
"has","Halsa_0273","K09815","znuA","zinc transport system substrate-binding protein","0.0064","0.0067","Halanaerobium hydrogeniformans"
"has","Halsa_0274","K09817","znuC","zinc transport system ATP-binding protein","0.0000 ","0.0053","Halanaerobium hydrogeniformans"
"has","Halsa_0275","K09816","znuB","zinc transport system permease protein","0.0016","0.0058","Halanaerobium hydrogeniformans"
"has","Halsa_0302","K02035","ABC.PE.S","peptide/nickel transport system substrate-binding protein","0.0016","0.0015","Halanaerobium hydrogeniformans"
"has","Halsa_0303","K02033","ABC.PE.P","peptide/nickel transport system permease protein","0.0016","0.0026","Halanaerobium hydrogeniformans"
"has","Halsa_0304","K02034","ABC.PE.P1","peptide/nickel transport system permease protein","0.0075","0.0026","Halanaerobium hydrogeniformans"
"has","Halsa_0305","K02031","ABC.PE.A","peptide/nickel transport system ATP-binding protein","0.0000 ","0.0004","Halanaerobium hydrogeniformans"
"has","Halsa_0306","K02032","ABC.PE.A1","peptide/nickel transport system ATP-binding protein","0.0000 ","0.0004","Halanaerobium hydrogeniformans"
"has","Halsa_0309","K21071","pfk, pfp","ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase","0.5916","0.5034","Halanaerobium hydrogeniformans"
"has","Halsa_0313","K00059","fabG","3-oxoacyl-[acyl-carrier protein] reductase","0.7026","0.4376","Halanaerobium hydrogeniformans"
"has","Halsa_0314","K01623","ALDO","fructose-bisphosphate aldolase, class I","0.5680","0.5267","Halanaerobium hydrogeniformans"
"has","Halsa_0318","K02083","allC","allantoate deiminase","0.0000 ","0.0650","Halanaerobium hydrogeniformans"
"has","Halsa_0321","K03652","MPG","DNA-3-methyladenine glycosylase","0.0000 ","0.0035","Halanaerobium hydrogeniformans"
"has","Halsa_0336","K02343","DPO3G, dnaX","DNA polymerase III subunit gamma/tau","0.9384","0.9971","Halanaerobium hydrogeniformans"
"has","Halsa_0338","K06187","recR","recombination protein RecR","0.0040","0.0446","Halanaerobium hydrogeniformans"
"has","Halsa_0339","K00088","IMPDH, guaB","IMP dehydrogenase","0.3003","0.3932","Halanaerobium hydrogeniformans"
"has","Halsa_0340","K00384","trxB","thioredoxin reductase (NADPH)","0.1650","0.2275","Halanaerobium hydrogeniformans"
"has","Halsa_0341","K00943","tmk, DTYMK","dTMP kinase","0.7026","0.4891","Halanaerobium hydrogeniformans"
"has","Halsa_0343","K02341","DPO3D2, holB","DNA polymerase III subunit delta","0.9384","0.9971","Halanaerobium hydrogeniformans"
"has","Halsa_0348","K01874","MARS, metG","methionyl-tRNA synthetase","0.3906","0.3932","Halanaerobium hydrogeniformans"
"has","Halsa_0352","K00259","ald","alanine dehydrogenase","0.3500","0.2236","Halanaerobium hydrogeniformans"
"has","Halsa_0353","K01775","alr","alanine racemase","0.3752","0.4780","Halanaerobium hydrogeniformans"
"has","Halsa_0360","K03517","nadA","quinolinate synthase","0.0463","0.1954","Halanaerobium hydrogeniformans"
"has","Halsa_0361","K00278","nadB","L-aspartate oxidase","0.0858","0.1247","Halanaerobium hydrogeniformans"
"has","Halsa_0362","K00767","nadC, QPRT","nicotinate-nucleotide pyrophosphorylase (carboxylating)","0.0445","0.1747","Halanaerobium hydrogeniformans"
"has","Halsa_0365","K04518","pheA2","prephenate dehydratase","0.1142","0.0816","Halanaerobium hydrogeniformans"
"has","Halsa_0366","K03856","AROA2, aroA","3-deoxy-7-phosphoheptulonate synthase","0.1270","0.0894","Halanaerobium hydrogeniformans"
"has","Halsa_0367","K04517","tyrA2","prephenate dehydrogenase","0.0824","0.0517","Halanaerobium hydrogeniformans"
"has","Halsa_0368","K00800","aroA","3-phosphoshikimate 1-carboxyvinyltransferase","0.1299","0.1579","Halanaerobium hydrogeniformans"
"has","Halsa_0369","K00817","hisC","histidinol-phosphate aminotransferase","0.1003","0.1197","Halanaerobium hydrogeniformans"
"has","Halsa_0370","K03856","AROA2, aroA","3-deoxy-7-phosphoheptulonate synthase","0.1270","0.0894","Halanaerobium hydrogeniformans"
"has","Halsa_0371","K01736","aroC","chorismate synthase","0.1496","0.1733","Halanaerobium hydrogeniformans"
"has","Halsa_0380","K01887","RARS, argS","arginyl-tRNA synthetase","0.5800","0.5082","Halanaerobium hydrogeniformans"
"has","Halsa_0381","K01937","pyrG, CTPS","CTP synthase","0.7895","0.5413","Halanaerobium hydrogeniformans"
"has","Halsa_0382","K01715","crt","enoyl-CoA hydratase","0.0241","0.0208","Halanaerobium hydrogeniformans"
"has","Halsa_0384","K01624","FBA, fbaA","fructose-bisphosphate aldolase, class II","0.5327","0.3946","Halanaerobium hydrogeniformans"
"has","Halsa_0386","K03628","rho","transcription termination factor Rho","0.2427","0.1615","Halanaerobium hydrogeniformans"
"has","Halsa_0387","K02909","RP-L31, rpmE","large subunit ribosomal protein L31","0.1218","0.4008","Halanaerobium hydrogeniformans"
"has","Halsa_0388","K00857","tdk, TK","thymidine kinase","0.0402","0.0518","Halanaerobium hydrogeniformans"
"has","Halsa_0393","K00761","upp, UPRT","uracil phosphoribosyltransferase","0.0177","0.1551","Halanaerobium hydrogeniformans"
"has","Halsa_0396","K02108","ATPF0A, atpB","F-type H+-transporting ATPase subunit a","0.3003","0.3956","Halanaerobium hydrogeniformans"
"has","Halsa_0399","K02110","ATPF0C, atpE","F-type H+-transporting ATPase subunit c","0.2416","0.2823","Halanaerobium hydrogeniformans"
