"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"sii","LD85_0005","K01724","PCBD, phhB","4a-hydroxytetrahydrobiopterin dehydratase","0.0024","0.0094","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0033","K01895","ACSS, acs","acetyl-CoA synthetase","0.0111","0.0269","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0035","K00858","ppnK, NADK","NAD+ kinase","0.5327","0.4578","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0053","K15634","gpmB","probable phosphoglycerate mutase","0.4010","0.3040","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0057","K01239","iunH","purine nucleosidase","0.0221","0.0143","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0069","K01595","ppc","phosphoenolpyruvate carboxylase","0.0895","0.1205","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0072","K17218","sqr","sulfide:quinone oxidoreductase","0.0000 ","0.0087","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0076","K01849","E5.4.99.2B, mcmA2","methylmalonyl-CoA mutase, C-terminal domain","0.0080","0.1113","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0085","K01714","dapA","4-hydroxy-tetrahydrodipicolinate synthase","0.4899","0.3442","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0086","K21929","udg","uracil-DNA glycosylase","0.0000 ","0.0182","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0087","K00059","fabG","3-oxoacyl-[acyl-carrier protein] reductase","0.7026","0.4376","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0092","K01883","CARS, cysS","cysteinyl-tRNA synthetase","0.6601","0.3696","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0093","K15916","pgi-pmi","glucose/mannose-6-phosphate isomerase","0.5211","0.3791","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0101","K00059","fabG","3-oxoacyl-[acyl-carrier protein] reductase","0.7026","0.4376","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0102","K01142","E3.1.11.2, xthA","exodeoxyribonuclease III","0.0010","0.0110","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0107","K03399","cbiE","cobalt-precorrin-7 (C5)-methyltransferase","0.0000 ","0.0280","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0108","K02189","cbiG","cobalt-precorrin 5A hydrolase","0.0026","0.0308","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0109","K05936","cobM, cbiF","precorrin-4/cobalt-precorrin-4 C11-methyltransferase","0.0024","0.0310","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0110","K03394","cobI-cbiL","precorrin-2/cobalt-factor-2 C20-methyltransferase","0.0022","0.0296","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0111","K02191","cbiT","cobalt-precorrin-6B (C15)-methyltransferase","0.0000 ","0.0280","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0112","K02188","cbiD","cobalt-precorrin-5B (C1)-methyltransferase","0.0024","0.0310","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0114","K06042","cobH-cbiC","precorrin-8X/cobalt-precorrin-8 methylmutase","0.0026","0.0308","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0142","K03265","ETF1, ERF1","peptide chain release factor subunit 1","0.0000 ","","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0144","K00772","mtaP, MTAP","5-methylthioadenosine phosphorylase","0.0000 ","0.0207","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0146","K21268","gdS-2","hexaprenyl diphosphate synthase","0.0000 ","0.0793","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0158","K01101","E3.1.3.41","4-nitrophenyl phosphatase","0.0000 ","0.0170","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0159","K00239","sdhA, frdA","succinate dehydrogenase / fumarate reductase, flavoprotein subunit","0.2684","0.2219","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0160","K00240","sdhB, frdB","succinate dehydrogenase / fumarate reductase, iron-sulfur subunit","0.2338","0.2373","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0161","K00241","sdhC, frdC","succinate dehydrogenase / fumarate reductase, cytochrome b subunit","0.2684","0.2467","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0162","K18859","sdhD, frdD","succinate dehydrogenase / fumarate reductase, subunit D","0.3615","0.1491","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0165","K07466","RFA1, RPA1, rpa","replication factor A1","0.0000 ","","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0167","K03750","moeA","molybdopterin molybdotransferase","0.0051","0.1550","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0168","K00872","thrB1","homoserine kinase","0.0895","0.1017","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0169","K01739","metB","cystathionine gamma-synthase","0.0321","0.0993","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0177","K00626","E2.3.1.9, atoB","acetyl-CoA C-acetyltransferase","0.0206","0.0393","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0182","K03470","rnhB","ribonuclease HII","0.0093","0.1015","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0187","K01507","ppa","inorganic pyrophosphatase","0.3722","0.1858","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0189","K21219","thiDN","hydroxymethylpyrimidine kinase / phosphomethylpyrimidine kinase / thiamine-phosphate diphosphorylase","0.2981","0.0693","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0190","K21142","moaX","MoaE-MoaD fusion protein","0.0464","0.0116","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0193","K06982","pok","pantoate kinase","0.0000 ","0.1863","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0194","K09722","K09722, pps","4-phosphopantoate---beta-alanine ligase","0.0000 ","0.1175","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0195","K00606","panB","3-methyl-2-oxobutanoate hydroxymethyltransferase","0.1192","0.2722","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0204","K01649","leuA, IMS","2-isopropylmalate synthase","0.0107","0.0293","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0205","K07142","mptE","2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase","0.0000 ","0.0063","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0210","K01737","queD, ptpS, PTS","6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase","0.0013","0.1482","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0213","K00384","trxB","thioredoxin reductase (NADPH)","0.1650","0.2275","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0214","K01092","E3.1.3.25, IMPA, suhB","myo-inositol-1(or 4)-monophosphatase","0.1110","0.1479","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0220","K01848","E5.4.99.2A, mcmA1","methylmalonyl-CoA mutase, N-terminal domain","0.0080","0.1113","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0221","K05606","MCEE, epi","methylmalonyl-CoA/ethylmalonyl-CoA epimerase","0.0031","0.1112","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0227","K07141","mocA","molybdenum cofactor cytidylyltransferase","0.0000 ","0.0063","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0231","K02303","cobA","uroporphyrin-III C-methyltransferase","0.0180","0.0406","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0237","K01915","glnA, GLUL","glutamine synthetase","0.4736","0.4162","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0239","K02873","RP-L13e, RPL13","large subunit ribosomal protein L13e","0.0000 ","0.3104","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0243","K00852","rbsK, RBKS","ribokinase","0.0015","0.0048","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0245","K01951","guaA, GMPS","GMP synthase (glutamine-hydrolysing)","0.4583","0.4623","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0258","K15036","K15036","acetyl-CoA/propionyl-CoA carboxylase","0.6172","0.1973","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0259","K15037","K15037","biotin carboxyl carrier protein","0.6172","0.3816","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0260","K01964","K01964","acetyl-CoA/propionyl-CoA carboxylase","0.6172","0.2733","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0264","K01704","leuD, IPMI-S","3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit","0.0482","0.0748","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0265","K01703","leuC, IPMI-L","3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit","0.0463","0.0763","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0280","K01902","sucD","succinyl-CoA synthetase alpha subunit","0.0631","0.0742","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0281","K01903","sucC","succinyl-CoA synthetase beta subunit","0.0322","0.0831","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0284","K01868","TARS, thrS","threonyl-tRNA synthetase","0.6103","0.5347","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0293","K00626","E2.3.1.9, atoB","acetyl-CoA C-acetyltransferase","0.0206","0.0393","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0295","K00526","E1.17.4.1B, nrdB, nrdF","ribonucleoside-diphosphate reductase beta chain","0.7656","0.6595","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0296","K00059","fabG","3-oxoacyl-[acyl-carrier protein] reductase","0.7026","0.4376","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0297","K13953","adhP","alcohol dehydrogenase, propanol-preferring","0.0180","0.0178","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0308","K15016","K15016","enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase","0.0286","0.0038","Sulfolobus islandicus L.D.8.5"
"sii","LD85_0319","K00111","glpA, glpD","glycerol-3-phosphate dehydrogenase","0.0013","0.0904","Sulfolobus islandicus L.D.8.5"
