"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"nre","BES08_00005","K03767","PPIA","peptidyl-prolyl cis-trans isomerase A (cyclophilin A)","0.0000 ","0.0178","Novosphingobium resinovorum"
"nre","BES08_00030","K14233","tRNA-Ser","tRNA Ser","0.0000 ","0.2024","Novosphingobium resinovorum"
"nre","BES08_00045","K01729","algL","poly(beta-D-mannuronate) lyase","0.0000 ","0.0205","Novosphingobium resinovorum"
"nre","BES08_00060","K00059","fabG","3-oxoacyl-[acyl-carrier protein] reductase","0.7026","0.4376","Novosphingobium resinovorum"
"nre","BES08_00080","K00874","kdgK","2-dehydro-3-deoxygluconokinase","0.0018","0.0093","Novosphingobium resinovorum"
"nre","BES08_00110","K05349","bglX","beta-glucosidase","0.0024","0.0063","Novosphingobium resinovorum"
"nre","BES08_00120","K05349","bglX","beta-glucosidase","0.0024","0.0063","Novosphingobium resinovorum"
"nre","BES08_00235","K00108","betA, CHDH","choline dehydrogenase","0.0000 ","0.0107","Novosphingobium resinovorum"
"nre","BES08_00260","K15918","GLYK","D-glycerate 3-kinase","0.0000 ","0.0000 ","Novosphingobium resinovorum"
"nre","BES08_00290","K13877","aldH","2,5-dioxopentanoate dehydrogenase","0.0000 ","0.0217","Novosphingobium resinovorum"
"nre","BES08_00320","K15554","ssuC","sulfonate transport system permease protein","0.0000 ","0.0007","Novosphingobium resinovorum"
"nre","BES08_00325","K15555","ssuB","sulfonate transport system ATP-binding protein","0.0000 ","0.0000 ","Novosphingobium resinovorum"
"nre","BES08_00340","K04091","ssuD","alkanesulfonate monooxygenase","0.0000 ","0.0079","Novosphingobium resinovorum"
"nre","BES08_00350","K03119","tauD","taurine dioxygenase","0.0000 ","0.0000 ","Novosphingobium resinovorum"
"nre","BES08_00355","K15553","ssuA","sulfonate transport system substrate-binding protein","0.0000 ","0.0000 ","Novosphingobium resinovorum"
"nre","BES08_00395","K01607","pcaC","4-carboxymuconolactone decarboxylase","0.0000 ","0.0000 ","Novosphingobium resinovorum"
"nre","BES08_00415","K11103","dctA","aerobic C4-dicarboxylate transport protein","0.0016","0.0023","Novosphingobium resinovorum"
"nre","BES08_00420","K10125","dctB","two-component system, NtrC family, C4-dicarboxylate transport sensor histidine kinase DctB","0.0000 ","0.0007","Novosphingobium resinovorum"
"nre","BES08_00425","K10126","dctD","two-component system, NtrC family, C4-dicarboxylate transport response regulator DctD","0.0000 ","0.0011","Novosphingobium resinovorum"
"nre","BES08_00445","K16422","hmo, nocN","4-hydroxymandelate oxidase","0.0000 ","0.0203","Novosphingobium resinovorum"
"nre","BES08_00495","K14940","cofF","gamma-F420-2:alpha-L-glutamate ligase","0.0000 ","0.0061","Novosphingobium resinovorum"
"nre","BES08_00520","K10805","tesB","acyl-CoA thioesterase II","0.0000 ","0.0033","Novosphingobium resinovorum"
"nre","BES08_00530","K01897","ACSL, fadD","long-chain acyl-CoA synthetase","0.0000 ","0.0000 ","Novosphingobium resinovorum"
"nre","BES08_00545","K00632","fadA, fadI","acetyl-CoA acyltransferase","0.0067","0.0198","Novosphingobium resinovorum"
"nre","BES08_00550","K07516","fadN","3-hydroxyacyl-CoA dehydrogenase","0.0029","0.0088","Novosphingobium resinovorum"
"nre","BES08_00560","K00263","E1.4.1.9","leucine dehydrogenase","0.0509","0.0998","Novosphingobium resinovorum"
"nre","BES08_00575","K13483","yagT","xanthine dehydrogenase YagT iron-sulfur-binding subunit","0.0206","0.0341","Novosphingobium resinovorum"
"nre","BES08_00580","K11178","yagS","xanthine dehydrogenase YagS FAD-binding subunit","0.0206","0.0344","Novosphingobium resinovorum"
"nre","BES08_00585","K11177","yagR","xanthine dehydrogenase YagR molybdenum-binding subunit","0.0206","0.0344","Novosphingobium resinovorum"
"nre","BES08_00605","K01679","E4.2.1.2B, fumC","fumarate hydratase, class II","0.1043","0.1495","Novosphingobium resinovorum"
"nre","BES08_00610","K02433","gatA, QRSL1","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A","0.5916","0.2286","Novosphingobium resinovorum"
"nre","BES08_00620","K01243","mtnN, mtn, pfs","adenosylhomocysteine nucleosidase","0.0429","0.1589","Novosphingobium resinovorum"
"nre","BES08_00625","K00681","ggt","gamma-glutamyltranspeptidase / glutathione hydrolase","0.0013","0.0125","Novosphingobium resinovorum"
"nre","BES08_00630","K02083","allC","allantoate deiminase","0.0000 ","0.0650","Novosphingobium resinovorum"
"nre","BES08_00635","K00839","pucG","(S)-ureidoglycine---glyoxylate transaminase","0.0000 ","0.0341","Novosphingobium resinovorum"
