"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"mrh","MycrhN_0009","K02067","mlaD, linM","phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein","0.0000 ","0.0053","Mycobacterium rhodesiae"
"mrh","MycrhN_0010","K02067","mlaD, linM","phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein","0.0000 ","0.0053","Mycobacterium rhodesiae"
"mrh","MycrhN_0012","K02066","mlaE, linK","phospholipid/cholesterol/gamma-HCH transport system permease protein","0.0012","0.0117","Mycobacterium rhodesiae"
"mrh","MycrhN_0013","K02066","mlaE, linK","phospholipid/cholesterol/gamma-HCH transport system permease protein","0.0012","0.0117","Mycobacterium rhodesiae"
"mrh","MycrhN_0014","K00648","fabH","3-oxoacyl-[acyl-carrier-protein] synthase III","0.7190","0.3716","Mycobacterium rhodesiae"
"mrh","MycrhN_0015","K00648","fabH","3-oxoacyl-[acyl-carrier-protein] synthase III","0.7190","0.3716","Mycobacterium rhodesiae"
"mrh","MycrhN_0027","K00134","GAPDH, gapA","glyceraldehyde 3-phosphate dehydrogenase","0.5166","0.5281","Mycobacterium rhodesiae"
"mrh","MycrhN_0028","K01007","pps, ppsA","pyruvate, water dikinase","0.4013","0.4084","Mycobacterium rhodesiae"
"mrh","MycrhN_0030","K03737","por, nifJ","pyruvate-ferredoxin/flavodoxin oxidoreductase","0.7509","0.7507","Mycobacterium rhodesiae"
"mrh","MycrhN_0031","K00226","pyrD","dihydroorotate dehydrogenase (fumarate)","0.0824","0.1372","Mycobacterium rhodesiae"
"mrh","MycrhN_0035","K16370","pfkB","6-phosphofructokinase 2","0.5261","0.3636","Mycobacterium rhodesiae"
"mrh","MycrhN_0046","K01607","pcaC","4-carboxymuconolactone decarboxylase","0.0000 ","0.0000 ","Mycobacterium rhodesiae"
"mrh","MycrhN_0060","K00508","E1.14.19.3","linoleoyl-CoA desaturase","0.0060","0.0016","Mycobacterium rhodesiae"
"mrh","MycrhN_0071","K14338","cypD_E, CYP102A2_3","cytochrome P450 / NADPH-cytochrome P450 reductase","0.0000 ","0.0000 ","Mycobacterium rhodesiae"
"mrh","MycrhN_0105","K01053","E3.1.1.17, gnl, RGN","gluconolactonase","0.0000 ","0.0000 ","Mycobacterium rhodesiae"
"mrh","MycrhN_0115","K00135","gabD","succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase","0.0245","0.0296","Mycobacterium rhodesiae"
"mrh","MycrhN_0124","K01768","E4.6.1.1","adenylate cyclase","0.0000 ","0.0000 ","Mycobacterium rhodesiae"
"mrh","MycrhN_0128","K15866","paaG","2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase","0.0000 ","0.0013","Mycobacterium rhodesiae"
"mrh","MycrhN_0130","K01692","paaF, echA","enoyl-CoA hydratase","0.0091","0.0090","Mycobacterium rhodesiae"
"mrh","MycrhN_0134","K00459","ncd2, npd","nitronate monooxygenase","0.0017","0.1220","Mycobacterium rhodesiae"
"mrh","MycrhN_0136","K00658","DLST, sucB","2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase)","0.3018","0.2626","Mycobacterium rhodesiae"
"mrh","MycrhN_0137","K11381","bkdA","2-oxoisovalerate dehydrogenase E1 component","0.0000 ","0.0203","Mycobacterium rhodesiae"
"mrh","MycrhN_0144","K00059","fabG","3-oxoacyl-[acyl-carrier protein] reductase","0.7026","0.4376","Mycobacterium rhodesiae"
"mrh","MycrhN_0162","K07816","E2.7.6.5X","putative GTP pyrophosphokinase","0.0000 ","0.0331","Mycobacterium rhodesiae"
"mrh","MycrhN_0167","K00549","metE","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase","0.0429","0.1899","Mycobacterium rhodesiae"
"mrh","MycrhN_0168","K01681","ACO, acnA","aconitate hydratase","0.1854","0.2183","Mycobacterium rhodesiae"
"mrh","MycrhN_0173","K00240","sdhB, frdB","succinate dehydrogenase / fumarate reductase, iron-sulfur subunit","0.2338","0.2373","Mycobacterium rhodesiae"
"mrh","MycrhN_0174","K00239","sdhA, frdA","succinate dehydrogenase / fumarate reductase, flavoprotein subunit","0.2684","0.2219","Mycobacterium rhodesiae"
"mrh","MycrhN_0175","K00241","sdhC, frdC","succinate dehydrogenase / fumarate reductase, cytochrome b subunit","0.2684","0.2467","Mycobacterium rhodesiae"
"mrh","MycrhN_0180","K01495","GCH1, folE","GTP cyclohydrolase I","0.4010","0.3596","Mycobacterium rhodesiae"
"mrh","MycrhN_0183","K00616","E2.2.1.2, talA, talB","transaldolase","0.2499","0.2247","Mycobacterium rhodesiae"
"mrh","MycrhN_0184","K00529","hcaD","3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component","0.0127","0.0063","Mycobacterium rhodesiae"
"mrh","MycrhN_0186","K02274","coxA","cytochrome c oxidase subunit I","0.0000 ","0.0160","Mycobacterium rhodesiae"
"mrh","MycrhN_0198","K03781","katE, CAT, catB, srpA","catalase","0.0000 ","0.0000 ","Mycobacterium rhodesiae"
"mrh","MycrhN_0203","K00285","dadA","D-amino-acid dehydrogenase","0.0000 ","0.0022","Mycobacterium rhodesiae"
"mrh","MycrhN_0217","K09811","ftsX","cell division transport system permease protein","0.1399","0.0813","Mycobacterium rhodesiae"
"mrh","MycrhN_0218","K09812","ftsE","cell division transport system ATP-binding protein","0.1086","0.0737","Mycobacterium rhodesiae"
"mrh","MycrhN_0224","K05602","hisN","histidinol-phosphatase","0.0286","0.0818","Mycobacterium rhodesiae"
"mrh","MycrhN_0227","K00249","ACADM, acd","acyl-CoA dehydrogenase","0.0080","0.0113","Mycobacterium rhodesiae"
"mrh","MycrhN_0229","K18851","fbp","diacylglycerol O-acyltransferase / trehalose O-mycolyltransferase","0.0071","0.0015","Mycobacterium rhodesiae"
"mrh","MycrhN_0233","K00451","HGD, hmgA","homogentisate 1,2-dioxygenase","0.0000 ","0.0000 ","Mycobacterium rhodesiae"
"mrh","MycrhN_0236","K01640","E4.1.3.4, HMGCL, hmgL","hydroxymethylglutaryl-CoA lyase","0.0091","0.0134","Mycobacterium rhodesiae"
"mrh","MycrhN_0245","K00330","nuoA","NADH-quinone oxidoreductase subunit A","0.0526","0.0355","Mycobacterium rhodesiae"
"mrh","MycrhN_0246","K00331","nuoB","NADH-quinone oxidoreductase subunit B","0.0936","0.0437","Mycobacterium rhodesiae"
"mrh","MycrhN_0247","K00332","nuoC","NADH-quinone oxidoreductase subunit C","0.0887","0.0288","Mycobacterium rhodesiae"
"mrh","MycrhN_0248","K00333","nuoD","NADH-quinone oxidoreductase subunit D","0.1207","0.0319","Mycobacterium rhodesiae"
