"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"pae","PA0001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Pseudomonas aeruginosa PAO1"
"pae","PA0002","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Pseudomonas aeruginosa PAO1"
"pae","PA0003","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Pseudomonas aeruginosa PAO1"
"pae","PA0005","K00655","plsC","1-acyl-sn-glycerol-3-phosphate acyltransferase","0.7119","0.5099","Pseudomonas aeruginosa PAO1"
"pae","PA0006","K03273","gmhB","D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase","0.0875","0.0999","Pseudomonas aeruginosa PAO1"
"pae","PA0008","K01879","glyS","glycyl-tRNA synthetase beta chain","0.6310","0.4651","Pseudomonas aeruginosa PAO1"
"pae","PA0009","K01878","glyQ","glycyl-tRNA synthetase alpha chain","0.4306","0.3913","Pseudomonas aeruginosa PAO1"
"pae","PA0010","K01246","tag","DNA-3-methyladenine glycosylase I","0.0012","0.0100","Pseudomonas aeruginosa PAO1"
"pae","PA0011","K02517","lpxL, htrB","Kdo2-lipid IVA lauroyltransferase","0.1623","0.0916","Pseudomonas aeruginosa PAO1"
"pae","PA0018","K00604","MTFMT, fmt","methionyl-tRNA formyltransferase","0.5166","0.6569","Pseudomonas aeruginosa PAO1"
"pae","PA0024","K00228","CPOX, hemF","coproporphyrinogen III oxidase","0.3618","0.1531","Pseudomonas aeruginosa PAO1"
"pae","PA0025","K00014","aroE","shikimate dehydrogenase","0.1039","0.1242","Pseudomonas aeruginosa PAO1"
"pae","PA0030","K02002","proX","glycine betaine/proline transport system substrate-binding protein","0.0000 ","0.0053","Pseudomonas aeruginosa PAO1"
"pae","PA0035","K01695","trpA","tryptophan synthase alpha chain","0.0606","0.0979","Pseudomonas aeruginosa PAO1"
"pae","PA0036","K01696","trpB","tryptophan synthase beta chain","0.0606","0.0979","Pseudomonas aeruginosa PAO1"
"pae","PA0051","K01953","asnB, ASNS","asparagine synthase (glutamine-hydrolysing)","0.0302","0.0397","Pseudomonas aeruginosa PAO1"
"pae","PA0065","K01091","gph","phosphoglycolate phosphatase","0.0000 ","0.0024","Pseudomonas aeruginosa PAO1"
"pae","PA0074","K11912","ppkA","serine/threonine-protein kinase PpkA","0.0000 ","0.0001","Pseudomonas aeruginosa PAO1"
"pae","PA0075","K11915","stp1, pppA","serine/threonine protein phosphatase Stp1","0.0000 ","0.0044","Pseudomonas aeruginosa PAO1"
"pae","PA0076","K11890","impM","type VI secretion system protein ImpM","0.0000 ","0.0009","Pseudomonas aeruginosa PAO1"
"pae","PA0077","K11891","impL, vasK, icmF","type VI secretion system protein ImpL","0.0000 ","0.0000 ","Pseudomonas aeruginosa PAO1"
"pae","PA0078","K11892","impK, ompA, vasF, dotU","type VI secretion system protein ImpK","0.0000 ","0.0001","Pseudomonas aeruginosa PAO1"
"pae","PA0079","K11893","impJ, vasE","type VI secretion system protein ImpJ","0.0000 ","0.0000 ","Pseudomonas aeruginosa PAO1"
"pae","PA0080","K11906","vasD, lip","type VI secretion system protein VasD","0.0000 ","0.0001","Pseudomonas aeruginosa PAO1"
