"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"pfn","HZ99_00005","K01985","5SrRNA, rrf","5S ribosomal RNA","0.0060","0.3104","Pseudomonas fluorescens UK4"
"pfn","HZ99_00010","K05515","mrdA","penicillin-binding protein 2","0.2106","0.0687","Pseudomonas fluorescens UK4"
"pfn","HZ99_00020","K00059","fabG","3-oxoacyl-[acyl-carrier protein] reductase","0.7026","0.4376","Pseudomonas fluorescens UK4"
"pfn","HZ99_00025","K00128","ALDH","aldehyde dehydrogenase (NAD+)","0.0018","0.0086","Pseudomonas fluorescens UK4"
"pfn","HZ99_00030","K07246","ttuC, dmlA","tartrate dehydrogenase/decarboxylase / D-malate dehydrogenase","0.0000 ","0.0301","Pseudomonas fluorescens UK4"
"pfn","HZ99_00070","K21004","pslK","polysaccharide biosynthesis protein PslK","0.0000 ","0.0560","Pseudomonas fluorescens UK4"
"pfn","HZ99_00080","K21003","pslJ","polysaccharide biosynthesis protein PslJ","0.0000 ","0.0203","Pseudomonas fluorescens UK4"
"pfn","HZ99_00085","K21002","pslI","polysaccharide biosynthesis protein PslI","0.0000 ","0.0003","Pseudomonas fluorescens UK4"
"pfn","HZ99_00090","K21001","pslH","polysaccharide biosynthesis protein PslH","0.0000 ","0.0003","Pseudomonas fluorescens UK4"
"pfn","HZ99_00095","K21000","pslG","polysaccharide biosynthesis protein PslG","0.0000 ","0.0003","Pseudomonas fluorescens UK4"
"pfn","HZ99_00100","K20999","pslF","polysaccharide biosynthesis protein PslF","0.0000 ","0.0003","Pseudomonas fluorescens UK4"
"pfn","HZ99_00105","K20998","pslE","polysaccharide biosynthesis protein PslE","0.0000 ","0.0000 ","Pseudomonas fluorescens UK4"
"pfn","HZ99_00110","K20987","pslD","polysaccharide biosynthesis/export protein PslD","0.0000 ","0.0030","Pseudomonas fluorescens UK4"
"pfn","HZ99_00115","K12992","rfbN","rhamnosyltransferase","0.0000 ","0.0003","Pseudomonas fluorescens UK4"
"pfn","HZ99_00120","K16011","algA, xanB, rfbA, wbpW, pslB","mannose-1-phosphate guanylyltransferase / mannose-6-phosphate isomerase","0.1422","0.0517","Pseudomonas fluorescens UK4"
"pfn","HZ99_00125","K20997","pslA","polysaccharide biosynthesis protein PslA","0.0000 ","0.0006","Pseudomonas fluorescens UK4"
"pfn","HZ99_00150","K18199","inhA","cyclohexyl-isocyanide hydratase","0.0000 ","0.0024","Pseudomonas fluorescens UK4"
"pfn","HZ99_00170","K00034","gdh","glucose 1-dehydrogenase","0.0000 ","0.0361","Pseudomonas fluorescens UK4"
"pfn","HZ99_00250","K06160","pvdE","putative pyoverdin transport system ATP-binding/permease protein","0.0241","0.0065","Pseudomonas fluorescens UK4"
