"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"mim","AKG07_00035","K02564","nagB, GNPDA","glucosamine-6-phosphate deaminase","0.0075","0.0248","Microbacterium sp. CGR1"
"mim","AKG07_00045","K00104","glcD","glycolate oxidase","0.0085","0.0055","Microbacterium sp. CGR1"
"mim","AKG07_00060","K01443","nagA, AMDHD2","N-acetylglucosamine-6-phosphate deacetylase","0.0053","0.0294","Microbacterium sp. CGR1"
"mim","AKG07_00065","K12373","HEXA_B","hexosaminidase","0.0031","0.0048","Microbacterium sp. CGR1"
"mim","AKG07_00070","K00600","glyA, SHMT","glycine hydroxymethyltransferase","0.3164","0.4597","Microbacterium sp. CGR1"
"mim","AKG07_00075","K01491","folD","methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase","0.4306","0.4659","Microbacterium sp. CGR1"
"mim","AKG07_00105","K02510","hpaI, hpcH","4-hydroxy-2-oxoheptanedioate aldolase","0.0000 ","0.0000 ","Microbacterium sp. CGR1"
"mim","AKG07_00110","K02509","hpaH","2-oxo-hept-3-ene-1,7-dioate hydratase","0.0000 ","0.0000 ","Microbacterium sp. CGR1"
"mim","AKG07_00120","K00151","hpaE, hpcC","5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase","0.0000 ","0.0043","Microbacterium sp. CGR1"
"mim","AKG07_00145","K03380","E1.14.13.7","phenol 2-monooxygenase","0.0000 ","0.0310","Microbacterium sp. CGR1"
"mim","AKG07_00190","K10747","LIG1","DNA ligase 1","0.0000 ","0.2360","Microbacterium sp. CGR1"
"mim","AKG07_00200","K02613","paaE","ring-1,2-phenylacetyl-CoA epoxidase subunit PaaE","0.0000 ","0.0083","Microbacterium sp. CGR1"
"mim","AKG07_00205","K02612","paaD","ring-1,2-phenylacetyl-CoA epoxidase subunit PaaD","0.0000 ","0.0001","Microbacterium sp. CGR1"
"mim","AKG07_00210","K02611","paaC","ring-1,2-phenylacetyl-CoA epoxidase subunit PaaC","0.0039","0.0010","Microbacterium sp. CGR1"
"mim","AKG07_00215","K02610","paaB","ring-1,2-phenylacetyl-CoA epoxidase subunit PaaB","0.0000 ","0.0001","Microbacterium sp. CGR1"
