"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"mrd","Mrad2831_0001","K02968","RP-S20, rpsT","small subunit ribosomal protein S20","0.2265","0.4557","Methylobacterium radiotolerans"
"mrd","Mrad2831_0002","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Methylobacterium radiotolerans"
"mrd","Mrad2831_0003","K00626","E2.3.1.9, atoB","acetyl-CoA C-acetyltransferase","0.0206","0.0393","Methylobacterium radiotolerans"
"mrd","Mrad2831_0006","K01782","fadJ","3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase","0.0067","0.0147","Methylobacterium radiotolerans"
"mrd","Mrad2831_0008","K10001","gltI, aatJ","glutamate/aspartate transport system substrate-binding protein","0.0000 ","0.0007","Methylobacterium radiotolerans"
"mrd","Mrad2831_0009","K01620","ltaE","threonine aldolase","0.0257","0.0666","Methylobacterium radiotolerans"
"mrd","Mrad2831_0010","K02342","DPO3E, dnaQ","DNA polymerase III subunit epsilon","0.8212","0.6494","Methylobacterium radiotolerans"
"mrd","Mrad2831_0011","K01972","E6.5.1.2, ligA, ligB","DNA ligase (NAD+)","0.7656","0.6583","Methylobacterium radiotolerans"
"mrd","Mrad2831_0013","K06133","LYS5, acpT","4-phosphopantetheinyl transferase","0.0206","0.1975","Methylobacterium radiotolerans"
"mrd","Mrad2831_0025","K17228","sfnG","dimethylsulfone monooxygenase","0.0000 ","0.0079","Methylobacterium radiotolerans"
"mrd","Mrad2831_0028","K02276","coxC","cytochrome c oxidase subunit III","0.0000 ","0.0169","Methylobacterium radiotolerans"
"mrd","Mrad2831_0029","K02258","COX11","cytochrome c oxidase assembly protein subunit 11","0.0000 ","0.0160","Methylobacterium radiotolerans"
"mrd","Mrad2831_0031","K02257","COX10","protoheme IX farnesyltransferase","0.0286","0.0140","Methylobacterium radiotolerans"
"mrd","Mrad2831_0032","K02274","coxA","cytochrome c oxidase subunit I","0.0000 ","0.0160","Methylobacterium radiotolerans"
"mrd","Mrad2831_0033","K02275","coxB","cytochrome c oxidase subunit II","0.0000 ","0.0171","Methylobacterium radiotolerans"
"mrd","Mrad2831_0036","K00265","gltB","glutamate synthase (NADPH/NADH) large chain","0.2338","0.2722","Methylobacterium radiotolerans"
"mrd","Mrad2831_0037","K00266","gltD","glutamate synthase (NADPH/NADH) small chain","0.2338","0.2051","Methylobacterium radiotolerans"
"mrd","Mrad2831_0040","K01784","galE, GALE","UDP-glucose 4-epimerase","0.0526","0.0568","Methylobacterium radiotolerans"
"mrd","Mrad2831_0041","K00963","UGP2, galU, galF","UTP--glucose-1-phosphate uridylyltransferase","0.2177","0.2983","Methylobacterium radiotolerans"
"mrd","Mrad2831_0043","K13589","cpdR","two-component system, cell cycle response regulator CpdR","0.0000 ","0.0452","Methylobacterium radiotolerans"
"mrd","Mrad2831_0053","K01631","dgoA","2-dehydro-3-deoxyphosphogalactonate aldolase","0.0000 ","0.0099","Methylobacterium radiotolerans"
"mrd","Mrad2831_0054","K00883","dgoK","2-dehydro-3-deoxygalactonokinase","0.0000 ","0.0038","Methylobacterium radiotolerans"
"mrd","Mrad2831_0055","K01995","livG","branched-chain amino acid transport system ATP-binding protein","0.0000 ","0.0002","Methylobacterium radiotolerans"
"mrd","Mrad2831_0056","K01996","livF","branched-chain amino acid transport system ATP-binding protein","0.0000 ","0.0002","Methylobacterium radiotolerans"
"mrd","Mrad2831_0057","K01999","livK","branched-chain amino acid transport system substrate-binding protein","0.0000 ","0.0005","Methylobacterium radiotolerans"
"mrd","Mrad2831_0058","K01997","livH","branched-chain amino acid transport system permease protein","0.0000 ","0.0000 ","Methylobacterium radiotolerans"
"mrd","Mrad2831_0059","K01998","livM","branched-chain amino acid transport system permease protein","0.0000 ","0.0000 ","Methylobacterium radiotolerans"
"mrd","Mrad2831_0061","K03572","mutL","DNA mismatch repair protein MutL","0.0103","0.0318","Methylobacterium radiotolerans"
"mrd","Mrad2831_0077","K15371","GDH2","glutamate dehydrogenase","0.3003","0.2395","Methylobacterium radiotolerans"
"mrd","Mrad2831_0084","K00088","IMPDH, guaB","IMP dehydrogenase","0.3003","0.3932","Methylobacterium radiotolerans"
"mrd","Mrad2831_0085","K00077","panE, apbA","2-dehydropantoate 2-reductase","0.0526","0.2248","Methylobacterium radiotolerans"
"mrd","Mrad2831_0096","K08311","nudH","putative (di)nucleoside polyphosphate hydrolase","0.0058","0.0317","Methylobacterium radiotolerans"
"mrd","Mrad2831_0102","K00969","nadD","nicotinate-nucleotide adenylyltransferase","0.4583","0.4141","Methylobacterium radiotolerans"
"mrd","Mrad2831_0103","K00147","proA","glutamate-5-semialdehyde dehydrogenase","0.0429","0.1070","Methylobacterium radiotolerans"
"mrd","Mrad2831_0104","K00931","proB","glutamate 5-kinase","0.0792","0.1238","Methylobacterium radiotolerans"
"mrd","Mrad2831_0107","K02899","RP-L27, MRPL27, rpmA","large subunit ribosomal protein L27","0.3906","0.5424","Methylobacterium radiotolerans"
"mrd","Mrad2831_0108","K02888","RP-L21, MRPL21, rplU","large subunit ribosomal protein L21","0.3906","0.5424","Methylobacterium radiotolerans"
"mrd","Mrad2831_0111","K03550","ruvA","holliday junction DNA helicase RuvA","0.0362","0.0821","Methylobacterium radiotolerans"
"mrd","Mrad2831_0113","K03594","bfr","bacterioferritin","0.0000 ","0.0280","Methylobacterium radiotolerans"
"mrd","Mrad2831_0114","K00215","dapB","4-hydroxy-tetrahydrodipicolinate reductase","0.5376","0.5651","Methylobacterium radiotolerans"
"mrd","Mrad2831_0115","K01834","PGAM, gpmA","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase","0.4443","0.4971","Methylobacterium radiotolerans"
"mrd","Mrad2831_0119","K00681","ggt","gamma-glutamyltranspeptidase / glutathione hydrolase","0.0013","0.0125","Methylobacterium radiotolerans"
"mrd","Mrad2831_0122","K00133","asd","aspartate-semialdehyde dehydrogenase","0.4295","0.3677","Methylobacterium radiotolerans"
"mrd","Mrad2831_0126","K11529","gck, gckA, GLYCTK","glycerate 2-kinase","0.0051","0.0030","Methylobacterium radiotolerans"
"mrd","Mrad2831_0128","K00873","PK, pyk","pyruvate kinase","0.7341","0.8327","Methylobacterium radiotolerans"
