"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"synr","KR49_00200","K00611","OTC, argF, argI","ornithine carbamoyltransferase","0.0206","0.0571","Synechococcus sp. KORDI-49"
"synr","KR49_00210","K14218","tRNA-Ala","tRNA Ala","0.0060","0.2024","Synechococcus sp. KORDI-49"
"synr","KR49_00240","K02010","afuC, fbpC","iron(III) transport system ATP-binding protein","0.0026","0.0068","Synechococcus sp. KORDI-49"
"synr","KR49_00245","K01069","E3.1.2.6, gloB","hydroxyacylglutathione hydrolase","0.0000 ","0.0100","Synechococcus sp. KORDI-49"
"synr","KR49_00250","K00765","hisG","ATP phosphoribosyltransferase","0.0606","0.0888","Synechococcus sp. KORDI-49"
"synr","KR49_00255","K18890","mdlB, smdB","ATP-binding cassette, subfamily B, multidrug efflux pump","0.0000 ","0.0165","Synechococcus sp. KORDI-49"
"synr","KR49_00280","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Synechococcus sp. KORDI-49"
"synr","KR49_00290","K00799","GST, gst","glutathione S-transferase","0.0402","0.0384","Synechococcus sp. KORDI-49"
"synr","KR49_00300","K00383","GSR, gor","glutathione reductase (NADPH)","0.0125","0.1203","Synechococcus sp. KORDI-49"
"synr","KR49_00335","K02276","coxC","cytochrome c oxidase subunit III","0.0000 ","0.0169","Synechococcus sp. KORDI-49"
"synr","KR49_00340","K02274","coxA","cytochrome c oxidase subunit I","0.0000 ","0.0160","Synechococcus sp. KORDI-49"
"synr","KR49_00345","K02275","coxB","cytochrome c oxidase subunit II","0.0000 ","0.0171","Synechococcus sp. KORDI-49"
"synr","KR49_00370","K01465","URA4, pyrC","dihydroorotase","0.0386","0.1747","Synechococcus sp. KORDI-49"
"synr","KR49_00385","K05583","ndhL","NAD(P)H-quinone oxidoreductase subunit L","0.0000 ","0.0363","Synechococcus sp. KORDI-49"
"synr","KR49_00395","K01695","trpA","tryptophan synthase alpha chain","0.0606","0.0979","Synechococcus sp. KORDI-49"
"synr","KR49_00410","K08906","petJ","cytochrome c6","0.0000 ","0.0205","Synechococcus sp. KORDI-49"
"synr","KR49_00465","K11755","hisIE","phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase","0.0609","0.0692","Synechococcus sp. KORDI-49"
"synr","KR49_00470","K01737","queD, ptpS, PTS","6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase","0.0013","0.1482","Synechococcus sp. KORDI-49"
"synr","KR49_00490","K09474","phoN","acid phosphatase (class A)","0.5462","0.3197","Synechococcus sp. KORDI-49"
"synr","KR49_00500","K08906","petJ","cytochrome c6","0.0000 ","0.0205","Synechococcus sp. KORDI-49"
"synr","KR49_00505","K02638","petE","plastocyanin","0.0000 ","0.0002","Synechococcus sp. KORDI-49"
"synr","KR49_00515","K01599","hemE, UROD","uroporphyrinogen decarboxylase","0.4306","0.2372","Synechococcus sp. KORDI-49"
"synr","KR49_00520","K00700","GBE1, glgB","1,4-alpha-glucan branching enzyme","0.0137","0.0162","Synechococcus sp. KORDI-49"
"synr","KR49_00555","K00845","glk","glucokinase","0.0051","0.0269","Synechococcus sp. KORDI-49"
"synr","KR49_00560","K00147","proA","glutamate-5-semialdehyde dehydrogenase","0.0429","0.1070","Synechococcus sp. KORDI-49"
"synr","KR49_00565","K01633","folB","dihydroneopterin aldolase / 7,8-dihydroneopterin epimerase","0.4583","0.2731","Synechococcus sp. KORDI-49"
"synr","KR49_00570","K01046","E3.1.1.3","triacylglycerol lipase","0.0035","0.0033","Synechococcus sp. KORDI-49"
"synr","KR49_00580","K05575","ndhD","NAD(P)H-quinone oxidoreductase subunit 4","0.0000 ","0.0160","Synechococcus sp. KORDI-49"
"synr","KR49_00585","K00872","thrB1","homoserine kinase","0.0895","0.1017","Synechococcus sp. KORDI-49"
"synr","KR49_00590","K00845","glk","glucokinase","0.0051","0.0269","Synechococcus sp. KORDI-49"
