"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"tko","16S_rRNA","K01977","16SrRNA, rrs","16S ribosomal RNA","0.0000 ","0.3104","Thermococcus kodakarensis"
"tko","23S_rRNA","K01980","23SrRNA, rrl","23S ribosomal RNA","0.0000 ","0.3104","Thermococcus kodakarensis"
"tko","5S_rRNA-1","K01985","5SrRNA, rrf","5S ribosomal RNA","0.0060","0.3104","Thermococcus kodakarensis"
"tko","5S_rRNA-2","K01985","5SrRNA, rrf","5S ribosomal RNA","0.0060","0.3104","Thermococcus kodakarensis"
"tko","7S_rRNA","K01983","ffs","SRP RNA","0.0000 ","0.0806","Thermococcus kodakarensis"
"tko","TK0001","K02319","DPA, polB","DNA polymerase I","0.8098","0.7274","Thermococcus kodakarensis"
"tko","TK0015","K15495","wtpA","molybdate/tungstate transport system substrate-binding protein","0.0000 ","0.0053","Thermococcus kodakarensis"
"tko","TK0018","K15496","wtpB","molybdate/tungstate transport system permease protein","0.0000 ","0.0066","Thermococcus kodakarensis"
"tko","TK0021","K15497","wtpC","molybdate/tungstate transport system ATP-binding protein","0.0000 ","0.0057","Thermococcus kodakarensis"
"tko","TK0028","K01251","E3.3.1.1, ahcY","adenosylhomocysteinase","0.0534","0.0351","Thermococcus kodakarensis"
"tko","TK0052","K01079","serB, PSPH","phosphoserine phosphatase","0.0631","0.1324","Thermococcus kodakarensis"
"tko","TK0058","K01560","E3.8.1.2","2-haloacid dehalogenase","0.0000 ","0.0388","Thermococcus kodakarensis"
"tko","TK0067","K00952","nadM","nicotinamide-nucleotide adenylyltransferase","0.5531","0.3402","Thermococcus kodakarensis"
"tko","TK0116","K00302","soxA","sarcosine oxidase, subunit alpha","0.0000 ","0.0010","Thermococcus kodakarensis"
"tko","TK0117","K00303","soxB","sarcosine oxidase, subunit beta","0.0000 ","0.0023","Thermococcus kodakarensis"
"tko","TK0119","K00302","soxA","sarcosine oxidase, subunit alpha","0.0000 ","0.0010","Thermococcus kodakarensis"
"tko","TK0122","K00303","soxB","sarcosine oxidase, subunit beta","0.0000 ","0.0023","Thermococcus kodakarensis"
"tko","TK0132","K03120","TBP, tbp","transcription initiation factor TFIID TATA-box-binding protein","0.0000 ","0.0203","Thermococcus kodakarensis"
"tko","TK0139","K01905","E6.2.1.13","acetyl-CoA synthetase (ADP-forming)","0.0544","0.0255","Thermococcus kodakarensis"
"tko","TK0147","K00797","speE, SRM","spermidine synthase","0.0000 ","0.0000 ","Thermococcus kodakarensis"
"tko","TK0149","K02626","pdaD","arginine decarboxylase","0.0825","0.0121","Thermococcus kodakarensis"
"tko","TK0150","K02437","gcvH, GCSH","glycine cleavage system H protein","0.4306","0.3273","Thermococcus kodakarensis"
"tko","TK0153","K05966","citG","triphosphoribosyl-dephospho-CoA synthase","0.0000 ","0.0007","Thermococcus kodakarensis"
"tko","TK0156","K03406","mcp","methyl-accepting chemotaxis protein","0.0071","0.0042","Thermococcus kodakarensis"
"tko","TK0158","K02062","thiQ","thiamine transport system ATP-binding protein","0.0039","0.0070","Thermococcus kodakarensis"
"tko","TK0159","K02063","thiP","thiamine transport system permease protein","0.0035","0.0095","Thermococcus kodakarensis"
"tko","TK0170","K01151","nfo","deoxyribonuclease IV","0.0098","0.0100","Thermococcus kodakarensis"
"tko","TK0180","K00626","E2.3.1.9, atoB","acetyl-CoA C-acetyltransferase","0.0206","0.0393","Thermococcus kodakarensis"
"tko","TK0181","K01641","E2.3.3.10","hydroxymethylglutaryl-CoA synthase","0.0825","0.0134","Thermococcus kodakarensis"
"tko","TK0186","K05825","LYSN","2-aminoadipate transaminase","0.0000 ","0.0203","Thermococcus kodakarensis"
"tko","TK0190","K01951","guaA, GMPS","GMP synthase (glutamine-hydrolysing)","0.4583","0.4623","Thermococcus kodakarensis"
"tko","TK0193","K01951","guaA, GMPS","GMP synthase (glutamine-hydrolysing)","0.4583","0.4623","Thermococcus kodakarensis"
"tko","TK0194","K00088","IMPDH, guaB","IMP dehydrogenase","0.3003","0.3932","Thermococcus kodakarensis"
"tko","TK0196","K06863","purP","5-formaminoimidazole-4-carboxamide-1-(beta)-D-ribofuranosyl 5-monophosphate synthetase","0.1728","0.0586","Thermococcus kodakarensis"
"tko","TK0197","K01952","purL, PFAS","phosphoribosylformylglycinamidine synthase","0.0386","0.0838","Thermococcus kodakarensis"
"tko","TK0201","K01952","purL, PFAS","phosphoribosylformylglycinamidine synthase","0.0386","0.0838","Thermococcus kodakarensis"
"tko","TK0202","K01952","purL, PFAS","phosphoribosylformylglycinamidine synthase","0.0386","0.0838","Thermococcus kodakarensis"
"tko","TK0203","K06863","purP","5-formaminoimidazole-4-carboxamide-1-(beta)-D-ribofuranosyl 5-monophosphate synthetase","0.1728","0.0586","Thermococcus kodakarensis"
"tko","TK0204","K01945","purD","phosphoribosylamine--glycine ligase","0.0268","0.0743","Thermococcus kodakarensis"
"tko","TK0207","K08289","purT","phosphoribosylglycinamide formyltransferase 2","0.4534","0.3836","Thermococcus kodakarensis"
"tko","TK0208","K01933","purM","phosphoribosylformylglycinamidine cyclo-ligase","0.0526","0.0937","Thermococcus kodakarensis"
"tko","TK0210","K01923","purC","phosphoribosylaminoimidazole-succinocarboxamide synthase","0.0544","0.0920","Thermococcus kodakarensis"
"tko","TK0211","K00764","purF, PPAT","amidophosphoribosyltransferase","0.0184","0.1521","Thermococcus kodakarensis"
"tko","TK0214","K00123","fdoG, fdfH","formate dehydrogenase major subunit","0.0000 ","0.0001","Thermococcus kodakarensis"
"tko","TK0216","K08681","pdxT, pdx2","5-phosphate synthase pdxT subunit","0.0000 ","0.0470","Thermococcus kodakarensis"
"tko","TK0217","K06215","pdxS, pdx1","pyridoxal 5-phosphate synthase pdxS subunit","0.0000 ","0.0470","Thermococcus kodakarensis"
"tko","TK0218","K00767","nadC, QPRT","nicotinate-nucleotide pyrophosphorylase (carboxylating)","0.0445","0.1747","Thermococcus kodakarensis"
"tko","TK0240","K01480","speB","agmatinase","0.0031","0.0043","Thermococcus kodakarensis"
"tko","TK0242","K02502","hisZ","ATP phosphoribosyltransferase regulatory subunit","0.0983","0.0714","Thermococcus kodakarensis"
"tko","TK0243","K00765","hisG","ATP phosphoribosyltransferase","0.0606","0.0888","Thermococcus kodakarensis"
"tko","TK0244","K00013","hisD","histidinol dehydrogenase","0.0309","0.0714","Thermococcus kodakarensis"
"tko","TK0245","K01693","hisB","imidazoleglycerol-phosphate dehydratase","0.0680","0.0662","Thermococcus kodakarensis"
"tko","TK0246","K02501","hisH","glutamine amidotransferase","0.0606","0.0888","Thermococcus kodakarensis"
"tko","TK0247","K01814","hisA","phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase","0.0445","0.0799","Thermococcus kodakarensis"
"tko","TK0248","K02500","hisF","cyclase","0.0606","0.0888","Thermococcus kodakarensis"
