"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"acz","Acaty_1p0020","K02257","COX10","protoheme IX farnesyltransferase","0.0286","0.0140","Acidithiobacillus caldus ATCC 51756"
"acz","Acaty_1p0022","K02300","cyoD","cytochrome o ubiquinol oxidase subunit IV","0.0091","0.0184","Acidithiobacillus caldus ATCC 51756"
"acz","Acaty_1p0023","K02299","cyoC","cytochrome o ubiquinol oxidase subunit III","0.0022","0.0169","Acidithiobacillus caldus ATCC 51756"
"acz","Acaty_1p0024","K02298","cyoB","cytochrome o ubiquinol oxidase subunit I","0.0000 ","0.0160","Acidithiobacillus caldus ATCC 51756"
"acz","Acaty_1p0025","K02297","cyoA","cytochrome o ubiquinol oxidase subunit II","0.0022","0.0171","Acidithiobacillus caldus ATCC 51756"
"acz","Acaty_c0001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Acidithiobacillus caldus ATCC 51756"
"acz","Acaty_c0002","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Acidithiobacillus caldus ATCC 51756"
"acz","Acaty_c0003","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Acidithiobacillus caldus ATCC 51756"
"acz","Acaty_c0015","K00604","MTFMT, fmt","methionyl-tRNA formyltransferase","0.5166","0.6569","Acidithiobacillus caldus ATCC 51756"
"acz","Acaty_c0019","K03638","moaB","molybdenum cofactor biosynthesis protein B","0.0000 ","0.0093","Acidithiobacillus caldus ATCC 51756"
"acz","Acaty_c0026","K02108","ATPF0A, atpB","F-type H+-transporting ATPase subunit a","0.3003","0.3956","Acidithiobacillus caldus ATCC 51756"
"acz","Acaty_c0027","K02110","ATPF0C, atpE","F-type H+-transporting ATPase subunit c","0.2416","0.2823","Acidithiobacillus caldus ATCC 51756"
"acz","Acaty_c0028","K02109","ATPF0B, atpF","F-type H+-transporting ATPase subunit b","0.2660","0.3800","Acidithiobacillus caldus ATCC 51756"
"acz","Acaty_c0029","K02113","ATPF1D, atpH","F-type H+-transporting ATPase subunit delta","0.2338","0.3650","Acidithiobacillus caldus ATCC 51756"
