"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"xii","AMD24_00003","K00943","tmk, DTYMK","dTMP kinase","0.7026","0.4891","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00004","K02341","DPO3D2, holB","DNA polymerase III subunit delta","0.9384","0.9971","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00005","K00995","pgsA, PGS1","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase","0.5261","0.1601","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00006","K01872","AARS, alaS","alanyl-tRNA synthetase","0.6601","0.5571","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00008","K11645","fbaB","fructose-bisphosphate aldolase, class I","0.5680","0.4639","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00014","K07462","recJ","single-stranded-DNA-specific exonuclease","0.0042","0.0324","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00016","K01950","E6.3.5.1, NADSYN1, QNS1, nadE","NAD+ synthase (glutamine-hydrolysing)","0.7134","0.4521","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00017","K01585","speA","arginine decarboxylase","0.0321","0.0215","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00018","K21929","udg","uracil-DNA glycosylase","0.0000 ","0.0182","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00021","K01689","ENO, eno","enolase","0.4306","0.5736","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00023","K03431","glmM","phosphoglucosamine mutase","0.6398","0.1673","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00025","K00796","folP","dihydropteroate synthase","0.5030","0.3686","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00026","K00013","hisD","histidinol dehydrogenase","0.0309","0.0714","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00030","K00031","IDH1, IDH2, icd","isocitrate dehydrogenase","0.1443","0.2055","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00033","K14170","pheA","chorismate mutase / prephenate dehydratase","0.1083","0.1017","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00034","K02963","RP-S18, MRPS18, rpsR","small subunit ribosomal protein S18","0.4440","0.5564","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00038","K00796","folP","dihydropteroate synthase","0.5030","0.3686","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00039","K02259","COX15","cytochrome c oxidase assembly protein subunit 15","0.0192","0.0252","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00040","K02257","COX10","protoheme IX farnesyltransferase","0.0286","0.0140","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00048","K01142","E3.1.11.2, xthA","exodeoxyribonuclease III","0.0010","0.0110","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00050","K01696","trpB","tryptophan synthase beta chain","0.0606","0.0979","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00051","K03575","mutY","A/G-specific adenine glycosylase","0.0000 ","0.0035","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00052","K03471","rnhC","ribonuclease HIII","0.0179","0.0806","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00054","K04043","dnaK","molecular chaperone DnaK","0.3525","0.3257","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00056","K04077","groEL, HSPD1","chaperonin GroEL","0.4440","0.5638","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00058","K00969","nadD","nicotinate-nucleotide adenylyltransferase","0.4583","0.4141","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00063","K01866","YARS, tyrS","tyrosyl-tRNA synthetase","0.6601","0.5571","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00066","K01937","pyrG, CTPS","CTP synthase","0.7895","0.5413","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00067","K01494","dcd","dCTP deaminase","0.3149","0.2584","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00068","K00384","trxB","thioredoxin reductase (NADPH)","0.1650","0.2275","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00072","K00826","E2.6.1.42, ilvE","branched-chain amino acid aminotransferase","0.0166","0.0653","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00075","K00024","mdh","malate dehydrogenase","0.0657","0.0819","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00076","K02500","hisF","cyclase","0.0606","0.0888","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00077","K16363","lpxC-fabZ","UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase","0.6813","0.5829","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00078","K00677","lpxA","UDP-N-acetylglucosamine acyltransferase","0.4842","0.3084","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00079","K06041","kdsD, kpsF","arabinose-5-phosphate isomerase","0.3297","0.1914","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00081","K03210","yajC","preprotein translocase subunit YajC","0.1110","0.3272","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00082","K12257","secDF","SecD/SecF fusion protein","0.0631","0.2463","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00084","K00380","cysJ","sulfite reductase (NADPH) flavoprotein alpha-component","0.0257","0.0191","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00086","K10206","E2.6.1.83","LL-diaminopimelate aminotransferase","0.0286","0.1087","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00090","K15986","ppaC","manganese-dependent inorganic pyrophosphatase","0.0882","0.0310","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00093","K04487","iscS, NFS1","cysteine desulfurase","0.4010","0.3030","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00094","K00766","trpD","anthranilate phosphoribosyltransferase","0.0503","0.0927","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00095","K00979","kdsB","3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase)","0.4649","0.2620","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00096","K03273","gmhB","D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase","0.0875","0.0999","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00103","K00566","mnmA, trmU","tRNA-uridine 2-sulfurtransferase","0.5166","0.3627","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00106","K01609","trpC","indole-3-glycerol phosphate synthase","0.0579","0.0881","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00108","K03551","ruvB","holliday junction DNA helicase RuvB","0.0625","0.1054","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00112","K14170","pheA","chorismate mutase / prephenate dehydratase","0.1083","0.1017","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00115","K13789","GGPS","geranylgeranyl diphosphate synthase, type II","0.2589","0.2081","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00117","K00161","PDHA, pdhA","pyruvate dehydrogenase E1 component alpha subunit","0.1209","0.0478","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00118","K00162","PDHB, pdhB","pyruvate dehydrogenase E1 component beta subunit","0.0170","0.0372","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00119","K00627","DLAT, aceF, pdhC","pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)","0.0899","0.1582","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00120","K00382","DLD, lpd, pdhD","dihydrolipoamide dehydrogenase","0.5030","0.4139","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00122","K15633","gpmI","2,3-bisphosphoglycerate-independent phosphoglycerate mutase","0.4153","0.4448","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00123","K00759","APRT, apt","adenine phosphoribosyltransferase","0.2016","0.1143","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00127","K01710","E4.2.1.46, rfbB, rffG","dTDP-glucose 4,6-dehydratase","0.0322","0.0736","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00128","K03785","aroD","3-dehydroquinate dehydratase I","0.1532","0.1315","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00133","K11085","msbA","ATP-binding cassette, subfamily B, bacterial MsbA","0.3149","0.0165","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00134","K00602","purH","phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase","0.3103","0.3691","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00135","K02435","gatC, GATC","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C","0.4842","0.3799","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00136","K02433","gatA, QRSL1","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A","0.5916","0.2286","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00137","K21071","pfk, pfp","ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase","0.5916","0.5034","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00138","K07258","dacC, dacA, dacD","serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6)","0.0012","0.0145","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00139","K11753","ribF","riboflavin kinase / FMN adenylyltransferase","0.6293","0.5031","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00141","K06881","nrnA","bifunctional oligoribonuclease and PAP phosphatase NrnA","0.1122","0.0407","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00148","K10773","NTH","endonuclease III","0.0010","0.0113","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00149","K03553","recA","recombination protein RecA","0.0156","0.0636","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00150","K00981","E2.7.7.41, CDS1, CDS2, cdsA","phosphatidate cytidylyltransferase","0.8212","0.9472","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00151","K00099","dxr","1-deoxy-D-xylulose-5-phosphate reductoisomerase","0.5774","0.3985","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00152","K03742","pncC","nicotinamide-nucleotide amidase","0.0000 ","0.1524","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00153","K12251","aguB","N-carbamoylputrescine amidase","0.0666","0.0079","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00156","K00133","asd","aspartate-semialdehyde dehydrogenase","0.4295","0.3677","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00161","K02335","DPO1, polA","DNA polymerase I","0.7656","0.8943","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00162","K00615","E2.2.1.1, tktA, tktB","transketolase","0.4726","0.6145","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00165","K03182","ubiD","4-hydroxy-3-polyprenylbenzoate decarboxylase","0.1083","0.0771","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00167","K04751","glnB","nitrogen regulatory protein P-II 1","0.0152","0.0102","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00168","K02434","gatB, PET112","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B","0.5916","0.4150","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00169","K01736","aroC","chorismate synthase","0.1496","0.1733","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00170","K01887","RARS, argS","arginyl-tRNA synthetase","0.5800","0.5082","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00174","K02275","coxB","cytochrome c oxidase subunit II","0.0000 ","0.0171","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00175","K02274","coxA","cytochrome c oxidase subunit I","0.0000 ","0.0160","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00176","K02276","coxC","cytochrome c oxidase subunit III","0.0000 ","0.0169","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00178","K00406","ccoP","cytochrome c oxidase cbb3-type subunit III","0.0026","0.0093","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00179","K03886","MQCRA, qcrA, bfcA, petC","menaquinol-cytochrome c reductase iron-sulfur subunit","0.0000 ","0.0162","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00180","K00412","CYTB, petB","ubiquinol-cytochrome c reductase cytochrome b subunit","0.0000 ","0.0026","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00184","K00789","metK","S-adenosylmethionine synthetase","0.7119","0.5349","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00185","K01251","E3.3.1.1, ahcY","adenosylhomocysteinase","0.0534","0.0351","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00187","K01591","pyrF","orotidine-5-phosphate decarboxylase","0.0665","0.1970","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00188","K00919","ispE","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase","0.5198","0.4114","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00193","K04066","priA","primosomal protein N (replication factor Y) (superfamily II helicase)","0.1039","0.1241","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00194","K01652","E2.2.1.6L, ilvB, ilvG, ilvI","acetolactate synthase I/II/III large subunit","0.0184","0.0311","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00196","K00859","coaE","dephospho-CoA kinase","0.5800","0.5125","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00197","K03628","rho","transcription termination factor Rho","0.2427","0.1615","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00201","K03429","ugtP","processive 1,2-diacylglycerol beta-glucosyltransferase","0.0060","0.1844","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00202","K08311","nudH","putative (di)nucleoside polyphosphate hydrolase","0.0058","0.0317","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00204","K08483","PTS-EI.PTSI, ptsI","phosphotransferase system, enzyme I, PtsI","0.0137","0.0186","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00207","K06861","lptB","lipopolysaccharide export system ATP-binding protein","0.3018","0.1430","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00210","K01627","kdsA","2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase)","0.2898","0.2015","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00211","K00790","murA","UDP-N-acetylglucosamine 1-carboxyvinyltransferase","0.6496","0.7385","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00214","K02909","RP-L31, rpmE","large subunit ribosomal protein L31","0.1218","0.4008","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00218","K00793","ribE, RIB5","riboflavin synthase","0.2177","0.2963","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00220","K01775","alr","alanine racemase","0.3752","0.4780","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00221","K01809","manA, MPI","mannose-6-phosphate isomerase","0.0716","0.0718","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00222","K00763","pncB, NAPRT1","nicotinate phosphoribosyltransferase","0.0685","0.2006","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00225","K01874","MARS, metG","methionyl-tRNA synthetase","0.3906","0.3932","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00236","K03219","yscC, sctC","type III secretion protein C","0.0000 ","0.0204","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00239","K02843","waaF, rfaF","heptosyltransferase II","0.0366","0.0662","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00250","K02536","lpxD","UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase","0.5366","0.2754","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00260","K00872","thrB1","homoserine kinase","0.0895","0.1017","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00261","K00912","lpxK","tetraacyldisaccharide 4-kinase","0.4534","0.2386","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00263","K00254","DHODH, pyrD","dihydroorotate dehydrogenase","0.0463","0.1443","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00264","K01814","hisA","phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase","0.0445","0.0799","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00265","K02501","hisH","glutamine amidotransferase","0.0606","0.0888","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00266","K01693","hisB","imidazoleglycerol-phosphate dehydratase","0.0680","0.0662","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00267","K02527","kdtA, waaA","3-deoxy-D-manno-octulosonic-acid transferase","0.5052","0.2548","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00271","K02996","RP-S9, MRPS9, rpsI","small subunit ribosomal protein S9","0.5166","0.6003","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00272","K02871","RP-L13, MRPL13, rplM","large subunit ribosomal protein L13","0.7119","0.6883","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00275","K00928","lysC","aspartate kinase","0.3479","0.4527","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00276","K01733","thrC","threonine synthase","0.1110","0.1922","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00277","K00003","E1.1.1.3","homoserine dehydrogenase","0.1029","0.1079","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00279","K00053","ilvC","ketol-acid reductoisomerase","0.0563","0.1147","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00280","K01653","E2.2.1.6S, ilvH, ilvN","acetolactate synthase I/III small subunit","0.0190","0.0562","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00281","K00033","PGD, gnd, gntZ","6-phosphogluconate dehydrogenase","0.0170","0.0284","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00282","K02899","RP-L27, MRPL27, rpmA","large subunit ribosomal protein L27","0.3906","0.5424","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00283","K02888","RP-L21, MRPL21, rplU","large subunit ribosomal protein L21","0.3906","0.5424","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00285","K00941","thiD","hydroxymethylpyrimidine/phosphomethylpyrimidine kinase","0.1238","0.1645","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00288","K11784","mqnC","cyclic dehypoxanthinyl futalosine synthase","0.0000 ","0.0464","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00289","K02428","rdgB","XTP/dITP diphosphohydrolase","0.2749","0.2063","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00291","K03092","SIG54, rpoN","RNA polymerase sigma-54 factor","0.0055","0.0160","Candidatus Xiphinematobacter sp. Idaho Grape"
"xii","AMD24_00295","K03230","yscV, sctV, hrcV","type III secretion protein V","0.0000 ","0.0001","Candidatus Xiphinematobacter sp. Idaho Grape"
