"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"cez","CBP52_00055","K01060","cah","cephalosporin-C deacetylase","0.0000 ","0.0000 ","Cellulomonas sp. PSBB021"
"cez","CBP52_00085","K01754","E4.3.1.19, ilvA, tdcB","threonine dehydratase","0.2176","0.1963","Cellulomonas sp. PSBB021"
"cez","CBP52_00120","K12503","E2.5.1.68","short-chain Z-isoprenyl diphosphate synthase","0.0000 ","0.2407","Cellulomonas sp. PSBB021"
"cez","CBP52_00155","K01679","E4.2.1.2B, fumC","fumarate hydratase, class II","0.1043","0.1495","Cellulomonas sp. PSBB021"
"cez","CBP52_00185","K10112","msmX, msmK, malK, sugC, ggtA, msiK","multiple sugar transport system ATP-binding protein","0.0080","0.0057","Cellulomonas sp. PSBB021"
"cez","CBP52_00190","K00847","E2.7.1.4, scrK","fructokinase","0.0013","0.0090","Cellulomonas sp. PSBB021"
"cez","CBP52_00195","K03602","xseB","exodeoxyribonuclease VII small subunit","0.0190","0.0389","Cellulomonas sp. PSBB021"
"cez","CBP52_00200","K03601","xseA","exodeoxyribonuclease VII large subunit","0.0000 ","0.0099","Cellulomonas sp. PSBB021"
"cez","CBP52_00210","K03527","ispH, lytB","4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase","0.5261","0.3796","Cellulomonas sp. PSBB021"
"cez","CBP52_00250","K01724","PCBD, phhB","4a-hydroxytetrahydrobiopterin dehydratase","0.0024","0.0094","Cellulomonas sp. PSBB021"
"cez","CBP52_00260","K05349","bglX","beta-glucosidase","0.0024","0.0063","Cellulomonas sp. PSBB021"
"cez","CBP52_00270","K02035","ABC.PE.S","peptide/nickel transport system substrate-binding protein","0.0016","0.0015","Cellulomonas sp. PSBB021"
"cez","CBP52_00275","K02033","ABC.PE.P","peptide/nickel transport system permease protein","0.0016","0.0026","Cellulomonas sp. PSBB021"
"cez","CBP52_00280","K02034","ABC.PE.P1","peptide/nickel transport system permease protein","0.0075","0.0026","Cellulomonas sp. PSBB021"
"cez","CBP52_00290","K02031","ABC.PE.A","peptide/nickel transport system ATP-binding protein","0.0000 ","0.0004","Cellulomonas sp. PSBB021"
"cez","CBP52_00295","K02035","ABC.PE.S","peptide/nickel transport system substrate-binding protein","0.0016","0.0015","Cellulomonas sp. PSBB021"
"cez","CBP52_00340","K01647","CS, gltA","citrate synthase","0.2338","0.2171","Cellulomonas sp. PSBB021"
"cez","CBP52_00355","K00674","dapD","2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase","0.3434","0.1480","Cellulomonas sp. PSBB021"
"cez","CBP52_00365","K01439","dapE","succinyl-diaminopimelate desuccinylase","0.3579","0.1038","Cellulomonas sp. PSBB021"
"cez","CBP52_00370","K06966","K06966","uncharacterized protein","0.0012","0.0125","Cellulomonas sp. PSBB021"
"cez","CBP52_00375","K00796","folP","dihydropteroate synthase","0.5030","0.3686","Cellulomonas sp. PSBB021"
"cez","CBP52_00390","K01255","CARP, pepA","leucyl aminopeptidase","0.0277","0.0512","Cellulomonas sp. PSBB021"
"cez","CBP52_00410","K08372","pepD","putative serine protease PepD","0.0000 ","0.0054","Cellulomonas sp. PSBB021"
"cez","CBP52_00415","K03117","tatB","sec-independent protein translocase protein TatB","0.0131","0.0739","Cellulomonas sp. PSBB021"
"cez","CBP52_00420","K01867","WARS, trpS","tryptophanyl-tRNA synthetase","0.5166","0.4923","Cellulomonas sp. PSBB021"
