"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"mmym","MMS_A0001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0002","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0012","K01874","MARS, metG","methionyl-tRNA synthetase","0.3906","0.3932","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0017","K00009","mtlD","mannitol-1-phosphate 5-dehydrogenase","0.0000 ","0.0002","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0019","K02798","PTS-Mtl-EIIA, mtlA, cmtB","PTS system, mannitol-specific IIA component","0.0000 ","0.0042","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0020","K00068","srlD","sorbitol-6-phosphate 2-dehydrogenase","0.0000 ","0.0297","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0025","K02963","RP-S18, MRPS18, rpsR","small subunit ribosomal protein S18","0.4440","0.5564","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0026","K03111","ssb","single-strand DNA-binding protein","0.4028","0.5247","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0027","K02990","RP-S6, MRPS6, rpsF","small subunit ribosomal protein S6","0.5030","0.5709","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0034","K03778","ldhA","D-lactate dehydrogenase","0.0016","0.0134","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0045","K02341","DPO3D2, holB","DNA polymerase III subunit delta","0.9384","0.9971","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0046","K00943","tmk, DTYMK","dTMP kinase","0.7026","0.4891","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0047","K06187","recR","recombination protein RecR","0.0040","0.0446","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0048","K02343","DPO3G, dnaX","DNA polymerase III subunit gamma/tau","0.9384","0.9971","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0050","K01983","ffs","SRP RNA","0.0000 ","0.0806","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0051","K00364","E1.7.1.7, guaC","GMP reductase","0.0000 ","0.0331","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0065","K00259","ald","alanine dehydrogenase","0.3500","0.2236","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0067","K01875","SARS, serS","seryl-tRNA synthetase","0.6103","0.5347","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0070","K04567","KARS, lysS","lysyl-tRNA synthetase, class II","0.4899","0.4350","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0074","K01985","5SrRNA, rrf","5S ribosomal RNA","0.0060","0.3104","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0075","K01980","23SrRNA, rrl","23S ribosomal RNA","0.0000 ","0.3104","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0076","K01977","16SrRNA, rrs","16S ribosomal RNA","0.0000 ","0.3104","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0078","K14228","tRNA-Leu","tRNA Leu","0.0060","0.2024","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0079","K14229","tRNA-Lys","tRNA Lys","0.0060","0.2024","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0081","K02042","phnE","phosphonate transport system permease protein","0.0000 ","0.0053","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0082","K02041","phnC","phosphonate transport system ATP-binding protein","0.0000 ","0.0053","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0084","K01893","NARS, asnS","asparaginyl-tRNA synthetase","0.2860","0.2797","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0090","K02968","RP-S20, rpsT","small subunit ribosomal protein S20","0.2265","0.4557","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0093","K03070","secA","preprotein translocase subunit SecA","0.3906","0.4886","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0095","K02335","DPO1, polA","DNA polymerase I","0.7656","0.8943","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0100","K00859","coaE","dephospho-CoA kinase","0.5800","0.5125","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0105","K03602","xseB","exodeoxyribonuclease VII small subunit","0.0190","0.0389","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0106","K03601","xseA","exodeoxyribonuclease VII large subunit","0.0000 ","0.0099","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0109","K01151","nfo","deoxyribonuclease IV","0.0098","0.0100","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0110","K11753","ribF","riboflavin kinase / FMN adenylyltransferase","0.6293","0.5031","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0111","K14229","tRNA-Lys","tRNA Lys","0.0060","0.2024","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0116","K00963","UGP2, galU, galF","UTP--glucose-1-phosphate uridylyltransferase","0.2177","0.2983","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0117","K00963","UGP2, galU, galF","UTP--glucose-1-phosphate uridylyltransferase","0.2177","0.2983","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0121","K00963","UGP2, galU, galF","UTP--glucose-1-phosphate uridylyltransferase","0.2177","0.2983","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0122","K00963","UGP2, galU, galF","UTP--glucose-1-phosphate uridylyltransferase","0.2177","0.2983","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0126","K00963","UGP2, galU, galF","UTP--glucose-1-phosphate uridylyltransferase","0.2177","0.2983","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0128","K08591","plsY","glycerol-3-phosphate acyltransferase PlsY","0.6496","0.6200","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0130","K01754","E4.3.1.19, ilvA, tdcB","threonine dehydratase","0.2176","0.1963","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0150","K02564","nagB, GNPDA","glucosamine-6-phosphate deaminase","0.0075","0.0248","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0151","K02803","PTS-Nag-EIIB, nagE","PTS system, N-acetylglucosamine-specific IIB component","0.0022","0.0007","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0152","K09698","gltX","nondiscriminating glutamyl-tRNA synthetase","0.7777","0.4463","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0154","K03048","rpoE","DNA-directed RNA polymerase subunit delta","0.7829","0.8231","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0155","K01937","pyrG, CTPS","CTP synthase","0.7895","0.5413","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0160","K01624","FBA, fbaA","fructose-bisphosphate aldolase, class II","0.5327","0.3946","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0168","K01126","E3.1.4.46, glpQ, ugpQ","glycerophosphoryl diester phosphodiesterase","0.0000 ","0.0333","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0169","K02909","RP-L31, rpmE","large subunit ribosomal protein L31","0.1218","0.4008","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0171","K06881","nrnA","bifunctional oligoribonuclease and PAP phosphatase NrnA","0.1122","0.0407","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0172","K00857","tdk, TK","thymidine kinase","0.0402","0.0518","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0179","K06131","clsA_B","cardiolipin synthase A/B","0.0144","0.0916","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0180","K02950","RP-S12, MRPS12, rpsL","small subunit ribosomal protein S12","0.5625","0.6211","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0181","K02992","RP-S7, MRPS7, rpsG","small subunit ribosomal protein S7","0.7119","0.6883","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0187","K02777","PTS-Glc-EIIA, crr","PTS system, sugar-specific IIA component","0.0192","0.0150","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0189","K01255","CARP, pepA","leucyl aminopeptidase","0.0277","0.0512","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0205","K01872","AARS, alaS","alanyl-tRNA synthetase","0.6601","0.5571","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0207","K15581","oppB","oligopeptide transport system permease protein","0.0067","0.0091","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0208","K15582","oppC","oligopeptide transport system permease protein","0.0071","0.0091","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0209","K15583","oppD","oligopeptide transport system ATP-binding protein","0.0080","0.0087","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0210","K10823","oppF","oligopeptide transport system ATP-binding protein","0.0020","0.0106","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0211","K15580","oppA, mppA","oligopeptide transport system substrate-binding protein","0.0000 ","0.0068","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0227","K06223","dam","DNA adenine methylase","0.0192","0.0218","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0244","K00558","DNMT1, dcm","DNA (cytosine-5)-methyltransferase 1","0.1370","0.1102","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
"mmym","MMS_A0246","K00942","E2.7.4.8, gmk","guanylate kinase","0.8789","0.5063","Mycoplasma mycoides subsp. mycoides SC Gladysdale"
