"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"msm","MSMEG_0001","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0002","K00033","PGD, gnd, gntZ","6-phosphogluconate dehydrogenase","0.0170","0.0284","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0003","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0008","K14227","tRNA-Ile","tRNA Ile","0.0000 ","0.2024","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0010","K14218","tRNA-Ala","tRNA Ala","0.0060","0.2024","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0012","K02015","ABC.FEV.P","iron complex transport system permease protein","0.0184","0.0354","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0014","K00604","MTFMT, fmt","methionyl-tRNA formyltransferase","0.5166","0.6569","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0015","K02013","ABC.FEV.A","iron complex transport system ATP-binding protein","0.0399","0.0544","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0016","K05375","mbtH, nocI","MbtH protein","0.0000 ","0.0000 ","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0020","K02016","ABC.FEV.S","iron complex transport system substrate-binding protein","0.0044","0.0127","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0021","K01579","panD","aspartate 1-decarboxylase","0.1399","0.1934","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0024","K03767","PPIA","peptidyl-prolyl cis-trans isomerase A (cyclophilin A)","0.0000 ","0.0178","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0029","K01664","pabA","para-aminobenzoate synthetase component II","0.0024","0.1645","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0031","K05364","pbpA","penicillin-binding protein A","0.0000 ","0.0344","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0037","K14228","tRNA-Leu","tRNA Leu","0.0060","0.2024","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0066","K14956","esxA, esat6","6 kDa early secretory antigenic target","0.0000 ","0.0000 ","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0085","K02768","PTS-Fru-EIIA, fruB","PTS system, fructose-specific IIA component","0.0016","0.0042","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0086","K00882","fruK","1-phosphofructokinase","0.0000 ","0.0906","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0088","K08483","PTS-EI.PTSI, ptsI","phosphotransferase system, enzyme I, PtsI","0.0137","0.0186","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0102","K00249","ACADM, acd","acyl-CoA dehydrogenase","0.0080","0.0113","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0105","K07684","narL","two-component system, NarL family, nitrate/nitrite response regulator NarL","0.0000 ","0.0010","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0109","K00325","pntB","NAD(P) transhydrogenase subunit beta","0.4010","0.3698","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0110","K00324","pntA","NAD(P) transhydrogenase subunit alpha","0.4010","0.3698","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0113","K15552","tauC","taurine transport system permease protein","0.0000 ","0.0007","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0114","K15551","tauA","taurine transport system substrate-binding protein","0.0000 ","0.0000 ","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0115","K01560","E3.8.1.2","2-haloacid dehalogenase","0.0000 ","0.0388","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0116","K10831","tauB","taurine transport system ATP-binding protein","0.0000 ","0.0000 ","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0125","K07793","tctA","putative tricarboxylic transport membrane protein","0.0000 ","0.0007","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0126","K20023","talrD-galrD","L-talarate/galactarate dehydratase","0.0000 ","0.0001","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0127","K00001","E1.1.1.1, adh","alcohol dehydrogenase","0.0342","0.0354","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0132","K02066","mlaE, linK","phospholipid/cholesterol/gamma-HCH transport system permease protein","0.0012","0.0117","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0133","K02066","mlaE, linK","phospholipid/cholesterol/gamma-HCH transport system permease protein","0.0012","0.0117","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0134","K02067","mlaD, linM","phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein","0.0000 ","0.0053","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0135","K02067","mlaD, linM","phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein","0.0000 ","0.0053","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0136","K02067","mlaD, linM","phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein","0.0000 ","0.0053","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0137","K02067","mlaD, linM","phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein","0.0000 ","0.0053","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0138","K02067","mlaD, linM","phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein","0.0000 ","0.0053","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0139","K02067","mlaD, linM","phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein","0.0000 ","0.0053","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0150","K00325","pntB","NAD(P) transhydrogenase subunit beta","0.4010","0.3698","Mycobacterium smegmatis MC2 155"
"msm","MSMEG_0151","K00324","pntA","NAD(P) transhydrogenase subunit alpha","0.4010","0.3698","Mycobacterium smegmatis MC2 155"
