"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"psec","CCOS191_0001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Pseudomonas sp. CCOS 191"
"psec","CCOS191_0002","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Pseudomonas sp. CCOS 191"
"psec","CCOS191_0003","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Pseudomonas sp. CCOS 191"
"psec","CCOS191_0009","K17218","sqr","sulfide:quinone oxidoreductase","0.0000 ","0.0087","Pseudomonas sp. CCOS 191"
"psec","CCOS191_0012","K00108","betA, CHDH","choline dehydrogenase","0.0000 ","0.0107","Pseudomonas sp. CCOS 191"
"psec","CCOS191_0014","K00655","plsC","1-acyl-sn-glycerol-3-phosphate acyltransferase","0.7119","0.5099","Pseudomonas sp. CCOS 191"
"psec","CCOS191_0015","K03273","gmhB","D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase","0.0875","0.0999","Pseudomonas sp. CCOS 191"
"psec","CCOS191_0016","K01879","glyS","glycyl-tRNA synthetase beta chain","0.6310","0.4651","Pseudomonas sp. CCOS 191"
"psec","CCOS191_0017","K01878","glyQ","glycyl-tRNA synthetase alpha chain","0.4306","0.3913","Pseudomonas sp. CCOS 191"
"psec","CCOS191_0018","K01246","tag","DNA-3-methyladenine glycosylase I","0.0012","0.0100","Pseudomonas sp. CCOS 191"
"psec","CCOS191_0019","K02517","lpxL, htrB","Kdo2-lipid IVA lauroyltransferase","0.1623","0.0916","Pseudomonas sp. CCOS 191"
"psec","CCOS191_0023","K00604","MTFMT, fmt","methionyl-tRNA formyltransferase","0.5166","0.6569","Pseudomonas sp. CCOS 191"
"psec","CCOS191_0031","K00228","CPOX, hemF","coproporphyrinogen III oxidase","0.3618","0.1531","Pseudomonas sp. CCOS 191"
"psec","CCOS191_0032","K00014","aroE","shikimate dehydrogenase","0.1039","0.1242","Pseudomonas sp. CCOS 191"
"psec","CCOS191_0034","K02002","proX","glycine betaine/proline transport system substrate-binding protein","0.0000 ","0.0053","Pseudomonas sp. CCOS 191"
"psec","CCOS191_0038","K01695","trpA","tryptophan synthase alpha chain","0.0606","0.0979","Pseudomonas sp. CCOS 191"
"psec","CCOS191_0039","K01696","trpB","tryptophan synthase beta chain","0.0606","0.0979","Pseudomonas sp. CCOS 191"
"psec","CCOS191_0050","K01091","gph","phosphoglycolate phosphatase","0.0000 ","0.0024","Pseudomonas sp. CCOS 191"
"psec","CCOS191_0056","K01673","cynT, can","carbonic anhydrase","0.0399","0.0279","Pseudomonas sp. CCOS 191"
"psec","CCOS191_0059","K02275","coxB","cytochrome c oxidase subunit II","0.0000 ","0.0171","Pseudomonas sp. CCOS 191"
