"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"phn","PAEH1_00040","K00575","cheR","chemotaxis protein methyltransferase CheR","0.0000 ","0.0032","Paenalcaligenes hominis"
"phn","PAEH1_00045","K03412","cheB","two-component system, chemotaxis family, response regulator CheB","0.0000 ","0.0034","Paenalcaligenes hominis"
"phn","PAEH1_00050","K03413","cheY","two-component system, chemotaxis family, response regulator CheY","0.0000 ","0.0036","Paenalcaligenes hominis"
"phn","PAEH1_00055","K03414","cheZ","chemotaxis protein CheZ","0.0000 ","0.0000 ","Paenalcaligenes hominis"
"phn","PAEH1_00060","K02401","flhB","flagellar biosynthetic protein FlhB","0.0000 ","0.0007","Paenalcaligenes hominis"
"phn","PAEH1_00065","K02400","flhA","flagellar biosynthesis protein FlhA","0.0000 ","0.0007","Paenalcaligenes hominis"
"phn","PAEH1_00075","K02399","flgN","flagella synthesis protein FlgN","0.0000 ","0.0007","Paenalcaligenes hominis"
"phn","PAEH1_00080","K02398","flgM","negative regulator of flagellin synthesis FlgM","0.0000 ","0.0000 ","Paenalcaligenes hominis"
"phn","PAEH1_00090","K02387","flgB","flagellar basal-body rod protein FlgB","0.0000 ","0.0007","Paenalcaligenes hominis"
"phn","PAEH1_00095","K02388","flgC","flagellar basal-body rod protein FlgC","0.0000 ","0.0007","Paenalcaligenes hominis"
"phn","PAEH1_00100","K02389","flgD","flagellar basal-body rod modification protein FlgD","0.0000 ","0.0007","Paenalcaligenes hominis"
"phn","PAEH1_00105","K02390","flgE","flagellar hook protein FlgE","0.0000 ","0.0007","Paenalcaligenes hominis"
"phn","PAEH1_00110","K02391","flgF","flagellar basal-body rod protein FlgF","0.0000 ","0.0007","Paenalcaligenes hominis"
"phn","PAEH1_00115","K02392","flgG","flagellar basal-body rod protein FlgG","0.0000 ","0.0007","Paenalcaligenes hominis"
"phn","PAEH1_00120","K02393","flgH","flagellar L-ring protein precursor FlgH","0.0000 ","0.0007","Paenalcaligenes hominis"
"phn","PAEH1_00125","K02394","flgI","flagellar P-ring protein precursor FlgI","0.0000 ","0.0007","Paenalcaligenes hominis"
"phn","PAEH1_00140","K02397","flgL","flagellar hook-associated protein 3 FlgL","0.0016","0.0053","Paenalcaligenes hominis"
"phn","PAEH1_00170","K02420","fliQ","flagellar biosynthetic protein FliQ","0.0000 ","0.0013","Paenalcaligenes hominis"
"phn","PAEH1_00175","K02419","fliP","flagellar biosynthetic protein FliP","0.0000 ","0.0007","Paenalcaligenes hominis"
"phn","PAEH1_00180","K02418","fliOZ, fliO","flagellar protein FliO/FliZ","0.0021","0.0042","Paenalcaligenes hominis"
"phn","PAEH1_00185","K02417","fliNY, fliN","flagellar motor switch protein FliN/FliY","0.0067","0.0087","Paenalcaligenes hominis"
"phn","PAEH1_00200","K02414","fliK","flagellar hook-length control protein FliK","0.0000 ","0.0007","Paenalcaligenes hominis"
"phn","PAEH1_00205","K02413","fliJ","flagellar FliJ protein","0.0024","0.0037","Paenalcaligenes hominis"
"phn","PAEH1_00215","K02411","fliH","flagellar assembly protein FliH","0.0000 ","0.0007","Paenalcaligenes hominis"
"phn","PAEH1_00220","K02410","fliG","flagellar motor switch protein FliG","0.0000 ","0.0039","Paenalcaligenes hominis"
"phn","PAEH1_00225","K02409","fliF","flagellar M-ring protein FliF","0.0000 ","0.0013","Paenalcaligenes hominis"
"phn","PAEH1_00230","K02408","fliE","flagellar hook-basal body complex protein FliE","0.0016","0.0053","Paenalcaligenes hominis"
"phn","PAEH1_00250","K02423","fliT","flagellar protein FliT","0.0000 ","0.0210","Paenalcaligenes hominis"
"phn","PAEH1_00255","K02422","fliS","flagellar protein FliS","0.0000 ","0.0007","Paenalcaligenes hominis"
"phn","PAEH1_00260","K02407","fliD","flagellar hook-associated protein 2","0.0000 ","0.0007","Paenalcaligenes hominis"
"phn","PAEH1_00270","K02405","fliA","RNA polymerase sigma factor for flagellar operon FliA","0.0000 ","0.0062","Paenalcaligenes hominis"
"phn","PAEH1_00275","K02406","fliC","flagellin","0.0016","0.0097","Paenalcaligenes hominis"
"phn","PAEH1_00280","K03415","cheV","two-component system, chemotaxis family, response regulator CheV","0.0000 ","0.0032","Paenalcaligenes hominis"
"phn","PAEH1_00285","K02406","fliC","flagellin","0.0016","0.0097","Paenalcaligenes hominis"
"phn","PAEH1_00295","K02406","fliC","flagellin","0.0016","0.0097","Paenalcaligenes hominis"
"phn","PAEH1_00300","K01841","pepM","phosphoenolpyruvate phosphomutase","0.0071","0.0071","Paenalcaligenes hominis"
"phn","PAEH1_00325","K02406","fliC","flagellin","0.0016","0.0097","Paenalcaligenes hominis"
"phn","PAEH1_00335","K03776","aer","aerotaxis receptor","0.0031","0.0055","Paenalcaligenes hominis"
"phn","PAEH1_00345","K03776","aer","aerotaxis receptor","0.0031","0.0055","Paenalcaligenes hominis"
"phn","PAEH1_00360","K00767","nadC, QPRT","nicotinate-nucleotide pyrophosphorylase (carboxylating)","0.0445","0.1747","Paenalcaligenes hominis"
"phn","PAEH1_00375","K03429","ugtP","processive 1,2-diacylglycerol beta-glucosyltransferase","0.0060","0.1844","Paenalcaligenes hominis"
"phn","PAEH1_00415","K03781","katE, CAT, catB, srpA","catalase","0.0000 ","0.0000 ","Paenalcaligenes hominis"
"phn","PAEH1_00470","K01772","hemH, FECH","protoporphyrin/coproporphyrin ferrochelatase","0.4153","0.2412","Paenalcaligenes hominis"
"phn","PAEH1_00495","K00901","dgkA, DGK","diacylglycerol kinase (ATP)","0.0685","0.0786","Paenalcaligenes hominis"
"phn","PAEH1_00545","K01607","pcaC","4-carboxymuconolactone decarboxylase","0.0000 ","0.0000 ","Paenalcaligenes hominis"
"phn","PAEH1_00565","K17227","soxZ","sulfur-oxidizing protein SoxZ","0.0071","0.0282","Paenalcaligenes hominis"
"phn","PAEH1_00570","K17226","soxY","sulfur-oxidizing protein SoxY","0.0071","0.0282","Paenalcaligenes hominis"
"phn","PAEH1_00595","K03594","bfr","bacterioferritin","0.0000 ","0.0280","Paenalcaligenes hominis"
"phn","PAEH1_00610","K00058","serA, PHGDH","D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase","0.1073","0.1203","Paenalcaligenes hominis"
"phn","PAEH1_00620","K01744","aspA","aspartate ammonia-lyase","0.0302","0.0397","Paenalcaligenes hominis"
"phn","PAEH1_00635","K06132","clsC","cardiolipin synthase C","0.0106","0.0916","Paenalcaligenes hominis"
"phn","PAEH1_00655","K00123","fdoG, fdfH","formate dehydrogenase major subunit","0.0000 ","0.0001","Paenalcaligenes hominis"
"phn","PAEH1_00660","K00124","fdoH","formate dehydrogenase iron-sulfur subunit","0.0000 ","0.0004","Paenalcaligenes hominis"
"phn","PAEH1_00665","K00127","fdoI","formate dehydrogenase subunit gamma","0.0000 ","0.0000 ","Paenalcaligenes hominis"
"phn","PAEH1_00675","K01042","selA","L-seryl-tRNA(Ser) seleniumtransferase","0.0000 ","0.1409","Paenalcaligenes hominis"
"phn","PAEH1_00690","K01008","selD, SEPHS","selenide, water dikinase","0.0026","0.0331","Paenalcaligenes hominis"
"phn","PAEH1_00720","K02169","bioC","malonyl-CoA O-methyltransferase","0.3922","0.0824","Paenalcaligenes hominis"
"phn","PAEH1_00725","K02170","bioH","pimeloyl-[acyl-carrier protein] methyl ester esterase","0.1122","0.0697","Paenalcaligenes hominis"
"phn","PAEH1_00730","K00652","bioF","8-amino-7-oxononanoate synthase","0.0414","0.0827","Paenalcaligenes hominis"
"phn","PAEH1_00750","K02001","proW","glycine betaine/proline transport system permease protein","0.0000 ","0.0053","Paenalcaligenes hominis"
"phn","PAEH1_00755","K02000","proV","glycine betaine/proline transport system ATP-binding protein","0.0000 ","0.0053","Paenalcaligenes hominis"
"phn","PAEH1_00760","K02002","proX","glycine betaine/proline transport system substrate-binding protein","0.0000 ","0.0053","Paenalcaligenes hominis"
"phn","PAEH1_00770","K00324","pntA","NAD(P) transhydrogenase subunit alpha","0.4010","0.3698","Paenalcaligenes hominis"
"phn","PAEH1_00900","K03553","recA","recombination protein RecA","0.0156","0.0636","Paenalcaligenes hominis"
"phn","PAEH1_00920","K01902","sucD","succinyl-CoA synthetase alpha subunit","0.0631","0.0742","Paenalcaligenes hominis"
"phn","PAEH1_00950","K18893","vcaM","ATP-binding cassette, subfamily B, multidrug efflux pump","0.0000 ","0.0165","Paenalcaligenes hominis"
"phn","PAEH1_00955","K00525","E1.17.4.1A, nrdA, nrdE","ribonucleoside-diphosphate reductase alpha chain","0.7656","0.6595","Paenalcaligenes hominis"
"phn","PAEH1_00960","K00526","E1.17.4.1B, nrdB, nrdF","ribonucleoside-diphosphate reductase beta chain","0.7656","0.6595","Paenalcaligenes hominis"
"phn","PAEH1_01040","K01920","gshB","glutathione synthase","0.0144","0.0293","Paenalcaligenes hominis"
"phn","PAEH1_01045","K02821","PTS-Ula-EIIA, ulaC, sgaA","PTS system, ascorbate-specific IIA component","0.0022","0.0063","Paenalcaligenes hominis"
"phn","PAEH1_01055","K08483","PTS-EI.PTSI, ptsI","phosphotransferase system, enzyme I, PtsI","0.0137","0.0186","Paenalcaligenes hominis"
"phn","PAEH1_01075","K02916","RP-L35, MRPL35, rpmI","large subunit ribosomal protein L35","0.3752","0.5158","Paenalcaligenes hominis"
"phn","PAEH1_01080","K02887","RP-L20, MRPL20, rplT","large subunit ribosomal protein L20","0.4873","0.5756","Paenalcaligenes hominis"
"phn","PAEH1_01085","K01889","FARSA, pheS","phenylalanyl-tRNA synthetase alpha chain","0.6601","0.5571","Paenalcaligenes hominis"
"phn","PAEH1_01180","K01915","glnA, GLUL","glutamine synthetase","0.4736","0.4162","Paenalcaligenes hominis"
"phn","PAEH1_01205","K01998","livM","branched-chain amino acid transport system permease protein","0.0000 ","0.0000 ","Paenalcaligenes hominis"
"phn","PAEH1_01210","K01995","livG","branched-chain amino acid transport system ATP-binding protein","0.0000 ","0.0002","Paenalcaligenes hominis"
"phn","PAEH1_01215","K01996","livF","branched-chain amino acid transport system ATP-binding protein","0.0000 ","0.0002","Paenalcaligenes hominis"
"phn","PAEH1_01310","K03111","ssb","single-strand DNA-binding protein","0.4028","0.5247","Paenalcaligenes hominis"
"phn","PAEH1_01360","K00558","DNMT1, dcm","DNA (cytosine-5)-methyltransferase 1","0.1370","0.1102","Paenalcaligenes hominis"
"phn","PAEH1_01610","K10857","exoX","exodeoxyribonuclease X","0.0000 ","0.1622","Paenalcaligenes hominis"
"phn","PAEH1_01650","K02556","motA","chemotaxis protein MotA","0.0000 ","0.0000 ","Paenalcaligenes hominis"
"phn","PAEH1_01655","K02557","motB","chemotaxis protein MotB","0.0016","0.0085","Paenalcaligenes hominis"
"phn","PAEH1_01680","K21802","vdh","vanillin dehydrogenase","0.0000 ","0.0104","Paenalcaligenes hominis"
"phn","PAEH1_01765","K02010","afuC, fbpC","iron(III) transport system ATP-binding protein","0.0026","0.0068","Paenalcaligenes hominis"
"phn","PAEH1_01775","K02012","afuA, fbpA","iron(III) transport system substrate-binding protein","0.0080","0.0073","Paenalcaligenes hominis"
"phn","PAEH1_01790","K03655","recG","ATP-dependent DNA helicase RecG","0.0000 ","0.0283","Paenalcaligenes hominis"
"phn","PAEH1_01805","K01999","livK","branched-chain amino acid transport system substrate-binding protein","0.0000 ","0.0005","Paenalcaligenes hominis"
"phn","PAEH1_01855","K02020","modA","molybdate transport system substrate-binding protein","0.0000 ","0.0053","Paenalcaligenes hominis"
"phn","PAEH1_01860","K02018","modB","molybdate transport system permease protein","0.0014","0.0066","Paenalcaligenes hominis"
"phn","PAEH1_01870","K08738","CYC","cytochrome c","0.0029","0.0053","Paenalcaligenes hominis"
"phn","PAEH1_01885","K03472","epd","D-erythrose 4-phosphate dehydrogenase","0.0141","0.2283","Paenalcaligenes hominis"
"phn","PAEH1_01905","K00799","GST, gst","glutathione S-transferase","0.0402","0.0384","Paenalcaligenes hominis"
"phn","PAEH1_01915","K01998","livM","branched-chain amino acid transport system permease protein","0.0000 ","0.0000 ","Paenalcaligenes hominis"
"phn","PAEH1_01920","K01997","livH","branched-chain amino acid transport system permease protein","0.0000 ","0.0000 ","Paenalcaligenes hominis"
"phn","PAEH1_01930","K00286","proC","pyrroline-5-carboxylate reductase","0.0526","0.0624","Paenalcaligenes hominis"
"phn","PAEH1_01940","K05814","ugpA","sn-glycerol 3-phosphate transport system permease protein","0.0000 ","0.0056","Paenalcaligenes hominis"
"phn","PAEH1_01945","K05815","ugpE","sn-glycerol 3-phosphate transport system permease protein","0.0000 ","0.0053","Paenalcaligenes hominis"
"phn","PAEH1_01950","K05816","ugpC","sn-glycerol 3-phosphate transport system ATP-binding protein","0.0000 ","0.0057","Paenalcaligenes hominis"
"phn","PAEH1_01970","K00943","tmk, DTYMK","dTMP kinase","0.7026","0.4891","Paenalcaligenes hominis"
"phn","PAEH1_02005","K01007","pps, ppsA","pyruvate, water dikinase","0.4013","0.4084","Paenalcaligenes hominis"
"phn","PAEH1_02025","K00748","lpxB","lipid-A-disaccharide synthase","0.4346","0.2421","Paenalcaligenes hominis"
"phn","PAEH1_02035","K02372","fabZ","3-hydroxyacyl-[acyl-carrier-protein] dehydratase","0.5987","0.6766","Paenalcaligenes hominis"
"phn","PAEH1_02060","K00099","dxr","1-deoxy-D-xylulose-5-phosphate reductoisomerase","0.5774","0.3985","Paenalcaligenes hominis"
"phn","PAEH1_02080","K09903","pyrH","uridylate kinase","0.8789","0.5971","Paenalcaligenes hominis"
"phn","PAEH1_02090","K02967","RP-S2, MRPS2, rpsB","small subunit ribosomal protein S2","0.4440","0.5564","Paenalcaligenes hominis"
"phn","PAEH1_02115","K00764","purF, PPAT","amidophosphoribosyltransferase","0.0184","0.1521","Paenalcaligenes hominis"
"phn","PAEH1_02130","K11754","folC","dihydrofolate synthase / folylpolyglutamate synthase","0.5987","0.4070","Paenalcaligenes hominis"
"phn","PAEH1_02135","K00382","DLD, lpd, pdhD","dihydrolipoamide dehydrogenase","0.5030","0.4139","Paenalcaligenes hominis"
"phn","PAEH1_02145","K00163","aceE","pyruvate dehydrogenase E1 component","0.0071","0.0586","Paenalcaligenes hominis"
"phn","PAEH1_02160","K01491","folD","methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase","0.4306","0.4659","Paenalcaligenes hominis"
"phn","PAEH1_02175","K00382","DLD, lpd, pdhD","dihydrolipoamide dehydrogenase","0.5030","0.4139","Paenalcaligenes hominis"
"phn","PAEH1_02195","K03474","pdxJ","pyridoxine 5-phosphate synthase","0.2365","0.1560","Paenalcaligenes hominis"
"phn","PAEH1_02200","K18139","oprM, emhC, ttgC, cusC, adeK, smeF, mtrE, cmeC, gesC","outer membrane protein, multidrug efflux system","0.0000 ","3.47E-","Paenalcaligenes hominis"
"phn","PAEH1_02245","K00942","E2.7.4.8, gmk","guanylate kinase","0.8789","0.5063","Paenalcaligenes hominis"
"phn","PAEH1_02250","K03060","rpoZ","DNA-directed RNA polymerase subunit omega","0.7119","0.8249","Paenalcaligenes hominis"
"phn","PAEH1_02275","K01126","E3.1.4.46, glpQ, ugpQ","glycerophosphoryl diester phosphodiesterase","0.0000 ","0.0333","Paenalcaligenes hominis"
"phn","PAEH1_02290","K04751","glnB","nitrogen regulatory protein P-II 1","0.0152","0.0102","Paenalcaligenes hominis"
"phn","PAEH1_02300","K01755","argH, ASL","argininosuccinate lyase","0.1192","0.1646","Paenalcaligenes hominis"
"phn","PAEH1_02320","K03787","surE","5-nucleotidase","0.0584","0.0906","Paenalcaligenes hominis"
"phn","PAEH1_02390","K01817","trpF","phosphoribosylanthranilate isomerase","0.0472","0.0773","Paenalcaligenes hominis"
"phn","PAEH1_02415","K00133","asd","aspartate-semialdehyde dehydrogenase","0.4295","0.3677","Paenalcaligenes hominis"
"phn","PAEH1_02425","K01704","leuD, IPMI-S","3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit","0.0482","0.0748","Paenalcaligenes hominis"
"phn","PAEH1_02430","K01703","leuC, IPMI-L","3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit","0.0463","0.0763","Paenalcaligenes hominis"
"phn","PAEH1_02440","K01736","aroC","chorismate synthase","0.1496","0.1733","Paenalcaligenes hominis"
"phn","PAEH1_02465","K00459","ncd2, npd","nitronate monooxygenase","0.0017","0.1220","Paenalcaligenes hominis"
"phn","PAEH1_02475","K02204","thrB2","homoserine kinase type II","0.1369","0.0862","Paenalcaligenes hominis"
"phn","PAEH1_02885","K16165","nagK","fumarylpyruvate hydrolase","0.0000 ","0.0000 ","Paenalcaligenes hominis"
"phn","PAEH1_02900","K02496","hemX","uroporphyrin-III C-methyltransferase","0.0221","0.0383","Paenalcaligenes hominis"
